innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2,Australia,AUS,1,1,M Siraj,0,0,0,0/0,0.00,0.01,0.1,0,0,"Siraj to Marsh, no run",Mitch Marsh and Travis Head head out to the middle. Mohammed Siraj takes the ball for their 1st spell,"Siraj starts with a swinging delivery moving away outside off stump, pitching at length. Mitch Marsh defends it with a steady bat under control for no run.",7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,12612,MR Marsh,right,44904,M Siraj,right,6,India,right pace,1,pace,2025-10-25 03:31:48,7.084,-0.189,4.0,-0.179,0.908,2.0,2.0,,,,,,,,True,True,False,False,,,,,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,1,M Siraj,0,0,0,0/0,0.00,0.02,0.2,0,0,"Siraj to Marsh, no run",,Siraj delivers a length ball outside off. Marsh defends it solidly back to the bowler for no run.,7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,12612,MR Marsh,right,44904,M Siraj,right,6,India,right pace,1,pace,2025-10-25 03:32:25,7.404,-0.260,4.0,-0.148,0.910,2.0,2.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,bowler,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,1,M Siraj,0,0,0,0/0,0.00,0.03,0.3,0,0,"Siraj to Marsh, no run",,Siraj delivers a length ball outside off stump with no movement. Mitch Marsh works it off his body but fails to score as Virat Kohli fields at extra cover for no run.,7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,12612,MR Marsh,right,44904,M Siraj,right,6,India,right pace,1,pace,2025-10-25 03:33:00,8.322,-0.225,4.0,0.031,1.187,2.0,2.0,,,,,,,,True,True,False,False,,,,length ball,outside off,no movement,work,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,1,M Siraj,0,0,0,0/0,0.00,0.04,0.4,0,0,"Siraj to Marsh, no run",,"Siraj bowls a length ball just outside off stump. Mitch Marsh pushes it calmly towards mid-wicket for no run, with Sundar fielding sharply.",7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,12612,MR Marsh,right,44904,M Siraj,right,6,India,right pace,1,pace,2025-10-25 03:33:38,7.367,-0.136,4.0,0.000,0.912,2.0,2.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,1,M Siraj,0,0,0,0/0,0.00,0.05,0.5,0,0,"Siraj to Marsh, no run",,"Siraj bowls a swinging delivery length ball outside off stump. Mitch Marsh shoulders arms, no run taken.",7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,12612,MR Marsh,right,44904,M Siraj,right,6,India,right pace,1,pace,2025-10-25 03:34:19,7.648,-0.468,4.0,-0.585,0.958,1.0,2.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,shoulders arms,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,1,M Siraj,0,0,0,0/0,0.00,0.06,0.6,0,0,"Siraj to Marsh, no run",,"Siraj delivers a swinging away length ball outside off stump. Mitch Marsh plays a solid defensive shot with neutral connection, resulting in no run.",7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,12612,MR Marsh,right,44904,M Siraj,right,6,India,right pace,1,pace,2025-10-25 03:34:57,7.201,-0.299,4.0,-0.259,0.973,1.0,2.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,2,HP Rana,2,1,0,2/0,1.00,1.01,1.1,0,0,"Rana to Head, no run",Harshit Rana takes the ball for their 1st spell,"Harshit Rana bowls a swinging ball down the leg side, landing on back of a length. Travis Head plays a solid defensive shot with neutral connection. No run scored.",7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,21033,TM Head,left,77153,HP Rana,right,6,India,right pace,1,pace,2025-10-25 03:36:14,8.732,-0.444,4.0,0.225,1.228,3.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,down the leg side,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,2,HP Rana,2,1,0,2/0,1.00,1.02,1.2,0,0,"Rana to Head, no run",,"Harshit Rana bowls a swinging length ball down leg. Travis Head defends cautiously, playing with neutral connection and no runs scored.",7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,21033,TM Head,left,77153,HP Rana,right,6,India,right pace,1,pace,2025-10-25 03:36:52,7.867,-0.341,4.0,0.150,0.964,2.0,2.0,,,,,,,,True,True,False,False,,,,length ball,down leg,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,2,HP Rana,2,1,0,2/0,1.00,1.03,1.3,0,0,"Rana to Head, no run",,"Over the wicket. Length ball, down leg, back foot, pushed along the ground to Shreyas Iyer at mid off. No run.",7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,21033,TM Head,left,77153,HP Rana,right,6,India,right pace,1,pace,2025-10-25 03:37:26,5.912,-0.220,3.0,0.192,0.728,2.0,1.0,,,,,,,,True,True,False,False,over the wicket,,,length ball,down leg,back foot,push,along the ground,,mid off,Shreyas Iyer,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,2,HP Rana,2,1,0,2/0,1.00,1.04,1.4,0,0,"Rana to Head, no run",,Harshit Rana bowls a length ball down leg stump. Travis Head plays a solid defensive stroke. Dot ball.,7c1901c9-8935-454d-9739-0a680f2c119f,227546,"Australia v India at Sydney, 3rd ODI, 25 Oct 2025",8596,India in Australia,2025/26,"Sydney Cricket Ground, Sydney",One-day international,2025-10-25,21033,TM Head,left,77153,HP Rana,right,6,India,right pace,1,pace,2025-10-25 03:38:04,6.528,-0.202,3.0,0.230,0.832,3.0,1.0,,,,,,,,True,True,False,False,,,,length ball,leg stump,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
