innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,6,India,IND,5,1,MA Starc,1,0,0,1/0,1.00,0.01,0.1,0,0,"Starc to Sharma, no run",Rohit Sharma and Shubman Gill head out to the middle. Mitchell Starc takes the ball for their 1st spell,"Starc bowls a full delivery outside off. Rohit Sharma attempts a drive but misses it, resulting in no run.",cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,11326.0,RG Sharma,right,14328.0,MA Starc,left,2.0,Australia,left pace,1.0,pace,2025-10-23 03:31:59,3.312,-0.492,2.0,-0.669,0.421,0.0,0.0,,,,,,,,True,True,False,False,,,,full,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,MA Starc,1,0,0,1/0,1.00,0.02,0.2,0,0,"Starc to Sharma, no run",,Mitchell Starc bowls a swinging length ball targeting off stump. Rohit Sharma plays a controlled defensive shot for a dot ball.,cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,11326.0,RG Sharma,right,14328.0,MA Starc,left,2.0,Australia,left pace,1.0,pace,2025-10-23 03:32:39,6.467,-0.092,3.0,-0.023,0.688,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,off stump,,,,controlled,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,MA Starc,1,0,0,1/0,1.00,0.03,0.3,0,0,"Starc to Sharma, no run",,"Mitchell Starc bowls a no movement ball outside off, pitched back of a length. Rohit Sharma leaves it well, resulting in dot ball.",cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,11326.0,RG Sharma,right,14328.0,MA Starc,left,2.0,Australia,left pace,1.0,pace,2025-10-23 03:33:19,6.994,-0.456,3.0,-0.893,0.891,0.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,no movement,leave,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,MA Starc,1,0,0,1/0,1.00,0.04,0.4,0,0,"Starc to Sharma, no run",,Mitchell Starc bowls a length ball wide outside off. Rohit Sharma attempts a drive but misses completely. No run.,cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,11326.0,RG Sharma,right,14328.0,MA Starc,left,2.0,Australia,left pace,1.0,pace,2025-10-23 03:33:58,5.494,-0.645,3.0,-1.016,0.814,,1.0,,,,,,,,True,True,False,False,,,,length ball,wide outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,MA Starc,1,0,0,1/0,1.00,0.05,0.5,1,1,"Starc to Sharma, 1 run",,"Mitchell Starc delivers a swinging-in length ball on off stump. Rohit Sharma works it to square leg for a single, fielded quickly by Travis Head. Rohit Sharma gets off the mark with his first run.",cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,11326.0,RG Sharma,right,14328.0,MA Starc,left,2.0,Australia,left pace,1.0,pace,2025-10-23 03:34:38,7.682,-0.080,4.0,0.034,0.856,2.0,1.0,105791680.0,337.0,35.0,60.0,3.0,1.0,1.0,True,True,True,False,,,,length ball,off stump,,work,,,square leg,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,1,MA Starc,1,0,0,1/0,1.00,0.06,0.6,0,0,"Starc to Gill, no run",,"Mitchell Starc bowls a swinging delivery, landing full outside off. Shubman Gill works it but mistimes the shot, resulting in no run as Xavier Bartlett fields at mid on.",cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,65345.0,S Gill,right,14328.0,MA Starc,left,2.0,Australia,left pace,1.0,pace,2025-10-23 03:35:21,3.184,-0.217,2.0,-0.187,0.387,2.0,0.0,,,,,,,,True,True,False,False,,,,full,outside off,,work,,,mid on,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,JR Hazlewood,0,0,0,1/0,0.00,1.01,1.1,0,0,"Hazlewood to Sharma, no run",Josh Hazlewood takes the ball for their 1st spell,Josh Hazlewood bowls a length ball on the outside edge. Rohit Sharma plays a solid defensive stroke. No run.,cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,11326.0,RG Sharma,right,14327.0,JR Hazlewood,right,2.0,Australia,right pace,1.0,pace,2025-10-23 03:36:27,6.962,-0.455,3.0,-0.333,0.921,1.0,2.0,,,,,,,,True,True,False,False,,,,length ball,,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,JR Hazlewood,0,0,0,1/0,0.00,1.02,1.2,0,0,"Hazlewood to Sharma, no run",,"Hazlewood runs in and delivers a seaming ball just outside off, pitched back of a length. Rohit Sharma leaves it alone, no run taken.",cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,11326.0,RG Sharma,right,14327.0,JR Hazlewood,right,2.0,Australia,right pace,1.0,pace,2025-10-23 03:37:05,6.955,-0.474,3.0,-0.064,0.947,2.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,leave,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,JR Hazlewood,0,0,0,1/0,0.00,1.03,1.3,0,0,"Hazlewood to Sharma, no run",,"Josh Hazlewood delivers a no movement ball outside off, back of a length. Rohit Sharma plays a mis-timed defensive shot and there is no run.",cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,11326.0,RG Sharma,right,14327.0,JR Hazlewood,right,2.0,Australia,right pace,1.0,pace,2025-10-23 03:37:43,8.350,-0.488,4.0,-0.311,1.138,1.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,no movement,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,JR Hazlewood,0,0,0,1/0,0.00,1.04,1.4,0,0,"Hazlewood to Sharma, no run",,Hazlewood bowls a swinging away length ball outside off stump. Rohit Sharma defends but misses the ball; no runs scored.,cefb3fed-d5a0-4884-b81b-c87a97232a44,227545,"Australia v India at Adelaide, 2nd ODI, 23 Oct 2025",8596,India in Australia,2025/26,"Adelaide Oval, Adelaide",One-day international,2025-10-23,11326.0,RG Sharma,right,14327.0,JR Hazlewood,right,2.0,Australia,right pace,1.0,pace,2025-10-23 03:38:22,7.565,-0.478,4.0,-0.460,1.086,1.0,2.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
