innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,6,India,IND,1,1,AM Ghazanfar,0,0,0,0/0,0.00,0.01,0.1,0,0,"Ghazanfar to Jaiswal, no run",Yashasvi Jaiswal and Rohit Sharma head out to the middle. AM Ghazanfar takes the ball for their 1st spell,"Ghazanfar starts with a carrom ball pitching outside off, met with a controlled drive on the length. Jaiswal keeps it along the ground, but there's no run as the ball is quickly fielded at extra cover.",e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,outside off,,drive,along the ground,controlled,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,1,1,AM Ghazanfar,0,0,0,0/0,0.00,0.02,0.2,0,0,"Ghazanfar to Jaiswal, no run",,"The bowler delivers a carrom ball just outside off stump at back of a length. The batter pushes it cautiously along the ground, but it yields no run.",e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,back of a length,outside off,,push,along the ground,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,1,1,AM Ghazanfar,0,0,0,0/0,0.00,0.03,0.3,0,0,"Ghazanfar to Jaiswal, no run",,"An off break pitched just outside off at a back of a length, met with a composed drive through the covers, but well fielded at extra cover to keep it a dot.",e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,back of a length,outside off,,drive,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,1,1,AM Ghazanfar,0,0,0,0/0,0.00,0.04,0.4,0,0,"Ghazanfar to Jaiswal, no run",,"A back of a length off break drifting outside off, Yashasvi Jaiswal pushes it cautiously along the ground for no run.",e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,back of a length,outside off,,push,along the ground,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,1,1,AM Ghazanfar,0,0,0,0/0,0.00,0.05,0.5,0,0,"Ghazanfar to Jaiswal, no run",,"The carrom ball drifts outside off on a back of a length, Yashasvi works it but misses, the ball striking his pad for no run.",e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,back of a length,outside off,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,1,1,AM Ghazanfar,0,0,0,0/0,0.00,0.06,0.6,0,0,"Ghazanfar to Jaiswal, no run",,"An off break drifting outside off, Yashasvi Jaiswal tries to cut but misses completely; a neat take by the wicketkeeper ends the dot ball sequence.",e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,outside off,,cut,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,1,2,Mohammad Saleem,9,1,1,9/1,8.00,1.01,1.1,0,0,"Saleem to Sharma, no run",Mohammad Saleem takes the ball for their 1st spell,A back of a length delivery on off stump is neatly worked through the covers by the batter for no run.,e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,back of a length,off stump,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,1,2,Mohammad Saleem,9,1,1,9/1,8.00,1.02,1.2,4,4,"Saleem to Sharma, 4 runs",,"A short seaming delivery wide outside off, expertly cut through cover. Rohit Sharma finds the gap perfectly, timing it to race to the boundary along the ground. That's the first four of the innings. Rohit Sharma is off the mark.",e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,11326.0,RG Sharma,right,71006.0,Mohammad Saleem,right,12.0,Afghanistan,right pace,1.0,pace,2026-06-17 08:06:20,,,,,,,,106837666.0,190.0,100.0,172.0,6.0,4.0,4.0,False,False,True,False,,,,short,wide outside off,,cut,along the ground,,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,6,India,IND,1,2,Mohammad Saleem,9,1,1,9/1,8.00,1.03,1.3,1,1ˡᵇ,"Saleem to Sharma, 1 run",,"Length ball on middle stump, Rohit tries to flick but misses, the ball clips his pad for a leg bye.",e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,middle stump,,flick,,,,,,,,keyword,1,leg bye,False,False,False,False,True,False,False,False,False,
1,6,India,IND,1,2,Mohammad Saleem,9,1,1,9/1,8.00,1.04,1.4,0,0,"Saleem to Jaiswal, no run",,"Mohammad Saleem bowls a short delivery on middle stump, and Yashasvi Jaiswal attempts a cut but misses completely, leaving the ball to be calmly collected by the keeper. It's a dot ball.",e091d0bf-d873-452c-a007-37cb4dad0127,237070,"India v Afghanistan at Lucknow, 2nd ODI, 17 Jun 2026",9042,Afghanistan in India,2026,"Ekana International Cricket Stadium, Lucknow",One-day international,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,short,middle stump,,cut,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
