innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2046,India Under-19s,IND,1,1,S Seneviratne,6,0,0,6/0,6.00,0.01,0.1,0,0,Sethmika Seneviratne to Yashbardhan Chauhan,,Sethmika Seneviratne to Yashbardhan Chauhan. No run,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,2046,India Under-19s,IND,1,1,S Seneviratne,6,0,0,6/0,6.00,0.02,0.2,0,0,Sethmika Seneviratne to Yashbardhan Chauhan,,Sethmika Seneviratne to Yashbardhan Chauhan. No run,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,2046,India Under-19s,IND,1,1,S Seneviratne,6,0,0,6/0,6.00,0.03,0.3,0,0,Sethmika Seneviratne to Yashbardhan Chauhan,,Sethmika Seneviratne to Yashbardhan Chauhan. No run,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,2046,India Under-19s,IND,1,1,S Seneviratne,6,0,0,6/0,6.00,0.04,0.4,0,0,Sethmika Seneviratne to Yashbardhan Chauhan,,Sethmika Seneviratne to Yashbardhan Chauhan. No run,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,2046,India Under-19s,IND,1,1,S Seneviratne,6,0,0,6/0,6.00,0.05,0.5,2,2,Sethmika Seneviratne to Yashbardhan Chauhan,,Sethmika Seneviratne to Yashbardhan Chauhan. 2 runs,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,2,,False,False,False,False,False,False,False,False,False,
1,2046,India Under-19s,IND,1,1,S Seneviratne,6,0,0,6/0,6.00,0.06,0.6,4,4,Sethmika Seneviratne to Yashbardhan Chauhan,,FOUR! Sethmika Seneviratne to Yashbardhan Chauhan. 4 runs,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,4,,False,False,False,False,False,False,True,False,False,
1,2046,India Under-19s,IND,1,2,WGD Mendis,4,0,0,10/0,4.00,1.01,1.1,0,0,Gimhan Mendis to Sagar Virk,,Gimhan Mendis to Sagar Virk. No run,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,2046,India Under-19s,IND,1,2,WGD Mendis,4,0,0,10/0,4.00,1.02,1.2,0,0,Gimhan Mendis to Sagar Virk,,Gimhan Mendis to Sagar Virk. No run,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,2046,India Under-19s,IND,1,2,WGD Mendis,4,0,0,10/0,4.00,1.03,1.3,0,0,Gimhan Mendis to Sagar Virk,,Gimhan Mendis to Sagar Virk. No run,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,2046,India Under-19s,IND,1,2,WGD Mendis,4,0,0,10/0,4.00,1.04,1.4,0,0,Gimhan Mendis to Sagar Virk,,Gimhan Mendis to Sagar Virk. No run,647ccff1-7951-4f79-84d2-af4e080b9719,242255,"Sri Lanka Under-19s v India Under-19s at Hambantota, 2nd ODI, 6 Jul 2026",9310,India Under-19s in Sri Lanka,2026,"Mahinda Rajapaksha International Cricket Stadium, Hambantota",Youth ODI,2026-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
