innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2192,England Under-19s,ENG,1,1,Y Guha,7,0,0,7/0,7.00,0.01,0.1,0,0,Yudhajit Guha to Ben Dawkins,,"Yudhajit Guha to Ben Dawkins. No movement full, outside off on the front foot flick to extra cover for no run, fielded by Kanishk Chouhan",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,full,outside off,front foot,flick,,,extra cover,Kanishk Chouhan,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2192,England Under-19s,ENG,1,1,Y Guha,7,0,0,7/0,7.00,0.02,0.2,2,2,Yudhajit Guha to Ben Dawkins,,"Yudhajit Guha to Ben Dawkins. No movement short, outside off on the back foot cut well timed to cover for 2 runs, misfielded by Kanishk Chouhan",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,85534.0,BJ Dawkins,right,86388.0,Y Guha,right,2046.0,India Under-19s,right pace,2.0,pace,2025-06-27 09:59:33,,,,,,,,105209558.0,195.0,80.0,132.0,6.0,2.0,2.0,False,False,True,False,,no movement,,short,outside off,back foot,cut,,well timed,cover,,,,,template_structured,2,,False,False,False,False,False,False,False,False,False,
1,2192,England Under-19s,ENG,1,1,Y Guha,7,0,0,7/0,7.00,0.03,0.3,4,4,Yudhajit Guha to Ben Dawkins,,"FOUR! Yudhajit Guha to Ben Dawkins. Seam away short, outside off on the back foot cut well timed for 4 runs",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,85534.0,BJ Dawkins,right,86388.0,Y Guha,right,2046.0,India Under-19s,right pace,2.0,pace,2025-06-27 10:00:14,,,,,,,,105209560.0,190.0,100.0,172.0,6.0,4.0,4.0,False,False,True,False,,seam away,,short,outside off,back foot,cut,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,2192,England Under-19s,ENG,1,1,Y Guha,7,0,0,7/0,7.00,0.04,0.4,0,0,Yudhajit Guha to Ben Dawkins,,"Yudhajit Guha to Ben Dawkins. Away swinger length ball, outside off on the front foot pushed well timed to mid off for no run, fielded by Ayush Mhatre",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,length ball,outside off,front foot,push,,well timed,mid off,Ayush Mhatre,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2192,England Under-19s,ENG,1,1,Y Guha,7,0,0,7/0,7.00,0.05,0.5,1,1,Yudhajit Guha to Ben Dawkins,,"Yudhajit Guha to Ben Dawkins. Seam away length ball, outside off on the back foot steered to third man for 1 run, fielded by Vaibhav Sooryavanshi",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,85534.0,BJ Dawkins,right,86388.0,Y Guha,right,2046.0,India Under-19s,right pace,2.0,pace,2025-06-27 10:01:42,,,,,,,,105209564.0,143.0,65.0,106.0,7.0,1.0,1.0,False,False,True,False,,seam away,,length ball,outside off,back foot,steer,,,third man,Vaibhav Sooryavanshi,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,2192,England Under-19s,ENG,1,1,Y Guha,7,0,0,7/0,7.00,0.06,0.6,0,0,Yudhajit Guha to Isaac Mohammed,,"Yudhajit Guha to Isaac Mohammed. Seam in back of a length, wide outside off on the back foot cut to bowler for no run, fielded by Yudhajit Guha",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,seam in,,back of a length,wide outside off,back foot,cut,,,bowler,Yudhajit Guha,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2192,England Under-19s,ENG,1,2,H Patel,5,0,0,12/0,5.00,1.01,1.1,0,0,Henil Patel to Ben Dawkins,,"Henil Patel to Ben Dawkins. Away swinger length ball, wide outside off on the no movement leaving left alone through to wicketkeeper for no run, fielded by Abhigyan Kundu",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,length ball,wide outside off,no movement,leave,,,wicketkeeper,Abhigyan Kundu,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2192,England Under-19s,ENG,1,2,H Patel,5,0,0,12/0,5.00,1.02,1.2,0,0,Henil Patel to Ben Dawkins,,"Henil Patel to Ben Dawkins. Away swinger back of a length, outside off on the no movement leaving left alone through to wicketkeeper for no run, fielded by Abhigyan Kundu",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,back of a length,outside off,no movement,leave,,,wicketkeeper,Abhigyan Kundu,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2192,England Under-19s,ENG,1,2,H Patel,5,0,0,12/0,5.00,1.03,1.3,1,1,Henil Patel to Ben Dawkins,,"Henil Patel to Ben Dawkins. No movement length ball, outside off on the back foot pushed to cover for 1 run, fielded by Kanishk Chouhan",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,85534.0,BJ Dawkins,right,91254.0,H Patel,right,2046.0,India Under-19s,right pace,2.0,pace,2025-06-27 10:05:07,,,,,,,,105209572.0,189.0,35.0,58.0,6.0,1.0,1.0,False,False,True,False,,no movement,,length ball,outside off,back foot,push,,,cover,Kanishk Chouhan,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,2192,England Under-19s,ENG,1,2,H Patel,5,0,0,12/0,5.00,1.04,1.4,0,0,Henil Patel to Isaac Mohammed,,"Henil Patel to Isaac Mohammed. No movement length ball, outside off on the no movement leaving left alone through to wicketkeeper for no run, fielded by Abhigyan Kundu",e6e488ba-91f5-4435-8932-6fa585227194,225432,"England Under-19s v India Under-19s at Hove, 1st ODI, 27 Jun 2025",8480,India Under-19s in England,2025,"County Ground, Hove",Youth ODI,2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,length ball,outside off,no movement,leave,,,wicketkeeper,Abhigyan Kundu,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
