innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,3422,ECB Women's Select XI,ECBSel,5,1,A Reddy,3,0,0,3/0,3.00,0.01,0.1,0,0,Arundhati Reddy to Emma Lamb,,"Arundhati Reddy to Emma Lamb. Seam in length ball, off stump on the front foot playing a forward defensive shot to square leg for no run, fielded by Harmanpreet Kaur",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,seam in,,length ball,off stump,front foot,forward defensive,,,square leg,Harmanpreet Kaur,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,3422,ECB Women's Select XI,ECBSel,5,1,A Reddy,3,0,0,3/0,3.00,0.02,0.2,0,0,Arundhati Reddy to Emma Lamb,,"Arundhati Reddy to Emma Lamb. In swinger back of a length, outside off on the back foot playing a backward defensive shot to extra cover for no run, fielded by Jemimah Rodrigues",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,in swinger,,back of a length,outside off,back foot,backward defensive,,,extra cover,Jemimah Rodrigues,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,3422,ECB Women's Select XI,ECBSel,5,1,A Reddy,3,0,0,3/0,3.00,0.03,0.3,2,2,Arundhati Reddy to Emma Lamb,,"Arundhati Reddy to Emma Lamb. No movement back of a length, outside off on the back foot cut to deep backward point for 2 runs, fielded by Shafali Verma",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,67000.0,EL Lamb,right,68580.0,A Reddy,right,2295.0,India Women,right pace,2.0,pace,2025-06-24 10:00:58,,,,,,,,105190630.0,175.0,95.0,159.0,7.0,2.0,2.0,False,False,True,False,,no movement,,back of a length,outside off,back foot,cut,,,deep backward point,Shafali Verma,,,,template_structured,2,,False,False,False,False,False,False,False,False,False,
1,3422,ECB Women's Select XI,ECBSel,5,1,A Reddy,3,0,0,3/0,3.00,0.04,0.4,0,0,Arundhati Reddy to Emma Lamb,,"Arundhati Reddy to Emma Lamb. In swinger length ball, off stump on the front foot playing a forward defensive shot to square leg for no run, fielded by Harmanpreet Kaur",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,in swinger,,length ball,off stump,front foot,forward defensive,,,square leg,Harmanpreet Kaur,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,3422,ECB Women's Select XI,ECBSel,5,1,A Reddy,3,0,0,3/0,3.00,0.05,0.5,0,0,Arundhati Reddy to Emma Lamb,,"Arundhati Reddy to Emma Lamb. No movement length ball, outside off on the front foot playing a forward defensive shot to backward point for no run, fielded by Radha Yadav",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,length ball,outside off,front foot,forward defensive,,,backward point,Radha Yadav,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,3422,ECB Women's Select XI,ECBSel,5,1,A Reddy,3,0,0,3/0,3.00,0.06,0.6,1,1,Arundhati Reddy to Emma Lamb,,"Arundhati Reddy to Emma Lamb. No movement full, outside off on the front foot driving to deep cover for 1 run, fielded by Shafali Verma",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,67000.0,EL Lamb,right,68580.0,A Reddy,right,2295.0,India Women,right pace,2.0,pace,2025-06-24 10:02:42,,,,,,,,105190661.0,187.0,90.0,151.0,6.0,1.0,1.0,False,False,True,False,,no movement,,full,outside off,front foot,drive,,,deep cover,Shafali Verma,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,3422,ECB Women's Select XI,ECBSel,5,2,KM Gaud,5,0,0,8/0,5.00,1.01,1.1,0,0,Kranti Gaud to Emma Lamb,,"Kranti Gaud to Emma Lamb. In swinger back of a length, outside off on the back foot cut to short fine leg for no run, fielded by Richa Ghosh",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,in swinger,,back of a length,outside off,back foot,cut,,,short fine leg,Richa Ghosh,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,3422,ECB Women's Select XI,ECBSel,5,2,KM Gaud,5,0,0,8/0,5.00,1.02,1.2,0,0,Kranti Gaud to Emma Lamb,,"Kranti Gaud to Emma Lamb. No movement length ball, outside off on the front foot playing a forward defensive shot to cover for no run, fielded by Jemimah Rodrigues",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,length ball,outside off,front foot,forward defensive,,,cover,Jemimah Rodrigues,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,3422,ECB Women's Select XI,ECBSel,5,2,KM Gaud,5,0,0,8/0,5.00,1.03,1.3,0,0,Kranti Gaud to Emma Lamb,,"Kranti Gaud to Emma Lamb. Away swinger back of a length, outside off on the back foot cut to wicketkeeper for no run, fielded by Richa Ghosh",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,back of a length,outside off,back foot,cut,,,wicketkeeper,Richa Ghosh,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,3422,ECB Women's Select XI,ECBSel,5,2,KM Gaud,5,0,0,8/0,5.00,1.04,1.4,1,1,Kranti Gaud to Emma Lamb,,"Kranti Gaud to Emma Lamb. Away swinger length ball, outside off on the front foot driving to third man for 1 run, fielded by Amanjot Kaur",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,67000.0,EL Lamb,right,83579.0,KM Gaud,right,2295.0,India Women,right pace,2.0,pace,2025-06-24 10:05:40,,,,,,,,105190702.0,118.0,85.0,142.0,8.0,1.0,1.0,False,False,True,False,,away swinger,,length ball,outside off,front foot,drive,,,third man,Amanjot Kaur,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,3422,ECB Women's Select XI,ECBSel,5,2,KM Gaud,5,0,0,8/0,5.00,1.05,1.5,0,0,Kranti Gaud to Maia Bouchier,,"Kranti Gaud to Maia Bouchier. Away swinger back of a length, outside off on the no movement shoulders armssed left alone through to wicketkeeper for no run, fielded by Richa Ghosh",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,back of a length,outside off,no movement,shoulders arms,,,wicketkeeper,Richa Ghosh,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,3422,ECB Women's Select XI,ECBSel,5,2,KM Gaud,5,0,0,8/0,5.00,1.06,1.6,4,4,Kranti Gaud to Maia Bouchier,,"FOUR! Kranti Gaud to Maia Bouchier. No movement back of a length, outside off on the back foot cut well timed for 4 runs",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,68264.0,ME Bouchier,right,83579.0,KM Gaud,right,2295.0,India Women,right pace,2.0,pace,2025-06-24 10:06:44,,,,,,,,105190719.0,174.0,100.0,169.0,7.0,4.0,4.0,False,False,True,False,,no movement,,back of a length,outside off,back foot,cut,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,3422,ECB Women's Select XI,ECBSel,5,3,A Reddy,5,0,0,13/0,5.00,2.01,2.1,0,0,Arundhati Reddy to Emma Lamb,,"Arundhati Reddy to Emma Lamb. No movement full, outside off on the front foot playing a forward defensive shot to cover for no run, fielded by Jemimah Rodrigues",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,full,outside off,front foot,forward defensive,,,cover,Jemimah Rodrigues,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,3422,ECB Women's Select XI,ECBSel,5,3,A Reddy,5,0,0,13/0,5.00,2.02,2.2,4,4,Arundhati Reddy to Emma Lamb,,"FOUR! Arundhati Reddy to Emma Lamb. No movement full, outside off on the front foot driving well timed for 4 runs",800c9fb3-bd99-4f92-81ff-581a6753ae59,228594,"ECB Women's Select XI v India Women at Beckenham, 24 Jun 2025",8378,India Women in England,2025,"The Kent County Cricket Ground, Beckenham",Women's minor one-day,2025-06-24,67000.0,EL Lamb,right,68580.0,A Reddy,right,2295.0,India Women,right pace,2.0,pace,2025-06-24 10:08:10,,,,,,,,105190743.0,200.0,100.0,173.0,6.0,4.0,4.0,False,False,True,False,,no movement,,full,outside off,front foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
