innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1588,Australia Women,AUS,1,1,KM Gaud,9,1,0,9/0,8.00,0.01,0.0,1,1ʷᵈ,Kranti Gaud to Alyssa Healy,,"Wide. Kranti Gaud to Alyssa Healy. Seam away length ball, down leg on the front foot flick to wicketkeeper for 1 wides, fielded by Richa Ghosh",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,seam away,,length ball,down leg,front foot,flick,,,wicketkeeper,Richa Ghosh,,,,template_structured,1,wide,False,True,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,1,KM Gaud,9,1,0,9/0,8.00,0.02,0.1,4,4,Kranti Gaud to Alyssa Healy,,"FOUR! Kranti Gaud to Alyssa Healy. No movement length ball, off stump on the front foot flick well timed for 4 runs",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,20553.0,AJ Healy,right,83579.0,KM Gaud,right,2295.0,India Women,right pace,1.0,pace,2025-09-20 08:02:05,,,,,,,,105646537.0,358.0,100.0,170.0,3.0,4.0,4.0,False,False,True,False,,no movement,,length ball,off stump,front foot,flick,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,1,1,KM Gaud,9,1,0,9/0,8.00,0.03,0.2,0,0,Kranti Gaud to Alyssa Healy,,"Kranti Gaud to Alyssa Healy. No movement full, outside off on the front foot driving to mid wicket for no run, fielded by Harmanpreet Kaur",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,full,outside off,front foot,drive,,,mid wicket,Harmanpreet Kaur,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,1,KM Gaud,9,1,0,9/0,8.00,0.04,0.3,4,4,Kranti Gaud to Alyssa Healy,,"FOUR! Kranti Gaud to Alyssa Healy. Away swinger full, outside off on the front foot driving well timed for 4 runs",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,20553.0,AJ Healy,right,83579.0,KM Gaud,right,2295.0,India Women,right pace,1.0,pace,2025-09-20 08:03:08,,,,,,,,105646539.0,225.0,100.0,177.0,6.0,4.0,4.0,False,False,True,False,,away swinger,,full,outside off,front foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,1,1,KM Gaud,9,1,0,9/0,8.00,0.05,0.4,0,0,Kranti Gaud to Alyssa Healy,,"Kranti Gaud to Alyssa Healy. Away swinger length ball, outside off on the no movement leaving left alone through to wicketkeeper for no run, fielded by Richa Ghosh",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,length ball,outside off,no movement,leave,,,wicketkeeper,Richa Ghosh,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,1,KM Gaud,9,1,0,9/0,8.00,0.06,0.5,0,0,Kranti Gaud to Alyssa Healy,,"Kranti Gaud to Alyssa Healy. No movement length ball, off stump on the front foot pushed to bowler for no run, fielded by Kranti Gaud",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,length ball,off stump,front foot,push,,,bowler,Kranti Gaud,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,1,KM Gaud,9,1,0,9/0,8.00,0.07,0.6,0,0,Kranti Gaud to Alyssa Healy,,"Kranti Gaud to Alyssa Healy. Seam in length ball, outside off on the front foot playing a forward defensive shot to bowler for no run, fielded by Kranti Gaud",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,seam in,,length ball,outside off,front foot,forward defensive,,,bowler,Kranti Gaud,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,2,Renuka Singh Thakur,11,2,0,20/0,7.71,1.01,1.1,0,0,Renuka Singh Thakur to Georgia Voll,,"Renuka Singh Thakur to Georgia Voll. Seam in length ball, outside off on the back foot worked to mid on for no run, fielded by Harleen Deol",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,seam in,,length ball,outside off,back foot,work,,,mid on,Harleen Deol,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,2,Renuka Singh Thakur,11,2,0,20/0,7.71,1.02,1.2,0,0,Renuka Singh Thakur to Georgia Voll,,"Renuka Singh Thakur to Georgia Voll. In swinger length ball, outside off on the front foot playing a forward defensive shot to bowler for no run, fielded by Renuka Singh Thakur",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,in swinger,,length ball,outside off,front foot,forward defensive,,,bowler,Renuka Singh Thakur,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,2,Renuka Singh Thakur,11,2,0,20/0,7.71,1.03,1.2,1,1ⁿᵇ,Renuka Singh Thakur to Georgia Voll,,"No ball. Renuka Singh Thakur to Georgia Voll. No movement length ball, outside off on the back foot driving to extra cover for 1 runs, fielded by Deepti Sharma",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,length ball,outside off,back foot,drive,,,extra cover,Deepti Sharma,,,,template_structured,1,no ball,False,False,True,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,2,Renuka Singh Thakur,11,2,0,20/0,7.71,1.04,1.3,4,4,Renuka Singh Thakur to Georgia Voll,,"FOUR! Renuka Singh Thakur to Georgia Voll. No movement back of a length, outside off on the front foot slogged well timed for 4 runs",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,73773.0,GA Voll,right,75268.0,Renuka Singh Thakur,right,2295.0,India Women,right pace,2.0,pace,2025-09-20 08:07:50,,,,,,,,105646546.0,309.0,100.0,178.0,4.0,4.0,4.0,False,False,True,False,,no movement,,back of a length,outside off,front foot,slog,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,1,2,Renuka Singh Thakur,11,2,0,20/0,7.71,1.05,1.4,1,1,Renuka Singh Thakur to Georgia Voll,,"Renuka Singh Thakur to Georgia Voll. Seam in length ball, outside off on the back foot worked to short mid wicket for 1 run, fielded by Harmanpreet Kaur",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,73773.0,GA Voll,right,75268.0,Renuka Singh Thakur,right,2295.0,India Women,right pace,2.0,pace,2025-09-20 08:08:23,,,,,,,,105646547.0,319.0,40.0,68.0,3.0,1.0,1.0,False,False,True,False,,seam in,,length ball,outside off,back foot,work,,,short mid wicket,Harmanpreet Kaur,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,2,Renuka Singh Thakur,11,2,0,20/0,7.71,1.06,1.4,1,1ʷᵈ,Renuka Singh Thakur to Alyssa Healy,,"Wide. Renuka Singh Thakur to Alyssa Healy. No movement length ball, wide outside off on the no movement leaving left alone through to wicketkeeper for 1 wides, fielded by Richa Ghosh",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,length ball,wide outside off,no movement,leave,,,wicketkeeper,Richa Ghosh,,,,template_structured,1,wide,False,True,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,2,Renuka Singh Thakur,11,2,0,20/0,7.71,1.07,1.5,0,0,Renuka Singh Thakur to Alyssa Healy,,"Renuka Singh Thakur to Alyssa Healy. No movement length ball, outside off on the front foot playing a forward defensive shot to extra cover for no run, fielded by Deepti Sharma",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,length ball,outside off,front foot,forward defensive,,,extra cover,Deepti Sharma,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,2,Renuka Singh Thakur,11,2,0,20/0,7.71,1.08,1.6,4,4,Renuka Singh Thakur to Alyssa Healy,,"FOUR! Renuka Singh Thakur to Alyssa Healy. No movement full, outside off on the front foot flick well timed for 4 runs",21cd64bc-acf9-4c07-bf78-f4e636b67e1b,228508,"India Women v Australia Women at Delhi, 3rd ODI, 20 Sep 2025",8670,Australia Women in India,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Women's ODI,2025-09-20,20553.0,AJ Healy,right,75268.0,Renuka Singh Thakur,right,2295.0,India Women,right pace,2.0,pace,2025-09-20 08:10:08,,,,,,,,105646550.0,324.0,100.0,176.0,3.0,4.0,4.0,False,False,True,False,,no movement,,full,outside off,front foot,flick,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
