innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1939,Sri Lanka Women,SRI,5,1,BG Illing,6,0,0,6/0,6.00,0.01,0.1,1,1,"Illing to Gunaratne, 1 run",Vishmi Gunaratne and Chamari Athapaththu head out to the middle. Bree Illing takes the ball for their 1st spell,"Bree Illing bowls a back of a length delivery on leg stump. Vishmi Gunaratne works the ball and takes a single to fine leg, comfortably off the mark. Vishmi Gunaratne opens her account early in the innings.",27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,75892.0,RMVD Gunaratne,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-14 09:32:10,9.884,0.156,4.0,-0.047,0.764,2.0,1.0,105750557.0,43.0,85.0,139.0,2.0,1.0,1.0,True,True,True,False,,,,back of a length,leg stump,,work,,,fine leg,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,5,1,BG Illing,6,0,0,6/0,6.00,0.02,0.2,0,0,"Illing to Athapaththu, no run",,"Illing bowls a swinging away ball on a length just outside off stump. Athapaththu shoulders arms, no run.",27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,24436.0,AMCJK Athapaththu,left,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-14 09:33:04,7.250,0.483,4.0,0.548,0.720,3.0,1.0,,,,,,,,True,True,False,False,,,,,outside off,,shoulders arms,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,1,BG Illing,6,0,0,6/0,6.00,0.03,0.3,4,4,"Illing to Athapaththu, 4 runs",,Bree Illing bowls a full-length ball outside off that swings away. Chamari Athapaththu drives it beautifully with perfect timing through cover for four. Chamari Athapaththu gets off the mark with an impressive opening boundary.,27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,24436.0,AMCJK Athapaththu,left,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-14 09:33:30,4.777,0.231,2.0,0.271,0.514,3.0,1.0,105750564.0,342.0,100.0,173.0,3.0,4.0,4.0,True,True,True,False,,,,length ball,outside off,,drive,,,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1939,Sri Lanka Women,SRI,5,1,BG Illing,6,0,0,6/0,6.00,0.04,0.4,0,0,"Illing to Athapaththu, no run",,Bree Illing bowls a swinging length delivery outside off. Chamari Athapaththu shoulders arms to a defensive shot. No run.,27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,24436.0,AMCJK Athapaththu,left,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-14 09:34:09,5.555,0.424,3.0,0.479,0.546,3.0,1.0,,,,,,,,True,True,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,1,BG Illing,6,0,0,6/0,6.00,0.05,0.5,1,1,"Illing to Athapaththu, 1 run",,"Bree Illing bowls a length ball on outside off. Athapaththu plays a defensive shot with an inside edge, taking a single.",27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,24436.0,AMCJK Athapaththu,left,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-14 09:34:45,6.232,0.336,3.0,0.149,0.580,2.0,1.0,105750569.0,164.0,80.0,133.0,7.0,1.0,1.0,True,True,True,False,,,,length ball,outside off,,,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,5,1,BG Illing,6,0,0,6/0,6.00,0.06,0.6,0,0,"Illing to Gunaratne, no run",,"Bree Illing bowls a swinging length ball on leg stump. Vishmi Gunaratne attempts a flick but misses, the ball striking her pads. No run taken.",27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,75892.0,RMVD Gunaratne,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-14 09:35:19,4.536,0.119,2.0,0.131,0.487,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,leg stump,,flick,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,2,RA Mair,4,3,0,10/0,1.00,1.01,1.1,1,1,"Mair to Athapaththu, 1 run",Rosemary Mair takes the ball for their 1st spell,"Rosemary Mair bowls a back of a length delivery on leg stump. Chamari Athapaththu plays a defensive shot, inside edges for one run, fielded by Brooke Halliday at fine leg.",27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,24436.0,AMCJK Athapaththu,left,70190.0,RA Mair,right,1913.0,New Zealand Women,right pace,1.0,pace,2025-10-14 09:36:57,7.698,-0.127,4.0,0.101,0.666,2.0,1.0,105750583.0,136.0,75.0,122.0,7.0,1.0,1.0,True,True,True,False,,,,back of a length,leg stump,,,,,fine leg,Brooke Halliday at fine leg,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,5,2,RA Mair,4,3,0,10/0,1.00,1.02,1.2,0,0,"Mair to Gunaratne, no run",,Rosemary Mair delivers a length ball outside off. Vishmi Gunaratne pushes it cautiously towards extra cover where Jess Kerr fields it cleanly. No run added to the scoreboard.,27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,75892.0,RMVD Gunaratne,right,70190.0,RA Mair,right,1913.0,New Zealand Women,right pace,1.0,pace,2025-10-14 09:37:40,6.190,-0.448,3.0,-0.478,0.595,1.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,push,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,2,RA Mair,4,3,0,10/0,1.00,1.03,1.3,0,0,"Mair to Gunaratne, no run",,"Rosemary Mair bowls a swinging ball outside off at length. Vishmi Gunaratne drives it with a neutral connection, but there's no run.",27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,75892.0,RMVD Gunaratne,right,70190.0,RA Mair,right,1913.0,New Zealand Women,right pace,1.0,pace,2025-10-14 09:38:11,5.358,-0.428,3.0,-0.574,0.525,1.0,1.0,,,,,,,,True,True,False,False,,,,,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,2,RA Mair,4,3,0,10/0,1.00,1.04,1.4,0,0,"Mair to Gunaratne, no run",,"Mair delivers a no movement ball outside off at the back of a length. Vishmi Gunaratne works it with a neutral connection, playing it along the ground to Melie Kerr at square leg for no run.",27311f04-536a-47b4-a11b-78e3d9fa08fc,228840,"Sri Lanka Women v New Zealand Women at Colombo (RPS), ICC Women's Cricket World Cup, 14 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-14,75892.0,RMVD Gunaratne,right,70190.0,RA Mair,right,1913.0,New Zealand Women,right pace,1.0,pace,2025-10-14 09:38:37,8.081,-0.269,4.0,-0.040,0.664,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,no movement,work,along the ground,,square leg,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
