innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1913,New Zealand Women,NZL,1,1,LK Bell,10,0,0,10/0,10.00,0.01,0.1,0,0,"Bell to Bates, no run",Suzie Bates and Georgia Plimmer head out to the middle. Lauren Bell takes the ball for their 1st spell,"Lauren Bell bowls a swinging delivery outside off stump, landed back of a length. Suzie Bates pushes it cautiously, keeping the ball on the ground to extra cover where Heather Knight fields without trouble. No run from the opening ball.",28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2025-10-26 05:30:23,10.464,-0.452,4.0,-0.506,1.076,1.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,push,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,1,1,LK Bell,10,0,0,10/0,10.00,0.02,0.2,4,4,"Bell to Bates, 4 runs",,Lauren Bell bowls a swinging away length ball outside off. Suzie Bates plays a well-timed drive through cover for four runs. Suzie Bates gets off the mark with a classy boundary.,28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2025-10-26 05:30:59,6.089,-0.582,3.0,-0.709,0.712,0.0,1.0,105805608.0,202.0,100.0,174.0,6.0,4.0,4.0,True,True,True,False,,,,length ball,outside off,,drive,,,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1913,New Zealand Women,NZL,1,1,LK Bell,10,0,0,10/0,10.00,0.03,0.3,4,4,"Bell to Bates, 4 runs",,"A no movement delivery pitched back of a length on middle stump. Suzie Bates executes a well-timed pull shot, sending the ball racing through fine leg for four. Suzie Bates adds another boundary, her second four of the over.",28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2025-10-26 05:31:52,9.429,-0.053,4.0,0.420,1.034,3.0,2.0,105805619.0,32.0,100.0,165.0,2.0,4.0,4.0,True,True,True,False,,,,back of a length,middle stump,no movement,pull,,,fine leg,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1913,New Zealand Women,NZL,1,1,LK Bell,10,0,0,10/0,10.00,0.04,0.4,2,2,"Bell to Bates, 2 runs",,"Lauren Bell bowls a full delivery on the outside off. Suzie Bates drives cleanly, running a quick two as Sophie Ecclestone saves a run at mid off, backed up by Sophia Dunkley at long off.",28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2025-10-26 05:32:32,4.987,-0.368,2.0,-0.252,0.564,1.0,1.0,105805628.0,263.0,85.0,154.0,5.0,2.0,2.0,True,True,True,False,,,,full,outside off,,drive,,,mid off,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,1913,New Zealand Women,NZL,1,1,LK Bell,10,0,0,10/0,10.00,0.05,0.5,0,0,"Bell to Bates, no run",,Lauren Bell bowls a swinging length ball outside off. Suzie Bates drives it well-timed through extra cover but there's no run as Alice Capsey fields it cleanly.,28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2025-10-26 05:33:22,5.756,-0.356,3.0,-0.185,0.627,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,drive,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,1,1,LK Bell,10,0,0,10/0,10.00,0.06,0.6,0,0,"Bell to Bates, no run",,"Lauren Bell bowls a short, outside off delivery. Suzie Bates defends it solidly back to the bowler for no run.",28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2025-10-26 05:33:57,10.650,-0.523,4.0,-0.046,1.025,2.0,2.0,,,,,,,,True,True,False,False,,,,short,outside off,,,,,bowler,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,1,2,LCN Smith,1,0,0,11/0,1.00,1.01,1.1,0,0,"Smith to Plimmer, no run",Linsey Smith takes the ball for their 1st spell,"Linsey Smith bowls a stock ball outside off, pitching back of a length. Georgia Plimmer works it with a controlled shot, no runs scored.",28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,76588,GE Plimmer,right,66977,LCN Smith,left,2510,England Women,left orthodox,5,spin,2025-10-26 05:35:26,7.084,-0.204,4.0,0.296,0.622,3.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,work,,controlled,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,1,2,LCN Smith,1,0,0,11/0,1.00,1.02,1.2,1,1,"Smith to Plimmer, 1 run",,Linsey Smith bowls a stock ball short and outside off. Georgia Plimmer works it neatly on the ground to deep square leg for a single. Georgia Plimmer gets off the mark with a well-timed run.,28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,76588,GE Plimmer,right,66977,LCN Smith,left,2510,England Women,left orthodox,5,spin,2025-10-26 05:35:44,8.196,-0.266,4.0,0.259,0.491,3.0,1.0,105805668.0,350.0,75.0,124.0,3.0,1.0,1.0,True,True,True,False,,,,short,outside off,,work,,,deep square leg,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1913,New Zealand Women,NZL,1,2,LCN Smith,1,0,0,11/0,1.00,1.03,1.3,0,0,"Smith to Bates, no run",,Smith delivers a stock ball pitching back of a length outside off. Bates pushes it cautiously back to mid on for no run.,28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,66977,LCN Smith,left,2510,England Women,left orthodox,5,spin,2025-10-26 05:36:20,5.537,-0.246,3.0,0.160,0.636,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,push,,,mid on,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,1,2,LCN Smith,1,0,0,11/0,1.00,1.04,1.4,0,0,"Smith to Bates, no run",,Linsey Smith delivers a stock length ball outside off. Suzie Bates plays a solid defensive stroke; no run taken.,28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,66977,LCN Smith,left,2510,England Women,left orthodox,5,spin,2025-10-26 05:36:46,4.575,-0.318,2.0,-0.096,0.638,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,1,2,LCN Smith,1,0,0,11/0,1.00,1.05,1.5,0,0,"Smith to Bates, no run",,"Smith delivers a stock ball outside off at the back of a length. Bates attempts a push but mistimes it, resulting in no runs.",28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,66977,LCN Smith,left,2510,England Women,left orthodox,5,spin,2025-10-26 05:37:07,6.074,-0.247,3.0,-0.014,0.591,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,1,2,LCN Smith,1,0,0,11/0,1.00,1.06,1.6,0,0,"Smith to Bates, no run",,"Smith delivers a short stock ball on off stump. Bates pushes it with a neutral connection to mid-wicket, fielded quickly by Nat Sciver-Brunt. No run.",28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,25492,SW Bates,right,66977,LCN Smith,left,2510,England Women,left orthodox,5,spin,2025-10-26 05:37:26,7.141,-0.173,4.0,0.295,0.546,3.0,1.0,,,,,,,,True,True,False,False,,,,short,off stump,,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,1,3,LK Bell,1,0,0,12/0,1.00,2.01,2.1,0,0,"Bell to Plimmer, no run",Lauren Bell continues their spell,"Lauren Bell bowls a swinging ball just outside off, landing back of a length. Georgia Plimmer defends it solidly, no run taken.",28920c48-2b51-4e16-adfd-f5569521e267,228852,"England Women v New Zealand Women at Visakhapatnam, ICC Women's Cricket World Cup, 26 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-26,76588,GE Plimmer,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2025-10-26 05:38:32,8.483,-0.220,4.0,-0.252,0.757,1.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
