innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2295,India Women,IND,5,1,M Kapp,0,0,0,0/0,0.00,0.01,0.1,0,0,"Kapp to Mandhana, no run",Smriti Mandhana and Shafali Verma head out to the middle. Marizanne Kapp takes the ball for their 1st spell,Marizanne Kapp delivers a swinging away ball on off stump at the back of a length. Smriti Mandhana pushes it calmly towards extra cover where Nadine de Klerk fields it. No run.,2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,30717,SS Mandhana,left,24481,M Kapp,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:31:45,8.230,0.123,4.0,0.581,0.684,3.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,off stump,,push,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,M Kapp,0,0,0,0/0,0.00,0.02,0.2,0,0,"Kapp to Mandhana, no run",,"Kapp bowls a length ball on off stump. Mandhana pushes it neatly towards cover, where Dercksen fields comfortably. No run scored.",2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,30717,SS Mandhana,left,24481,M Kapp,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:32:17,6.186,0.080,3.0,0.227,0.642,3.0,1.0,,,,,,,,True,True,False,False,,,,length ball,off stump,,push,,,cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,M Kapp,0,0,0,0/0,0.00,0.03,0.3,0,0,"Kapp to Mandhana, no run",,Kapp delivers a swinging-in length ball on leg stump. Mandhana works it with a controlled shot; Wolvaardt fields efficiently at mid-wicket. No run taken.,2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,30717,SS Mandhana,left,24481,M Kapp,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:32:49,7.307,-0.150,4.0,-0.143,0.717,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,leg stump,,work,,controlled,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,M Kapp,0,0,0,0/0,0.00,0.04,0.4,0,0,"Kapp to Mandhana, no run",,"Kapp bowls a full delivery on middle stump. Mandhana carefully drives it under control, but Nadine de Klerk at mid-off collects it safely. No run.",2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,30717,SS Mandhana,left,24481,M Kapp,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:33:22,4.132,-0.014,2.0,0.066,0.544,2.0,1.0,,,,,,,,True,True,False,False,,,,full,middle stump,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,M Kapp,0,0,0,0/0,0.00,0.05,0.5,0,0,"Kapp to Mandhana, no run",,Kapp bowls a length ball on leg stump with no movement. Mandhana pushes it cautiously to mid off where Nadine de Klerk fields cleanly. No run.,2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,30717,SS Mandhana,left,24481,M Kapp,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:33:52,6.510,-0.112,3.0,0.061,0.608,2.0,1.0,,,,,,,,True,True,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,M Kapp,0,0,0,0/0,0.00,0.06,0.6,0,0,"Kapp to Mandhana, no run",,Kapp bowls a length ball on leg stump. Mandhana pushes it cautiously to extra cover where Brits fields it cleanly. No run.,2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,30717,SS Mandhana,left,24481,M Kapp,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:34:22,5.107,-0.157,3.0,-0.087,0.597,2.0,1.0,,,,,,,,True,True,False,False,,,,,,,,,,,,,,,minimal,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,2,A Khaka,7,1,0,7/0,6.00,1.01,1.1,4,4,"Khaka to Verma, 4 runs",Ayabonga Khaka takes the ball for their 1st spell,"Khaka delivers a swinging away length ball just outside off. Shafali Verma executes a well-timed drive, sending it through covers for four. It's the first four of the innings, marking Shafali Verma's entry into the scoring brightly.",2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,75479,S Verma,right,27665,A Khaka,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:35:37,6.216,-0.611,3.0,-0.730,0.607,0.0,1.0,105834242.0,182.0,100.0,170.0,6.0,4.0,4.0,True,True,True,False,,,,length ball,outside off,,drive,,,,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2295,India Women,IND,5,2,A Khaka,7,1,0,7/0,6.00,1.02,1.2,1,1ˡᵇ,"Khaka to Verma, 1 run",,"Ayabonga Khaka bowls a full delivery on leg stump swinging in. Shafali Verma attempts a flick but misses, the ball strikes her pads and they sneak through for a leg bye.",2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,75479,S Verma,right,27665,A Khaka,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:36:13,4.611,0.128,2.0,0.576,0.546,3.0,1.0,,,,,,,,True,True,False,False,,,,full,leg stump,,flick,,,,,,,,keyword,1,leg bye,False,False,False,False,True,False,False,False,False,
1,2295,India Women,IND,5,2,A Khaka,7,1,0,7/0,6.00,1.03,1.3,1,1,"Khaka to Mandhana, 1 run",,Ayabonga Khaka bowls a full ball on off stump. Smriti Mandhana plays a controlled drive to deep cover and takes a single. Smriti Mandhana gets off the mark for India Women.,2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,30717,SS Mandhana,left,27665,A Khaka,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:37:03,3.871,0.080,2.0,0.322,0.517,3.0,1.0,105834254.0,339.0,85.0,146.0,3.0,1.0,1.0,True,True,True,False,,,,full,off stump,,drive,,controlled,deep cover,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,2,A Khaka,7,1,0,7/0,6.00,1.04,1.4,0,0,"Khaka to Verma, no run",,Ayabonga Khaka bowls a swinging ball on a length outside off. Shafali Verma pushes it cautiously towards backward point where Anneke Bosch fields it cleanly. No run taken.,2b893690-23b7-40c7-b3b5-fce9834d336f,228856,"India Women v South Africa Women at Navi Mumbai, ICC Women's Cricket World Cup, Final, 2 Nov 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr DY Patil Sports Academy, Navi Mumbai",Women's ODI,2025-11-02,75479,S Verma,right,27665,A Khaka,right,1817,South Africa Women,right pace,1,pace,2025-11-02 11:37:35,8.313,-0.467,4.0,-0.123,0.826,2.0,1.0,,,,,,,,True,True,False,False,,,,,outside off,,push,,,backward point,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
