innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2510,England Women,ENG,5,1,Fatima Sana,8,0,0,8/0,8.00,0.01,0.1,0,0,"Sana to Jones, no run",Amy Jones and Tammy Beaumont head out to the middle. Fatima Sana takes the ball for their 1st spell,"Fatima Sana bowls a no movement delivery, back of a length outside off. Amy Jones blocks it awkwardly with her shoulders and arms. No run.",2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,17915.0,AE Jones,right,71023.0,Fatima Sana,right,1452.0,Pakistan Women,right pace,1.0,pace,2025-10-15 09:32:18,7.915,-0.673,4.0,-0.479,0.717,1.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,no movement,block,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,1,Fatima Sana,8,0,0,8/0,8.00,0.02,0.2,4,4,"Sana to Jones, 4 runs",,Fatima Sana delivers a swinging-in full ball on leg stump. Amy Jones flicks it with perfect timing through deep backward square leg for a boundary. Amy Jones opens her account with style.,2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,17915.0,AE Jones,right,71023.0,Fatima Sana,right,1452.0,Pakistan Women,right pace,1.0,pace,2025-10-15 09:32:23,3.751,0.144,2.0,0.371,0.411,3.0,0.0,105756615.0,3.0,100.0,169.0,2.0,4.0,4.0,True,True,True,False,,,,full,leg stump,,flick,,,deep backward square leg,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2510,England Women,ENG,5,1,Fatima Sana,8,0,0,8/0,8.00,0.03,0.3,0,0,"Sana to Jones, no run",,Fatima Sana bowls a swinging away length ball outside off. Amy Jones attempts a defensive stroke but misses. No run.,2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,1,Fatima Sana,8,0,0,8/0,8.00,0.04,0.4,0,0,"Sana to Jones, no run",,Fatima Sana bowls a swinging-in length ball on off stump. Amy Jones attempts a worked shot but misses as the ball strikes her pad. No run.,2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,17915.0,AE Jones,right,71023.0,Fatima Sana,right,1452.0,Pakistan Women,right pace,1.0,pace,2025-10-15 09:32:50,5.526,-0.065,3.0,0.380,0.553,3.0,1.0,,,,,,,,True,True,False,False,,,,length ball,off stump,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,1,Fatima Sana,8,0,0,8/0,8.00,0.05,0.5,0,0,"Sana to Jones, no run",,"Fatima Sana bowls a full toss outside off. Amy Jones attempts a controlled drive, but it is well fielded by Omaima Sohail at cover. No run.",2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,17915.0,AE Jones,right,71023.0,Fatima Sana,right,1452.0,Pakistan Women,right pace,1.0,pace,2025-10-15 09:33:26,1.579,-0.592,1.0,-0.580,0.226,1.0,0.0,,,,,,,,True,True,False,False,,,,full toss,outside off,,drive,,controlled,cover,Omaima Sohail at cover,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,1,Fatima Sana,8,0,0,8/0,8.00,0.06,0.6,4,4,"Sana to Jones, 4 runs",,"A no movement delivery pitched back of a length outside off. Amy Jones plays a well-timed, controlled drive through cover for four. Amy Jones accumulates her second boundary of the over.",2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,17915.0,AE Jones,right,71023.0,Fatima Sana,right,1452.0,Pakistan Women,right pace,1.0,pace,2025-10-15 09:34:06,8.141,-0.523,4.0,-0.656,0.699,0.0,1.0,105756632.0,206.0,100.0,174.0,6.0,4.0,4.0,True,True,True,False,,,,back of a length,outside off,no movement,drive,,controlled,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2510,England Women,ENG,5,2,Diana Baig,14,2,1,22/1,10.28,1.01,1.0,1,1ⁿᵇ,"Baig to Beaumont, 1 run (no ball)",Diana Baig takes the ball for their 1st spell,"Diana Baig bowls a swinging away length delivery outside off. Tammy Beaumont defends it solidly, but the front foot no ball adds an extra to the total.",2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,17910.0,TT Beaumont,right,25410.0,Diana Baig,right,1452.0,Pakistan Women,right pace,1.0,pace,2025-10-15 09:35:55,6.125,-0.303,3.0,-0.356,0.552,1.0,1.0,,,,,,,,True,True,False,False,,,,,outside off,front foot,,,,,,,,,keyword,1,no ball,False,False,True,False,False,False,False,False,False,
1,2510,England Women,ENG,5,2,Diana Baig,14,2,1,22/1,10.28,1.02,1.1,4,4,"Baig to Beaumont, 4 runs",,"Baig bowls a swinging away delivery outside off, back of a length. Beaumont executes a well-timed cut through cover for four. Beaumont gets off the mark with style.",2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,17910.0,TT Beaumont,right,25410.0,Diana Baig,right,1452.0,Pakistan Women,right pace,1.0,pace,2025-10-15 09:36:38,7.686,-0.586,4.0,-0.730,0.716,0.0,1.0,105756654.0,182.0,100.0,170.0,6.0,4.0,4.0,True,True,True,False,,,,back of a length,outside off,,cut,,,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2510,England Women,ENG,5,2,Diana Baig,14,2,1,22/1,10.28,1.03,1.2,0,0,"Baig to Beaumont, no run",,"Diana Baig delivers a swinging ball pitched back of a length outside off. Tammy Beaumont pushes it with a controlled touch, and Aliya Riaz fields it at cover. No run scored.",2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,17910.0,TT Beaumont,right,25410.0,Diana Baig,right,1452.0,Pakistan Women,right pace,1.0,pace,2025-10-15 09:37:08,8.376,-0.418,4.0,-0.561,0.731,1.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,push,,controlled,cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,2,Diana Baig,14,2,1,22/1,10.28,1.04,1.3,0,W,"Baig to Beaumont, out!",,"Diana Baig bowls a swinging ball outside off at back of a length. Tammy Beaumont tries to leave, misses the ball, and is bowled cleanly. Early breakthrough! Tammy Beaumont falls for 4 runs off 4 balls. Pakistan Women seize momentum, their win probability surging from 34% to 49%.",2e795b88-709a-4e32-b32b-1a0eadf54cc6,228841,"England Women v Pakistan Women at Colombo (RPS), ICC Women's Cricket World Cup, 15 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"R Premadasa Stadium, Colombo",Women's ODI,2025-10-15,17910.0,TT Beaumont,right,25410.0,Diana Baig,right,1452.0,Pakistan Women,right pace,1.0,pace,2025-10-15 09:37:45,7.055,-0.415,4.0,-0.042,0.716,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,leave,,,,,bowled,,,keyword,0,,True,False,False,False,False,False,False,False,False,commentary
