innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1913,New Zealand Women,NZL,5,1,Marufa Akter,2,2,0,2/0,0.00,0.01,0.0,1,1ⁿᵇ,Marufa Akter to Suzie Bates,,"No ball. Marufa Akter to Suzie Bates. In swinger beamer, outside off on the back foot cut to cover for 1 runs, fielded by Shorna Akter",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,25492,SW Bates,right,78542,Marufa Akter,right,1596,Bangladesh Women,right pace,1,pace,2025-10-10 09:31:47,-2.944,-0.345,0.0,-0.537,0.667,1.0,1.0,,,,,,,,True,True,False,False,,in swinger,,beamer,outside off,back foot,cut,,,cover,Shorna Akter,,,,template_structured,1,no ball,False,False,True,False,False,False,False,False,False,
1,1913,New Zealand Women,NZL,5,1,Marufa Akter,2,2,0,2/0,0.00,0.02,0.1,0,0,Marufa Akter to Suzie Bates,,"Marufa Akter to Suzie Bates. In swinger back of a length, outside off on the back foot slogged to bowler for no run, fielded by Marufa Akter",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,25492,SW Bates,right,78542,Marufa Akter,right,1596,Bangladesh Women,right pace,1,pace,2025-10-10 09:32:22,7.759,-0.371,4.0,0.402,0.618,3.0,1.0,,,,,,,,True,True,False,False,,in swinger,,back of a length,outside off,back foot,slog,,,bowler,Marufa Akter,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,5,1,Marufa Akter,2,2,0,2/0,0.00,0.03,0.1,1,1ʷᵈ,Marufa Akter to Suzie Bates,,"Wide. Marufa Akter to Suzie Bates. No movement full, wide outside off on the front foot leaving left alone through to wicketkeeper for 1 wides, fielded by Nigar Sultana Joty",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,25492,SW Bates,right,78542,Marufa Akter,right,1596,Bangladesh Women,right pace,1,pace,2025-10-10 09:33:02,4.397,-1.198,2.0,,,,,,,,,,,,True,False,False,False,,no movement,,full,wide outside off,front foot,leave,,,wicketkeeper,Nigar Sultana Joty,,,,template_structured,1,wide,False,True,False,False,False,False,False,False,False,
1,1913,New Zealand Women,NZL,5,1,Marufa Akter,2,2,0,2/0,0.00,0.04,0.2,0,0,Marufa Akter to Suzie Bates,,"Marufa Akter to Suzie Bates. In swinger length ball, outside off on the front foot worked to mid on for no run, fielded by Nahida Akter",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,25492,SW Bates,right,78542,Marufa Akter,right,1596,Bangladesh Women,right pace,1,pace,2025-10-10 09:33:53,6.708,-0.493,3.0,0.009,0.701,2.0,1.0,,,,,,,,True,True,False,False,,in swinger,,length ball,outside off,front foot,work,,,mid on,Nahida Akter,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,5,1,Marufa Akter,2,2,0,2/0,0.00,0.05,0.3,0,0,Marufa Akter to Suzie Bates,,"Marufa Akter to Suzie Bates. In swinger back of a length, wide outside off on the back foot pushed for no run",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,25492,SW Bates,right,78542,Marufa Akter,right,1596,Bangladesh Women,right pace,1,pace,2025-10-10 09:34:30,7.441,-0.645,4.0,-0.005,0.609,2.0,1.0,,,,,,,,True,True,False,False,,in swinger,,back of a length,wide outside off,back foot,push,,,,,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,5,1,Marufa Akter,2,2,0,2/0,0.00,0.06,0.4,0,0,Marufa Akter to Suzie Bates,,"Marufa Akter to Suzie Bates. In swinger back of a length, outside off on the front foot worked to mid wicket for no run, fielded by Sobhana Mostary",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,25492,SW Bates,right,78542,Marufa Akter,right,1596,Bangladesh Women,right pace,1,pace,2025-10-10 09:36:14,7.174,-0.454,4.0,0.090,0.627,2.0,1.0,,,,,,,,True,True,False,False,,in swinger,,back of a length,outside off,front foot,work,,,mid wicket,Sobhana Mostary,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,5,1,Marufa Akter,2,2,0,2/0,0.00,0.07,0.5,0,0,Marufa Akter to Suzie Bates,,"Marufa Akter to Suzie Bates. In swinger back of a length, wide outside off down the track worked to bowler for no run, fielded by Marufa Akter",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,25492,SW Bates,right,78542,Marufa Akter,right,1596,Bangladesh Women,right pace,1,pace,2025-10-10 09:36:54,10.003,-0.728,4.0,-0.162,0.701,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,wide outside off,down the track,work,,,bowler,Marufa Akter,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,5,1,Marufa Akter,2,2,0,2/0,0.00,0.08,0.6,0,0,Marufa Akter to Suzie Bates,,"Marufa Akter to Suzie Bates. In swinger length ball, outside off on the front foot driving to bowler for no run, fielded by Marufa Akter",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,25492,SW Bates,right,78542,Marufa Akter,right,1596,Bangladesh Women,right pace,1,pace,2025-10-10 09:37:47,5.221,-0.397,3.0,0.038,0.548,2.0,1.0,,,,,,,,True,True,False,False,,in swinger,,length ball,outside off,front foot,drive,,,bowler,Marufa Akter,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,5,2,Nahida Akter,2,0,0,4/0,2.00,1.01,1.1,1,1,Nahida Akter to Georgia Plimmer,,"Nahida Akter to Georgia Plimmer. Left-arm orthodox stock back of a length, outside off on the back foot pushed to deep extra cover for 1 run, fielded by Nishita Akter Nishi",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,76588,GE Plimmer,right,38840,Nahida Akter,left,1596,Bangladesh Women,left orthodox,5,spin,2025-10-10 09:39:19,5.987,-0.333,3.0,-0.342,0.597,1.0,1.0,105738014.0,239.0,70.0,126.0,5.0,1.0,1.0,True,True,True,False,,left-arm orthodox,stock,back of a length,outside off,back foot,push,,,deep extra cover,Nishita Akter Nishi,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,1913,New Zealand Women,NZL,5,2,Nahida Akter,2,0,0,4/0,2.00,1.02,1.2,1,1,Nahida Akter to Suzie Bates,,"Nahida Akter to Suzie Bates. Left-arm orthodox stock length ball, outside off on the front foot driving to long off for 1 run, fielded by Nishita Akter Nishi",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,25492,SW Bates,right,38840,Nahida Akter,left,1596,Bangladesh Women,left orthodox,5,spin,2025-10-10 09:39:56,3.117,-0.410,2.0,-0.438,0.582,1.0,1.0,105738017.0,246.0,80.0,137.0,5.0,1.0,1.0,True,True,True,False,,left-arm orthodox,stock,length ball,outside off,front foot,drive,,,long off,Nishita Akter Nishi,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,1913,New Zealand Women,NZL,5,2,Nahida Akter,2,0,0,4/0,2.00,1.03,1.3,0,0,Nahida Akter to Georgia Plimmer,,"Nahida Akter to Georgia Plimmer. Left-arm orthodox stock back of a length, outside off on the back foot pushed to extra cover for no run, fielded by Fahima Khatun",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,76588,GE Plimmer,right,38840,Nahida Akter,left,1596,Bangladesh Women,left orthodox,5,spin,2025-10-10 09:40:18,6.614,-0.441,3.0,-0.361,0.516,1.0,1.0,,,,,,,,True,True,False,False,,left-arm orthodox,stock,back of a length,outside off,back foot,push,,,extra cover,Fahima Khatun,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,5,2,Nahida Akter,2,0,0,4/0,2.00,1.04,1.4,0,0,Nahida Akter to Georgia Plimmer,,"Nahida Akter to Georgia Plimmer. Left-arm orthodox stock length ball, outside off on the front foot pushed to bowler for no run, fielded by Nahida Akter",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,76588,GE Plimmer,right,38840,Nahida Akter,left,1596,Bangladesh Women,left orthodox,5,spin,2025-10-10 09:40:44,3.369,-0.297,2.0,-0.165,0.577,2.0,1.0,,,,,,,,True,True,False,False,,left-arm orthodox,stock,length ball,outside off,front foot,push,,,bowler,Nahida Akter,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1913,New Zealand Women,NZL,5,2,Nahida Akter,2,0,0,4/0,2.00,1.05,1.5,0,0,Nahida Akter to Georgia Plimmer,,"Nahida Akter to Georgia Plimmer. Left-arm orthodox stock length ball, outside off on the back foot playing a backward defensive shot to mid wicket for no run, fielded by Shorna Akter",49ff4566-8167-46ab-82ed-81241e004633,228836,"New Zealand Women v Bangladesh Women at Guwahati, ICC Women's Cricket World Cup, 10 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Barsapara Cricket Stadium, Guwahati",Women's ODI,2025-10-10,76588,GE Plimmer,right,38840,Nahida Akter,left,1596,Bangladesh Women,left orthodox,5,spin,2025-10-10 09:41:05,4.680,-0.182,2.0,-0.100,0.654,2.0,1.0,,,,,,,,True,True,False,False,,left-arm orthodox,stock,length ball,outside off,back foot,backward defensive,,,mid wicket,Shorna Akter,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
