innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1588,Australia Women,AUS,1,1,BG Illing,9,0,0,9/0,9.00,0.01,0.1,1,1,Bree Illing to Alyssa Healy,,"Bree Illing to Alyssa Healy. No movement back of a length, leg stump on the back foot pulled to deep square leg for 1 run, fielded by Georgia Plimmer",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:31:40,10.426,0.152,4.0,-0.325,0.824,1.0,1.0,105696898.0,353.0,70.0,120.0,3.0,1.0,1.0,True,True,True,False,,no movement,,back of a length,leg stump,back foot,pull,,,deep square leg,Georgia Plimmer,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,1,BG Illing,9,0,0,9/0,9.00,0.02,0.2,1,1,Bree Illing to Phoebe Litchfield,,"Bree Illing to Phoebe Litchfield. Away swinger length ball, outside off on the front foot pushed to extra cover for 1 run, fielded by Maddy Green",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,72490.0,PES Litchfield,left,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:32:30,4.782,0.193,2.0,0.196,0.400,2.0,0.0,105696900.0,320.0,25.0,47.0,3.0,1.0,1.0,True,True,True,False,,away swinger,,length ball,outside off,front foot,push,,,extra cover,Maddy Green,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,1,BG Illing,9,0,0,9/0,9.00,0.03,0.3,1,1,Bree Illing to Alyssa Healy,,"Bree Illing to Alyssa Healy. No movement length ball, down leg on the back foot worked to deep backward square leg for 1 run, fielded by Georgia Plimmer",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:33:01,7.307,0.255,4.0,0.168,0.605,2.0,1.0,105696902.0,8.0,70.0,123.0,2.0,1.0,1.0,True,True,True,False,,no movement,,length ball,down leg,back foot,work,,,deep backward square leg,Georgia Plimmer,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,1,BG Illing,9,0,0,9/0,9.00,0.04,0.4,1,1,Bree Illing to Phoebe Litchfield,,"Bree Illing to Phoebe Litchfield. Away swinger back of a length, outside off down the track pushed to deep cover for 1 run, fielded by Georgia Plimmer",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,72490.0,PES Litchfield,left,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:33:30,8.971,0.293,4.0,0.289,0.759,3.0,1.0,105696904.0,339.0,80.0,133.0,3.0,1.0,1.0,True,True,True,False,,,,back of a length,outside off,down the track,push,,,deep cover,Georgia Plimmer,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,1,BG Illing,9,0,0,9/0,9.00,0.05,0.5,4,4,Bree Illing to Alyssa Healy,,"FOUR! Bree Illing to Alyssa Healy. In swinger length ball, leg stump on the front foot flick well timed for 4 runs",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:34:06,5.863,0.191,3.0,0.238,0.551,3.0,1.0,105696905.0,25.0,100.0,166.0,2.0,4.0,4.0,True,True,True,False,,in swinger,,length ball,leg stump,front foot,flick,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,1,1,BG Illing,9,0,0,9/0,9.00,0.06,0.6,1,1,Bree Illing to Alyssa Healy,,"Bree Illing to Alyssa Healy. No movement back of a length, off stump on the back foot pushed to backward point for 1 run, fielded by Melie Kerr",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:34:48,7.674,-0.055,4.0,-0.437,0.590,1.0,1.0,105696907.0,174.0,35.0,58.0,7.0,1.0,1.0,True,True,True,False,,no movement,,back of a length,off stump,back foot,push,,,backward point,Melie Kerr,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,2,JM Kerr,9,0,0,18/0,9.00,1.01,1.1,0,0,Jess Kerr to Alyssa Healy,,"Jess Kerr to Alyssa Healy. In swinger length ball, outside off on the front foot driving to mid on for no run, fielded by Sophie Devine",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,73376.0,JM Kerr,right,1913.0,New Zealand Women,right pace,2.0,pace,2025-10-01 09:36:17,4.615,-0.496,2.0,-0.074,0.411,2.0,0.0,,,,,,,,True,True,False,False,,in swinger,,length ball,outside off,front foot,drive,,,mid on,Sophie Devine,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,2,JM Kerr,9,0,0,18/0,9.00,1.02,1.2,4,4,Jess Kerr to Alyssa Healy,,"FOUR! Jess Kerr to Alyssa Healy. In swinger length ball, outside off on the front foot flick well timed for 4 runs",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,73376.0,JM Kerr,right,1913.0,New Zealand Women,right pace,2.0,pace,2025-10-01 09:36:47,4.508,-0.341,2.0,0.096,0.510,2.0,1.0,105696914.0,309.0,100.0,178.0,4.0,4.0,4.0,True,True,True,False,,in swinger,,length ball,outside off,front foot,flick,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,1,2,JM Kerr,9,0,0,18/0,9.00,1.03,1.3,1,1,Jess Kerr to Alyssa Healy,,"Jess Kerr to Alyssa Healy. In swinger full, outside off on the back foot dropped to cover for 1 run, fielded by Eden Carson",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,73376.0,JM Kerr,right,1913.0,New Zealand Women,right pace,2.0,pace,2025-10-01 09:37:24,1.914,-0.344,1.0,-0.190,0.316,2.0,0.0,105696915.0,187.0,30.0,52.0,6.0,1.0,1.0,True,True,True,False,,in swinger,,full,outside off,back foot,drop,,,cover,Eden Carson,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,2,JM Kerr,9,0,0,18/0,9.00,1.04,1.4,4,4,Jess Kerr to Phoebe Litchfield,,"FOUR! Jess Kerr to Phoebe Litchfield. Away swinger length ball, middle stump down the track driving well timed for 4 runs",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,72490.0,PES Litchfield,left,73376.0,JM Kerr,right,1913.0,New Zealand Women,right pace,2.0,pace,2025-10-01 09:38:12,6.010,-0.112,3.0,0.500,0.648,3.0,1.0,105696918.0,327.0,100.0,175.0,3.0,4.0,4.0,True,True,True,False,,,,length ball,middle stump,down the track,drive,,well timed,,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,1,2,JM Kerr,9,0,0,18/0,9.00,1.05,1.5,0,0,Jess Kerr to Phoebe Litchfield,,"Jess Kerr to Phoebe Litchfield. No movement length ball, off stump on the front foot driving to extra cover for no run, fielded by Eden Carson",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,72490.0,PES Litchfield,left,73376.0,JM Kerr,right,1913.0,New Zealand Women,right pace,2.0,pace,2025-10-01 09:38:50,4.539,0.029,2.0,0.574,0.460,3.0,1.0,,,,,,,,True,True,False,False,,no movement,,length ball,off stump,front foot,drive,,,extra cover,Eden Carson,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,2,JM Kerr,9,0,0,18/0,9.00,1.06,1.6,0,0,Jess Kerr to Phoebe Litchfield,,"Jess Kerr to Phoebe Litchfield. Away swinger length ball, down leg on the front foot driving to mid off for no run, fielded by Sophie Devine",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,72490.0,PES Litchfield,left,73376.0,JM Kerr,right,1913.0,New Zealand Women,right pace,2.0,pace,2025-10-01 09:39:37,5.101,-0.214,3.0,0.244,0.501,3.0,1.0,,,,,,,,True,True,False,False,,away swinger,,length ball,down leg,front foot,drive,,,mid off,Sophie Devine,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,3,BG Illing,9,0,0,27/0,9.00,2.01,2.1,0,0,Bree Illing to Alyssa Healy,,"Bree Illing to Alyssa Healy. No movement back of a length, leg stump on the back foot worked to wicketkeeper for no run, fielded by Izzy Gaze",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:40:54,8.230,0.172,4.0,0.166,0.627,2.0,1.0,,,,,,,,True,True,False,False,,no movement,,back of a length,leg stump,back foot,work,,,wicketkeeper,Izzy Gaze,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,3,BG Illing,9,0,0,27/0,9.00,2.02,2.2,0,0,Bree Illing to Alyssa Healy,,"Bree Illing to Alyssa Healy. No movement length ball, leg stump on the front foot pushed to extra cover for no run, fielded by Suzie Bates",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:41:25,6.455,0.085,3.0,-0.098,0.654,2.0,1.0,,,,,,,,True,True,False,False,,no movement,,length ball,leg stump,front foot,push,,,extra cover,Suzie Bates,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,3,BG Illing,9,0,0,27/0,9.00,2.03,2.3,4,4,Bree Illing to Alyssa Healy,,"FOUR! Bree Illing to Alyssa Healy. No movement length ball, off stump on the front foot driving well timed for 4 runs",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:41:53,7.129,-0.089,4.0,-0.372,0.703,1.0,1.0,105696934.0,214.0,100.0,176.0,6.0,4.0,4.0,True,True,True,False,,no movement,,length ball,off stump,front foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,1,3,BG Illing,9,0,0,27/0,9.00,2.04,2.4,1,1,Bree Illing to Alyssa Healy,,"Bree Illing to Alyssa Healy. In swinger length ball, down leg on the front foot worked to deep square leg for 1 run",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:42:30,6.261,0.237,3.0,0.167,0.485,2.0,1.0,105696937.0,343.0,80.0,136.0,3.0,1.0,1.0,True,True,True,False,,in swinger,,length ball,down leg,front foot,work,,,deep square leg,,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,1,3,BG Illing,9,0,0,27/0,9.00,2.05,2.5,4,4,Bree Illing to Phoebe Litchfield,,"FOUR! Bree Illing to Phoebe Litchfield. Away swinger length ball, outside off down the track driving well timed for 4 runs",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,72490.0,PES Litchfield,left,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:43:12,5.695,0.452,3.0,0.481,0.646,3.0,1.0,105696940.0,350.0,100.0,172.0,3.0,4.0,4.0,True,True,True,False,,,,length ball,outside off,down the track,drive,,well timed,,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,1,3,BG Illing,9,0,0,27/0,9.00,2.06,2.6,0,0,Bree Illing to Phoebe Litchfield,,"Bree Illing to Phoebe Litchfield. Away swinger length ball, outside off on the front foot pushed to wicketkeeper for no run, fielded by Izzy Gaze",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,72490.0,PES Litchfield,left,83186.0,BG Illing,left,1913.0,New Zealand Women,left pace,1.0,pace,2025-10-01 09:43:47,6.595,0.452,3.0,0.519,0.582,3.0,1.0,,,,,,,,True,True,False,False,,away swinger,,length ball,outside off,front foot,push,,,wicketkeeper,Izzy Gaze,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,1,4,JM Kerr,11,0,0,38/0,11.00,3.01,3.1,0,0,Jess Kerr to Alyssa Healy,,"Jess Kerr to Alyssa Healy. In swinger length ball, outside off on the front foot playing a forward defensive shot to mid wicket for no run, fielded by Melie Kerr",a556220a-3bd6-4a9d-8f75-42f060f5638f,228827,"Australia Women v New Zealand Women at Indore, ICC Women's Cricket World Cup, 1 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-01,20553.0,AJ Healy,right,73376.0,JM Kerr,right,1913.0,New Zealand Women,right pace,2.0,pace,2025-10-01 09:44:51,5.587,-0.374,3.0,0.196,0.716,2.0,1.0,,,,,,,,True,True,False,False,,in swinger,,length ball,outside off,front foot,forward defensive,,,mid wicket,Melie Kerr,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
