innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1596,Bangladesh Women,BAN,5,1,ML Schutt,4,0,0,4/0,4.00,0.01,0.1,4,4,"Schutt to Pinky, 4 runs",Fargana Hoque Pinky and Rubya Haider Jhilik head out to the middle. Megan Schutt takes the ball for their 1st spell,"Schutt swings one in just outside off on a length. Pinky plays a controlled glance, sending it racing to fine leg for four, aided by a misfield from Darcie Brown. Fargana Hoque Pinky gets off the mark with a flourish.",dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,29764,Fargana Hoque Pinky,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:31:57,7.275,-0.427,4,0.204,0.760,3.0,1.0,105761876.0,83.0,100.0,160.0,1.0,4.0,4.0,True,True,True,False,,,,,outside off,,glance,,controlled,fine leg,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1596,Bangladesh Women,BAN,5,1,ML Schutt,4,0,0,4/0,4.00,0.02,0.2,0,0,"Schutt to Pinky, no run",,"Megan Schutt bowls a swinging length ball outside off stump. Fargana Hoque Pinky defends it solidly, playing it with neutral connection. No run taken off this delivery.",dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,29764,Fargana Hoque Pinky,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:32:28,5.317,-0.617,3,-0.210,0.694,1.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,ML Schutt,4,0,0,4/0,4.00,0.03,0.3,0,0,"Schutt to Pinky, no run",,"Schutt bowls a length ball outside off, no movement. Pinky plays a solid defensive shot, and it's a dot ball.",dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,29764,Fargana Hoque Pinky,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:32:58,6.838,-0.520,3,-0.134,0.652,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,no movement,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,ML Schutt,4,0,0,4/0,4.00,0.04,0.4,0,0,"Schutt to Pinky, no run",,"Megan Schutt bowls a length ball outside off. Fargana Hoque Pinky works it with a controlled shot, but there are no runs.",dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,29764,Fargana Hoque Pinky,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:33:24,6.571,-0.392,3,0.081,0.716,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,work,,controlled,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,ML Schutt,4,0,0,4/0,4.00,0.05,0.5,0,0,"Schutt to Pinky, no run",,Megan Schutt delivers a swinging-in length ball outside off. Fargana Hoque Pinky defends with a mis-timed shot; no run.,dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,29764,Fargana Hoque Pinky,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:33:52,6.126,-0.579,3,-0.124,0.729,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,ML Schutt,4,0,0,4/0,4.00,0.06,0.6,0,0,"Schutt to Pinky, no run",,"Schutt delivers a no movement ball outside off, landing back of a length. Fargana Hoque Pinky plays a solid defensive stroke. It's a dot ball.",dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,29764,Fargana Hoque Pinky,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:34:23,8.175,-0.613,4,-0.164,0.847,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,no movement,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,DR Brown,5,0,0,9/0,5.00,1.01,1.1,0,0,"Brown to Jhilik, no run",Darcie Brown takes the ball for their 1st spell,Darcie Brown bowls a length ball just outside off stump. Rubya Haider Jhilik leaves it well alone. No run off the delivery.,dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,80872,Rubya Haider Jhelik,left,72370,DR Brown,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:35:53,5.000,0.298,3,0.662,0.633,4.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,leave,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,DR Brown,5,0,0,9/0,5.00,1.02,1.2,0,0,"Brown to Jhilik, no run",,"Over the wicket. Back of a length, down leg, back foot, pushed. No run.",dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,80872,Rubya Haider Jhelik,left,72370,DR Brown,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:36:26,7.899,-0.080,4,0.497,0.723,3.0,1.0,,,,,,,,True,True,False,False,over the wicket,,,back of a length,down leg,back foot,push,,,,,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,DR Brown,5,0,0,9/0,5.00,1.03,1.3,0,0,"Brown to Jhilik, no run",,"Darcie Brown bowls a seaming away delivery on middle stump, back of a length. Rubya Haider Jhilik pushes but misses, no run.",dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,80872,Rubya Haider Jhelik,left,72370,DR Brown,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:37:02,8.639,0.011,4,0.683,0.935,4.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,middle stump,,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,DR Brown,5,0,0,9/0,5.00,1.04,1.4,4,4,"Brown to Jhilik, 4 runs",,"Darcie Brown bowls a seaming away delivery on leg stump, back of a length. Rubya Haider Jhilik pushes, gets an outside edge through third man for four runs, aided by a misfield from Beth Mooney at first slip. Rubya Haider Jhilik opens her account with that boundary.",dc781a6a-781a-4481-a2c8-c3942431164b,228842,"Australia Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 16 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-16,80872,Rubya Haider Jhelik,left,72370,DR Brown,right,1588,Australia Women,right pace,1,pace,2025-10-16 09:37:35,6.376,-0.037,3,0.335,0.630,3.0,1.0,105761939.0,83.0,100.0,160.0,1.0,4.0,4.0,True,True,True,False,,,,back of a length,leg stump,,push,,,third man,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
