innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1596,Bangladesh Women,BAN,5,1,M Kapp,3,1,0,3/0,2.00,0.01,0.0,1,1ʷᵈ,"Kapp to Pinky, 1 run (wide)",Fargana Hoque Pinky and Rubya Haider Jhilik head out to the middle. Marizanne Kapp takes the ball for their 1st spell,Marizanne Kapp bowls a short ball outside off. Fargana Hoque Pinky attempts a pull but plays and misses on the leg side. One wide run added.,e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,29764.0,Fargana Hoque Pinky,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:31:10,7.996,-0.760,4.0,,,,,,,,,,,,True,False,False,False,,,,short,outside off,,pull,,,,,,,,keyword,1,wide,False,True,False,False,False,False,False,False,False,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,3,1,0,3/0,2.00,0.02,0.1,1,1,"Kapp to Pinky, 1 run",,"Marizanne Kapp delivers a length ball outside off. Fargana Hoque Pinky plays a controlled glance and takes a single to fine leg, fielded by Masabata Klaas. Fargana Hoque Pinky gets off the mark for Bangladesh Women.",e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,29764.0,Fargana Hoque Pinky,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:31:42,7.391,-0.368,4.0,0.266,0.546,3.0,1.0,105747812.0,58.0,70.0,116.0,1.0,1.0,1.0,True,True,True,False,,,,length ball,outside off,,glance,,controlled,fine leg,Masabata Klaas,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,3,1,0,3/0,2.00,0.03,0.2,1,1,"Kapp to Jhilik, 1 run",,Kapp bowls a length delivery on leg stump. Jhilik works it with neutral connection for a single. Rubya Haider Jhilik gets off the mark.,e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,80872.0,Rubya Haider Jhelik,left,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:32:36,7.330,-0.646,4.0,-0.221,0.606,1.0,1.0,105747815.0,138.0,80.0,129.0,7.0,1.0,1.0,True,True,True,False,,,,,leg stump,,work,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,3,1,0,3/0,2.00,0.04,0.3,0,0,"Kapp to Pinky, no run",,"Kapp bowls a length ball outside off. Pinky defends it solidly, resulting in no run.",e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,29764.0,Fargana Hoque Pinky,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:33:08,2.147,-0.529,2.0,-0.422,0.308,1.0,0.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,3,1,0,3/0,2.00,0.05,0.4,0,0,"Kapp to Pinky, no run",,Marizanne Kapp delivers a length ball outside off. Fargana Hoque Pinky pushes it with an inside edge. The ball is quickly fielded by Sinalo Jafta. No run.,e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,29764.0,Fargana Hoque Pinky,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:33:41,2.147,-0.530,2.0,-0.422,0.300,1.0,0.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,push,,,,Sinalo Jafta,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,3,1,0,3/0,2.00,0.06,0.5,0,0,"Kapp to Pinky, no run",,Marizanne Kapp bowls a length ball outside off. Fargana Hoque Pinky defends cautiously for no run.,e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,29764.0,Fargana Hoque Pinky,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:34:14,5.254,-0.342,3.0,-0.339,0.636,1.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,3,1,0,3/0,2.00,0.07,0.6,0,0,"Kapp to Pinky, no run",,Kapp bowls a swinging away length ball outside off. Fargana Hoque Pinky attempts a drive but misses completely. No run.,e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,29764.0,Fargana Hoque Pinky,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:34:44,5.247,-0.503,3.0,-0.676,0.638,0.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,MM Klaas,1,0,0,4/0,1.00,1.01,1.1,0,0,"Klaas to Jhilik, no run",Masabata Klaas takes the ball for their 1st spell,Masabata Klaas bowls a swinging ball down leg at back of a length. Rubya Haider Jhilik works it off the body but offers no run as Sinalo Jafta fields it cleanly.,e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,80872.0,Rubya Haider Jhelik,left,24774.0,MM Klaas,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:35:58,7.731,-0.335,4.0,-0.027,0.708,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,down leg,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,MM Klaas,1,0,0,4/0,1.00,1.02,1.2,1,1,"Klaas to Jhilik, 1 run",,"Masabata Klaas bowls a swinging ball on middle stump, back of a length. Rubya Haider Jhilik pushes it, edging outside off for one run, collected neatly by Marizanne Kapp at third man.",e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,80872.0,Rubya Haider Jhelik,left,24774.0,MM Klaas,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:36:37,7.449,0.002,4.0,0.657,0.620,4.0,1.0,105747836.0,50.0,80.0,135.0,1.0,1.0,1.0,True,True,True,False,,,,back of a length,outside off,,push,,,third man,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1596,Bangladesh Women,BAN,5,2,MM Klaas,1,0,0,4/0,1.00,1.03,1.3,0,0,"Klaas to Pinky, no run",,"Masabata Klaas delivers a swinging length ball just outside off, Pinky defends it solidly, no run.",e185abc5-e700-410f-ba48-55bf80c4e65c,228839,"South Africa Women v Bangladesh Women at Visakhapatnam, ICC Women's Cricket World Cup, 13 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Women's ODI,2025-10-13,29764.0,Fargana Hoque Pinky,right,24774.0,MM Klaas,right,1817.0,South Africa Women,right pace,1.0,pace,2025-10-13 09:37:21,5.798,-0.503,3.0,-0.359,0.639,1.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
