innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1817,South Africa Women,SA,1,1,ML Schutt,0,0,0,0/0,0.00,0.01,0.1,0,0,"Schutt to Wolvaardt, no run",Laura Wolvaardt and Tazmin Brits head out to the middle. Megan Schutt takes the ball for their 1st spell,"Megan Schutt bowls a back of a length delivery outside off stump. Laura Wolvaardt works it with a neutral connection, sending it to mid-wicket for no run.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,41837,L Wolvaardt,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:30:27,9.295,-0.607,4,-0.035,0.724,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1817,South Africa Women,SA,1,1,ML Schutt,0,0,0,0/0,0.00,0.02,0.2,0,0,"Schutt to Wolvaardt, no run",,"Schutt bowls a back of a length delivery wide outside off. Wolvaardt works it with a neutral connection, plays it along the ground. No run added.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,41837,L Wolvaardt,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:30:54,8.907,-0.643,4,-0.125,0.618,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,wide outside off,,work,along the ground,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1817,South Africa Women,SA,1,1,ML Schutt,0,0,0,0/0,0.00,0.03,0.3,0,0,"Schutt to Wolvaardt, no run",,"Megan Schutt delivers a length ball just outside off stump. Laura Wolvaardt attempts a drive but mistimes it; the ball stays low and controlled, fielded by Ash Gardner at extra cover. No run.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,41837,L Wolvaardt,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:31:17,5.669,-0.625,3,-0.355,0.441,1.0,0.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,drive,,controlled,extra cover,Ash Gardner at extra cover,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1817,South Africa Women,SA,1,1,ML Schutt,0,0,0,0/0,0.00,0.04,0.4,0,0,"Schutt to Wolvaardt, no run",,"Schutt bowls a short ball wide outside off. Wolvaardt pulls it with neutral contact, but it’s stopped quickly at square leg by Perry for no run.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,41837,L Wolvaardt,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:31:45,9.981,-0.762,4,-0.351,1.096,1.0,2.0,,,,,,,,True,True,False,False,,,,short,wide outside off,,pull,,,square leg,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1817,South Africa Women,SA,1,1,ML Schutt,0,0,0,0/0,0.00,0.05,0.5,0,0,"Schutt to Wolvaardt, no run",,"Megan Schutt bowls a swinging-in length ball just outside off stump. Laura Wolvaardt works it with a neutral connection, and it's fielded by Annabel Sutherland at mid-on for no run.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,41837,L Wolvaardt,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:32:15,5.921,-0.465,3,-0.052,0.620,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,work,,,,Annabel Sutherland at mid-on for no run,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1817,South Africa Women,SA,1,1,ML Schutt,0,0,0,0/0,0.00,0.06,0.6,0,0,"Schutt to Wolvaardt, no run",,"Schutt bowls a no movement length ball wide outside off. Wolvaardt plays a cautious drive but fails to score with a neutral connection, fielded by Gardner at extra cover. No run.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,41837,L Wolvaardt,right,26970,ML Schutt,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:32:42,5.882,-0.657,3,-0.516,0.537,1.0,1.0,,,,,,,,True,True,False,False,,,,length ball,wide outside off,no movement,drive,,,extra cover,Gardner at extra cover,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1817,South Africa Women,SA,1,2,KJ Garth,6,0,0,6/0,6.00,1.01,1.1,1,1,"Garth to Brits, 1 run",Kim Garth takes the ball for their 1st spell,"Kim Garth delivers a swinging away ball full on outside off. Tazmin Brits plays a well-timed drive, keeping it grounded, and takes a single. Tazmin Brits gets off the mark with an elegant start.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,68067,T Brits,right,36402,KJ Garth,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:33:47,4.858,-0.371,2,-0.461,0.510,1.0,1.0,105801578.0,174.0,80.0,133.0,7.0,1.0,1.0,True,True,True,False,,,,full,outside off,,drive,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1817,South Africa Women,SA,1,2,KJ Garth,6,0,0,6/0,6.00,1.02,1.2,0,0,"Garth to Wolvaardt, no run",,"Over the wicket. Back of a length, outside off, back foot, pushed along the ground to Phoebe Litchfield at backward point. No run.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,41837,L Wolvaardt,right,36402,KJ Garth,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:34:53,8.064,-0.208,4,-0.106,0.930,2.0,2.0,,,,,,,,True,True,False,False,over the wicket,,,back of a length,outside off,back foot,push,along the ground,,backward point,Phoebe Litchfield,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,1817,South Africa Women,SA,1,2,KJ Garth,6,0,0,6/0,6.00,1.03,1.3,4,4,"Garth to Wolvaardt, 4 runs",,"Kim Garth bowls a swinging away delivery, full length outside off stump. Laura Wolvaardt plays a well-timed drive through extra cover for four. That's the opening boundary of the innings, and Laura Wolvaardt has finally got off the mark.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,41837,L Wolvaardt,right,36402,KJ Garth,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:35:25,4.106,-0.326,2,-0.426,0.494,1.0,1.0,105801592.0,211.0,100.0,175.0,6.0,4.0,4.0,True,True,True,False,,,,full,outside off,,drive,,,extra cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1817,South Africa Women,SA,1,2,KJ Garth,6,0,0,6/0,6.00,1.04,1.4,1,1,"Garth to Wolvaardt, 1 run",,"Kim Garth delivers a swinging away length ball outside off stump. Laura Wolvaardt plays a controlled drive and picks up a single to deep cover, where Ellyse Perry fields it cleanly.",f2e4175d-e789-4c59-b1ab-fa8adb9b1f72,228851,"Australia Women v South Africa Women at Indore, ICC Women's Cricket World Cup, 25 Oct 2025",8675,ICC Women's Cricket World Cup,2025/26,"Holkar Stadium, Indore",Women's ODI,2025-10-25,41837,L Wolvaardt,right,36402,KJ Garth,right,1588,Australia Women,right pace,1,pace,2025-10-25 09:35:57,6.523,-0.351,3,-0.317,0.652,1.0,1.0,105801599.0,198.0,80.0,139.0,6.0,1.0,1.0,True,True,True,False,,,,length ball,outside off,,drive,,controlled,deep cover,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
