innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,7,Pakistan,PAK,5,1,JC Archer,5,0,0,5/0,5.00,0.01,0.1,0,0,Jofra Archer to Sahibzada Farhan,,"Jofra Archer to Sahibzada Farhan. No movement back of a length, outside off on the back foot dropped to cover for no run, misfielded by Tom Banton",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,28686,Sahibzada Farhan,right,28503,JC Archer,right,1,England,right pace,1,pace,2026-02-24 13:31:05,9.292,-0.290,4.0,-0.238,1.284,1.0,2.0,,,,,,,,True,True,False,False,,no movement,,back of a length,outside off,back foot,drop,,,cover,,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,1,JC Archer,5,0,0,5/0,5.00,0.02,0.2,0,0,Jofra Archer to Sahibzada Farhan,,"Jofra Archer to Sahibzada Farhan. No movement length ball, outside off on the front foot driving to wicketkeeper for no run, fielded by Jos Buttler",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,28686,Sahibzada Farhan,right,28503,JC Archer,right,1,England,right pace,1,pace,2026-02-24 13:31:43,7.973,-0.518,4.0,-0.376,0.925,1.0,2.0,,,,,,,,True,True,False,False,,no movement,,length ball,outside off,front foot,drive,,,wicketkeeper,Jos Buttler,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,1,JC Archer,5,0,0,5/0,5.00,0.03,0.3,1,1,Jofra Archer to Sahibzada Farhan,,"Jofra Archer to Sahibzada Farhan. Slower ball back of a length, outside off on the back foot driving to deep cover for 1 run, fielded by Jacob Bethell",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,28686,Sahibzada Farhan,right,28503,JC Archer,right,1,England,right pace,1,pace,2026-02-24 13:32:25,9.729,-0.485,4.0,-0.461,1.150,1.0,2.0,106305561.0,183.0,75.0,130.0,6.0,1.0,1.0,True,True,True,False,,slower ball,,back of a length,outside off,back foot,drive,,,deep cover,Jacob Bethell,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,7,Pakistan,PAK,5,1,JC Archer,5,0,0,5/0,5.00,0.04,0.4,0,0,Jofra Archer to Saim Ayub,,"Jofra Archer to Saim Ayub. Away swinger back of a length, off stump on the back foot leaving left alone through to wicketkeeper for no run, fielded by Jos Buttler",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,68823,Saim Ayub,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-02-24 13:33:18,8.563,0.118,4.0,0.791,0.989,4.0,2.0,,,,,,,,True,True,False,False,,away swinger,,back of a length,off stump,back foot,leave,,,wicketkeeper,Jos Buttler,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,1,JC Archer,5,0,0,5/0,5.00,0.05,0.5,0,0,Jofra Archer to Saim Ayub,,"Jofra Archer to Saim Ayub. Away swinger length ball, middle stump on the front foot flick to wicketkeeper for no run, fielded by Jos Buttler",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,68823,Saim Ayub,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-02-24 13:34:01,7.370,-0.004,4.0,0.564,0.950,3.0,2.0,,,,,,,,True,True,False,False,,away swinger,,length ball,middle stump,front foot,flick,,,wicketkeeper,Jos Buttler,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,1,JC Archer,5,0,0,5/0,5.00,0.06,0.6,4,4,Jofra Archer to Saim Ayub,,"FOUR! Jofra Archer to Saim Ayub. No movement length ball, middle stump down the track driving well timed for 4 runs",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,68823,Saim Ayub,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-02-24 13:34:42,6.902,0.002,3.0,0.241,0.826,3.0,1.0,106305564.0,4.0,100.0,169.0,2.0,4.0,4.0,True,True,True,False,,,,length ball,middle stump,down the track,drive,,well timed,,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,7,Pakistan,PAK,5,2,J Overton,9,1,0,14/0,8.00,1.01,1.1,4,4,Jamie Overton to Sahibzada Farhan,,"FOUR! Jamie Overton to Sahibzada Farhan. Seam away back of a length, outside off on the back foot cut well timed for 4 runs",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,28686,Sahibzada Farhan,right,10301,J Overton,right,1,England,right pace,1,pace,2026-02-24 13:36:01,9.312,-0.572,4.0,-0.813,1.275,0.0,2.0,106305565.0,173.0,100.0,169.0,7.0,4.0,4.0,True,True,True,False,,seam away,,back of a length,outside off,back foot,cut,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,7,Pakistan,PAK,5,2,J Overton,9,1,0,14/0,8.00,1.02,1.2,0,0,Jamie Overton to Sahibzada Farhan,,"Jamie Overton to Sahibzada Farhan. Away swinger back of a length, outside off on the back foot steered to backward point for no run, fielded by Tom Banton",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,28686,Sahibzada Farhan,right,10301,J Overton,right,1,England,right pace,1,pace,2026-02-24 13:36:36,9.012,-0.318,4.0,-0.408,0.984,1.0,2.0,,,,,,,,True,True,False,False,,away swinger,,back of a length,outside off,back foot,steer,,,backward point,Tom Banton,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,2,J Overton,9,1,0,14/0,8.00,1.03,1.3,1,1,Jamie Overton to Sahibzada Farhan,,"Jamie Overton to Sahibzada Farhan. No movement back of a length, off stump on the back foot flick to deep backward square leg for 1 run, fielded by Jacob Bethell",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,28686,Sahibzada Farhan,right,10301,J Overton,right,1,England,right pace,1,pace,2026-02-24 13:37:06,8.997,-0.082,4.0,0.078,0.928,2.0,2.0,106305567.0,13.0,90.0,149.0,2.0,1.0,1.0,True,True,True,False,,no movement,,back of a length,off stump,back foot,flick,,,deep backward square leg,Jacob Bethell,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,7,Pakistan,PAK,5,2,J Overton,9,1,0,14/0,8.00,1.04,1.4,2,2,Jamie Overton to Saim Ayub,,"Jamie Overton to Saim Ayub. No movement full, leg stump on the front foot flick well timed to deep square leg for 2 runs, fielded by Phil Salt",1707254a-1946-47b8-ace3-f613941736d5,233451,"England v Pakistan at Pallekele, ICC Men's T20 World Cup, 24 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-24,68823,Saim Ayub,left,10301,J Overton,right,1,England,right pace,1,pace,2026-02-24 13:37:44,4.513,-0.092,2.0,-0.045,0.555,2.0,1.0,106305568.0,210.0,80.0,144.0,6.0,2.0,2.0,True,True,True,False,,no movement,,full,leg stump,front foot,flick,,well timed,deep square leg,Phil Salt,,,,template_structured,2,,False,False,False,False,False,False,False,False,False,
