innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,178,Canada,CAN,5,1,MJ Henry,8,0,0,8/0,8.00,0.01,0.1,0,0,Matt Henry to Yuvraj Samra,,"Matt Henry to Yuvraj Samra. No movement length ball, off stump on the front foot pushed to short extra cover for no run, fielded by Cole McConchie",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,85812,YS Samra,left,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-17 05:31:17,7.430,0.140,4,0.435,0.597,3.0,1.0,,,,,,,,True,True,False,False,,no movement,,length ball,off stump,front foot,push,,,short extra cover,Cole McConchie,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,178,Canada,CAN,5,1,MJ Henry,8,0,0,8/0,8.00,0.02,0.2,0,0,Matt Henry to Yuvraj Samra,,"Matt Henry to Yuvraj Samra. Away swinger back of a length, middle stump on the back foot pushed to cover for no run, fielded by Jimmy Neesham",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,85812,YS Samra,left,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-17 05:31:49,8.280,0.052,4,0.476,0.898,3.0,1.0,,,,,,,,True,True,False,False,,away swinger,,back of a length,middle stump,back foot,push,,,cover,Jimmy Neesham,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,178,Canada,CAN,5,1,MJ Henry,8,0,0,8/0,8.00,0.03,0.3,0,0,Matt Henry to Yuvraj Samra,,"Matt Henry to Yuvraj Samra. In swinger length ball, leg stump on the front foot flick to short extra cover for no run, fielded by Cole McConchie",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,85812,YS Samra,left,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-17 05:32:17,6.684,-0.144,3,-0.131,0.942,2.0,2.0,,,,,,,,True,True,False,False,,in swinger,,length ball,leg stump,front foot,flick,,,short extra cover,Cole McConchie,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,178,Canada,CAN,5,1,MJ Henry,8,0,0,8/0,8.00,0.04,0.4,0,0,Matt Henry to Yuvraj Samra,,"Matt Henry to Yuvraj Samra. No movement length ball, middle stump on the back foot playing a backward defensive shot to short extra cover for no run, fielded by Cole McConchie",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,85812,YS Samra,left,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-17 05:32:49,7.656,-0.015,4,0.267,0.753,3.0,1.0,,,,,,,,True,True,False,False,,no movement,,length ball,middle stump,back foot,backward defensive,,,short extra cover,Cole McConchie,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,178,Canada,CAN,5,1,MJ Henry,8,0,0,8/0,8.00,0.05,0.5,4,4,Matt Henry to Yuvraj Samra,,"FOUR! Matt Henry to Yuvraj Samra. Seam away length ball, outside off down the track driving well timed for 4 runs",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,85812,YS Samra,left,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-17 05:33:20,7.522,0.238,4,0.541,0.872,3.0,1.0,106280042.0,342.0,100.0,173.0,3.0,4.0,4.0,True,True,True,False,,,,length ball,outside off,down the track,drive,,well timed,,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,178,Canada,CAN,5,1,MJ Henry,8,0,0,8/0,8.00,0.06,0.6,4,4,Matt Henry to Yuvraj Samra,,"FOUR! Matt Henry to Yuvraj Samra. Away swinger back of a length, off stump on the back foot driving well timed for 4 runs",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,85812,YS Samra,left,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-17 05:33:58,8.688,0.122,4,0.642,0.992,4.0,2.0,106280045.0,334.0,100.0,174.0,3.0,4.0,4.0,True,True,True,False,,away swinger,,back of a length,off stump,back foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,178,Canada,CAN,5,2,JA Duffy,5,0,0,13/0,5.00,1.01,1.1,0,0,Jacob Duffy to Dilpreet Bajwa,,"Jacob Duffy to Dilpreet Bajwa. Away swinger length ball, outside off on the front foot driving to wicketkeeper for no run, fielded by Tim Seifert",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,81756,DS Bajwa,right,15670,JA Duffy,right,5,New Zealand,right pace,1,pace,2026-02-17 05:35:09,6.329,-0.520,3,-0.640,0.785,0.0,1.0,,,,,,,,True,True,False,False,,away swinger,,length ball,outside off,front foot,drive,,,wicketkeeper,Tim Seifert,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,178,Canada,CAN,5,2,JA Duffy,5,0,0,13/0,5.00,1.02,1.2,0,0,Jacob Duffy to Dilpreet Bajwa,,"Jacob Duffy to Dilpreet Bajwa. Away swinger length ball, outside off on the front foot playing a forward defensive shot to short extra cover for no run, fielded by Cole McConchie",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,81756,DS Bajwa,right,15670,JA Duffy,right,5,New Zealand,right pace,1,pace,2026-02-17 05:35:41,6.691,-0.221,3,-0.204,0.776,1.0,1.0,,,,,,,,True,True,False,False,,away swinger,,length ball,outside off,front foot,forward defensive,,,short extra cover,Cole McConchie,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,178,Canada,CAN,5,2,JA Duffy,5,0,0,13/0,5.00,1.03,1.3,0,0,Jacob Duffy to Dilpreet Bajwa,,"Jacob Duffy to Dilpreet Bajwa. Away swinger length ball, outside off on the back foot pushed to short extra cover for no run, fielded by Cole McConchie",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,81756,DS Bajwa,right,15670,JA Duffy,right,5,New Zealand,right pace,1,pace,2026-02-17 05:36:14,7.049,-0.228,4,-0.157,0.738,2.0,1.0,,,,,,,,True,True,False,False,,away swinger,,length ball,outside off,back foot,push,,,short extra cover,Cole McConchie,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,178,Canada,CAN,5,2,JA Duffy,5,0,0,13/0,5.00,1.04,1.4,0,0,Jacob Duffy to Dilpreet Bajwa,,"Jacob Duffy to Dilpreet Bajwa. No movement length ball, middle stump on the front foot worked to mid on for no run, fielded by Jacob Duffy",1adea1b5-5fe0-4464-bc50-3b394c48a154,233437,"New Zealand v Canada at Chennai, ICC Men's T20 World Cup, 17 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-17,81756,DS Bajwa,right,15670,JA Duffy,right,5,New Zealand,right pace,1,pace,2026-02-17 05:36:49,7.278,-0.100,4,0.040,0.704,2.0,1.0,,,,,,,,True,True,False,False,,no movement,,length ball,middle stump,front foot,work,,,mid on,Jacob Duffy,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
