innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,6,India,IND,5,1,BJ Dwarshuis,3,0,0,3/0,3.00,0.01,0.1,0,0,Ben Dwarshuis to Abhishek Sharma,,"Ben Dwarshuis to Abhishek Sharma. Away swinger back of a length, middle stump down the track driving to wicketkeeper for no run, fielded by Josh Inglis",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65346,A Sharma,left,46139,BJ Dwarshuis,left,2,Australia,left pace,1,pace,2025-11-06 08:15:12,9.046,0.116,4.0,0.115,1.210,2.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,middle stump,down the track,drive,,,wicketkeeper,Josh Inglis,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,BJ Dwarshuis,3,0,0,3/0,3.00,0.02,0.2,1,1,Ben Dwarshuis to Abhishek Sharma,,"Ben Dwarshuis to Abhishek Sharma. Away swinger back of a length, outside off down the track driving to deep point for 1 run, dropped by Xavier Bartlett",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65346,A Sharma,left,46139,BJ Dwarshuis,left,2,Australia,left pace,1,pace,2025-11-06 08:15:49,7.160,0.189,4.0,0.307,0.876,3.0,1.0,105857769.0,360.0,75.0,128.0,3.0,1.0,1.0,True,True,True,False,,,,back of a length,outside off,down the track,drive,,,deep point,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,1,BJ Dwarshuis,3,0,0,3/0,3.00,0.03,0.3,0,0,Ben Dwarshuis to Shubman Gill,,"Ben Dwarshuis to Shubman Gill. Away swinger yorker, outside off on the front foot driving to wicketkeeper for no run, fielded by Josh Inglis",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65345,S Gill,right,46139,BJ Dwarshuis,left,2,Australia,left pace,1,pace,2025-11-06 08:16:41,1.718,-0.486,1.0,-0.598,0.210,1.0,0.0,,,,,,,,True,True,False,False,,away swinger,,yorker,outside off,front foot,drive,,,wicketkeeper,Josh Inglis,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,BJ Dwarshuis,3,0,0,3/0,3.00,0.04,0.4,1,1,Ben Dwarshuis to Shubman Gill,,"Ben Dwarshuis to Shubman Gill. No movement length ball, middle stump on the front foot worked to mid on for 1 run, fielded by Glenn Maxwell",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65345,S Gill,right,46139,BJ Dwarshuis,left,2,Australia,left pace,1,pace,2025-11-06 08:17:39,7.508,0.017,4.0,-0.086,0.796,2.0,1.0,105857775.0,291.0,45.0,77.0,4.0,1.0,1.0,True,True,True,False,,no movement,,length ball,middle stump,front foot,work,,,mid on,Glenn Maxwell,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,1,BJ Dwarshuis,3,0,0,3/0,3.00,0.05,0.5,1,1,Ben Dwarshuis to Abhishek Sharma,,"Ben Dwarshuis to Abhishek Sharma. Away swinger back of a length, outside off on the back foot cut to deep cover for 1 run, fielded by Xavier Bartlett",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65346,A Sharma,left,46139,BJ Dwarshuis,left,2,Australia,left pace,1,pace,2025-11-06 08:18:24,8.870,0.355,4.0,0.401,1.092,3.0,2.0,105857778.0,356.0,95.0,159.0,3.0,1.0,1.0,True,True,True,False,,away swinger,,back of a length,outside off,back foot,cut,,,deep cover,Xavier Bartlett,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,1,BJ Dwarshuis,3,0,0,3/0,3.00,0.06,0.6,0,0,Ben Dwarshuis to Shubman Gill,,"Ben Dwarshuis to Shubman Gill. Away swinger length ball, off stump on the front foot pushed to wicketkeeper for no run, fielded by Josh Inglis",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65345,S Gill,right,46139,BJ Dwarshuis,left,2,Australia,left pace,1,pace,2025-11-06 08:19:11,7.896,-0.077,4.0,-0.550,0.811,1.0,1.0,,,,,,,,True,True,False,False,,away swinger,,length ball,off stump,front foot,push,,,wicketkeeper,Josh Inglis,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,XC Bartlett,10,1,0,13/0,9.00,1.01,1.1,0,0,Xavier Bartlett to Abhishek Sharma,,"Xavier Bartlett to Abhishek Sharma. No movement full, outside off on the front foot leaving left alone through to wicketkeeper for no run, fielded by Josh Inglis",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65346,A Sharma,left,55170,XC Bartlett,right,2,Australia,right pace,2,pace,2025-11-06 08:20:11,4.826,0.472,2.0,0.839,0.490,4.0,1.0,,,,,,,,True,True,False,False,,no movement,,full,outside off,front foot,leave,,,wicketkeeper,Josh Inglis,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,XC Bartlett,10,1,0,13/0,9.00,1.02,1.2,4,4,Xavier Bartlett to Abhishek Sharma,,"FOUR! Xavier Bartlett to Abhishek Sharma. No movement length ball, outside off on the front foot driving well timed for 4 runs",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65346,A Sharma,left,55170,XC Bartlett,right,2,Australia,right pace,2,pace,2025-11-06 08:20:47,8.040,0.192,4.0,0.842,1.020,4.0,2.0,105857787.0,322.0,100.0,176.0,3.0,4.0,4.0,True,True,True,False,,no movement,,length ball,outside off,front foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,6,India,IND,5,2,XC Bartlett,10,1,0,13/0,9.00,1.03,1.3,1,1,Xavier Bartlett to Abhishek Sharma,,"Xavier Bartlett to Abhishek Sharma. Away swinger length ball, leg stump on the back foot pushed to mid off for 1 run, fielded by Glenn Maxwell",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65346,A Sharma,left,55170,XC Bartlett,right,2,Australia,right pace,2,pace,2025-11-06 08:21:26,6.287,-0.115,3.0,0.048,0.636,2.0,1.0,105857790.0,292.0,50.0,86.0,4.0,1.0,1.0,True,True,True,False,,away swinger,,length ball,leg stump,back foot,push,,,mid off,Glenn Maxwell,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,2,XC Bartlett,10,1,0,13/0,9.00,1.04,1.4,1,1,Xavier Bartlett to Shubman Gill,,"Xavier Bartlett to Shubman Gill. Away swinger length ball, middle stump down the track worked to deep backward point for 1 run, fielded by Ben Dwarshuis",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65345,S Gill,right,55170,XC Bartlett,right,2,Australia,right pace,2,pace,2025-11-06 08:22:08,4.885,-0.034,2.0,-0.037,0.609,2.0,1.0,105857796.0,168.0,85.0,144.0,7.0,1.0,1.0,True,True,True,False,,,,length ball,middle stump,down the track,work,,,deep backward point,Ben Dwarshuis,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,2,XC Bartlett,10,1,0,13/0,9.00,1.05,1.5,3,3,Xavier Bartlett to Abhishek Sharma,,"Xavier Bartlett to Abhishek Sharma. No movement length ball, middle stump on the front foot slogged to long on for 3 runs, fielded by Mitch Marsh",1f1205a8-bd6a-425e-8658-0ce2c5e6c127,227550,"Australia v India at Carrara, 4th T20I, 6 Nov 2025",8596,India in Australia,2025/26,"Carrara Oval, Carrara",Twenty20 international,2025-11-06,65346,A Sharma,left,55170,XC Bartlett,right,2,Australia,right pace,2,pace,2025-11-06 08:22:47,4.487,-0.072,2.0,0.061,0.568,2.0,1.0,105857799.0,260.0,95.0,168.0,5.0,3.0,3.0,True,True,True,False,,no movement,,length ball,middle stump,front foot,slog,,,long on,Mitch Marsh,,,,template_structured,3,,False,False,False,False,False,False,False,False,False,
