innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,6,India,IND,5,1,Salman Ali Agha,1,0,1,1/1,1.00,0.01,0.1,0,0,Salman Ali Agha to Ishan Kishan,,"Salman Ali Agha to Ishan Kishan. Arm ball back of a length, outside off on the front foot playing a forward defensive shot to bowler for no run, fielded by Salman Ali Agha",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,20227,IP Kishan,left,31052,Salman Ali Agha,right,7,Pakistan,off break,3,spin,2026-02-15 13:30:39,5.750,0.194,3.0,-0.059,0.814,2.0,1.0,,,,,,,,True,True,False,False,,arm ball,,back of a length,outside off,front foot,forward defensive,,,bowler,Salman Ali Agha,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,Salman Ali Agha,1,0,1,1/1,1.00,0.02,0.2,1,1,Salman Ali Agha to Ishan Kishan,,"Salman Ali Agha to Ishan Kishan. Arm ball short, outside off down the track slogged to deep mid wicket for 1 run, fielded by Saim Ayub",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,20227,IP Kishan,left,31052,Salman Ali Agha,right,7,Pakistan,off break,3,spin,2026-02-15 13:30:57,8.051,0.236,4.0,-0.174,0.871,2.0,1.0,106274186.0,213.0,75.0,131.0,6.0,1.0,1.0,True,True,True,False,,,,short,outside off,down the track,slog,,,deep mid wicket,Saim Ayub,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,1,Salman Ali Agha,1,0,1,1/1,1.00,0.03,0.3,0,0,Salman Ali Agha to Abhishek Sharma,,"Salman Ali Agha to Abhishek Sharma. Off break back of a length, outside off on the front foot cut to cover for no run, fielded by Mohammad Nawaz",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,65346,A Sharma,left,31052,Salman Ali Agha,right,7,Pakistan,off break,3,spin,2026-02-15 13:31:35,5.799,0.394,3.0,0.201,0.846,3.0,1.0,,,,,,,,True,True,False,False,,off break,,back of a length,outside off,front foot,cut,,,cover,Mohammad Nawaz,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,Salman Ali Agha,1,0,1,1/1,1.00,0.04,0.4,0,0,Salman Ali Agha to Abhishek Sharma,,"Salman Ali Agha to Abhishek Sharma. Off break back of a length, off stump on the front foot driving to extra cover for no run, fielded by Mohammad Nawaz",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,65346,A Sharma,left,31052,Salman Ali Agha,right,7,Pakistan,off break,3,spin,2026-02-15 13:31:54,5.119,0.151,3.0,-0.063,0.685,2.0,1.0,,,,,,,,True,True,False,False,,off break,,back of a length,off stump,front foot,drive,,,extra cover,Mohammad Nawaz,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,Salman Ali Agha,1,0,1,1/1,1.00,0.05,0.5,0,0,Salman Ali Agha to Abhishek Sharma,,"Salman Ali Agha to Abhishek Sharma. Off break back of a length, outside off on the front foot cut to cover for no run, fielded by Faheem Ashraf",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,65346,A Sharma,left,31052,Salman Ali Agha,right,7,Pakistan,off break,3,spin,2026-02-15 13:32:12,5.848,0.455,3.0,0.428,0.721,3.0,1.0,,,,,,,,True,True,False,False,,off break,,back of a length,outside off,front foot,cut,,,cover,Faheem Ashraf,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,Salman Ali Agha,1,0,1,1/1,1.00,0.06,0.6,0,W,Salman Ali Agha to Abhishek Sharma,,"OUT! Salman Ali Agha to Abhishek Sharma. Arm ball back of a length, outside off on the front foot slogged to mid on for no run, caught by Shaheen Shah Afridi. Abhishek Sharma Caught for 0.",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,65346,A Sharma,left,31052,Salman Ali Agha,right,7,Pakistan,off break,3,spin,2026-02-15 13:32:31,6.930,0.192,3.0,-0.269,0.820,1.0,1.0,,,,,,,,True,True,False,True,,arm ball,,back of a length,outside off,front foot,slog,,,mid on,Shaheen Shah Afridi,caught,caught by Shaheen Shah Afridi. Abhishek Sharma,0,template_structured,0,,True,False,False,False,False,False,False,False,False,commentary
1,6,India,IND,5,2,Shaheen Shah Afridi,15,0,0,16/1,15.00,1.01,1.1,6,6,Shaheen Shah Afridi to Ishan Kishan,,"SIX! Shaheen Shah Afridi to Ishan Kishan. No movement short, outside off on the front foot pulled well timed for 6 runs",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,20227,IP Kishan,left,65380,Shaheen Shah Afridi,left,7,Pakistan,left pace,1,pace,2026-02-15 13:34:28,10.326,0.389,4.0,0.183,1.281,2.0,2.0,106274191.0,186.0,100.0,171.0,6.0,6.0,6.0,True,True,True,False,,no movement,,short,outside off,front foot,pull,,well timed,,,,,,template_structured,6,,False,False,False,False,False,False,False,True,False,
1,6,India,IND,5,2,Shaheen Shah Afridi,15,0,0,16/1,15.00,1.02,1.2,4,4,Shaheen Shah Afridi to Ishan Kishan,,"FOUR! Shaheen Shah Afridi to Ishan Kishan. No movement back of a length, outside off on the front foot pulled for 4 runs",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,20227,IP Kishan,left,65380,Shaheen Shah Afridi,left,7,Pakistan,left pace,1,pace,2026-02-15 13:35:09,9.286,0.470,4.0,0.271,1.019,3.0,2.0,106274192.0,110.0,100.0,161.0,8.0,4.0,4.0,True,True,True,False,,no movement,,back of a length,outside off,front foot,pull,,,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,6,India,IND,5,2,Shaheen Shah Afridi,15,0,0,16/1,15.00,1.03,1.3,1,1,Shaheen Shah Afridi to Ishan Kishan,,"Shaheen Shah Afridi to Ishan Kishan. Slower ball short, outside off on the back foot pulled to deep backward square leg for 1 run, fielded by Usman Tariq",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,20227,IP Kishan,left,65380,Shaheen Shah Afridi,left,7,Pakistan,left pace,1,pace,2026-02-15 13:35:54,9.185,0.301,4.0,0.285,1.054,3.0,2.0,106274193.0,161.0,75.0,124.0,7.0,1.0,1.0,True,True,True,False,,slower ball,,short,outside off,back foot,pull,,,deep backward square leg,Usman Tariq,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,2,Shaheen Shah Afridi,15,0,0,16/1,15.00,1.04,1.4,0,0,Shaheen Shah Afridi to Tilak Varma,,"Shaheen Shah Afridi to Tilak Varma. Seam in length ball, outside off on the front foot playing a forward defensive shot to bowler for no run, fielded by Shaheen Shah Afridi",4ccc8665-2947-4964-8b32-6729f6f7eace,233433,"India v Pakistan at Colombo (RPS), ICC Men's T20 World Cup, 15 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-15,69845,NT Tilak Varma,left,65380,Shaheen Shah Afridi,left,7,Pakistan,left pace,1,pace,2026-02-15 13:36:32,7.367,0.393,4.0,0.093,0.830,2.0,1.0,,,,,,,,True,True,False,False,,seam in,,length ball,outside off,front foot,forward defensive,,,bowler,Shaheen Shah Afridi,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
