innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,3,South Africa,SA,5,1,Fazalhaq Farooqi,4,0,0,4/0,4.00,0.01,0.1,0,0,"Farooqi to Markram, no run",Aiden Markram and Quinton de Kock head out to the middle. Fazalhaq Farooqi takes the ball for their 1st spell,"Fazalhaq Farooqi bowls a swinging ball on middle stump, landing back of a length. Aiden Markram plays a solid defensive stroke with no runs scored.",5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,27774.0,AK Markram,right,67208.0,Fazalhaq Farooqi,left,12.0,Afghanistan,left pace,2.0,pace,2026-02-11 05:31:42,8.506,0.032,4.0,-0.109,0.971,2.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,middle stump,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,3,South Africa,SA,5,1,Fazalhaq Farooqi,4,0,0,4/0,4.00,0.02,0.2,0,0,"Farooqi to Markram, no run",,"Farooqi delivers a swinging full ball outside off. Markram attempts a drive, bat meeting pad, resulting in no run as Gurbaz collects it comfortably.",5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,27774.0,AK Markram,right,67208.0,Fazalhaq Farooqi,left,12.0,Afghanistan,left pace,2.0,pace,2026-02-11 05:32:29,4.370,-0.292,2.0,-0.298,0.519,1.0,1.0,,,,,,,,True,True,False,False,,,,full,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,3,South Africa,SA,5,1,Fazalhaq Farooqi,4,0,0,4/0,4.00,0.03,0.3,0,0,"Farooqi to Markram, no run",,"Farooqi bowls a swinging away length ball on leg stump. Markram defends cautiously, no run.",5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,27774.0,AK Markram,right,67208.0,Fazalhaq Farooqi,left,12.0,Afghanistan,left pace,2.0,pace,2026-02-11 05:33:05,6.937,0.171,3.0,-0.290,0.756,1.0,1.0,,,,,,,,True,True,False,False,,,,length ball,leg stump,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,3,South Africa,SA,5,1,Fazalhaq Farooqi,4,0,0,4/0,4.00,0.04,0.4,0,0,"Farooqi to Markram, no run",,"Fazalhaq Farooqi delivers a swinging ball down leg, pitching back of a length. Aiden Markram works it with a neutral connection, safely fielded at mid-wicket by Ibrahim Zadran for no run.",5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,27774.0,AK Markram,right,67208.0,Fazalhaq Farooqi,left,12.0,Afghanistan,left pace,2.0,pace,2026-02-11 05:33:41,8.350,0.311,4.0,-0.203,0.993,1.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,down leg,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,3,South Africa,SA,5,1,Fazalhaq Farooqi,4,0,0,4/0,4.00,0.05,0.5,0,0,"Farooqi to Markram, no run",,Farooqi delivers a swinging away length ball on middle stump. Markram attempts a drive but misses. No run.,5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,27774.0,AK Markram,right,67208.0,Fazalhaq Farooqi,left,12.0,Afghanistan,left pace,2.0,pace,2026-02-11 05:34:20,7.641,-0.013,4.0,-0.752,0.912,0.0,2.0,,,,,,,,True,True,False,False,,,,length ball,middle stump,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,3,South Africa,SA,5,1,Fazalhaq Farooqi,4,0,0,4/0,4.00,0.06,0.6,4,4,"Farooqi to Markram, 4 runs",,"Farooqi bowls a swinging away full delivery outside off. Markram leans into a well-timed drive, racing it through extra cover for four. Markram gets off the mark with a stylish boundary.",5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,27774.0,AK Markram,right,67208.0,Fazalhaq Farooqi,left,12.0,Afghanistan,left pace,2.0,pace,2026-02-11 05:35:02,4.618,-0.301,2.0,-0.770,0.638,0.0,1.0,106260233.0,217.0,100.0,176.0,6.0,4.0,4.0,True,True,True,False,,,,full,outside off,,drive,,,extra cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,3,South Africa,SA,5,2,Mujeeb Ur Rahman,7,0,0,11/0,7.00,1.01,1.1,0,0,"Rahman to Kock, no run",Mujeeb Ur Rahman takes the ball for their 1st spell,"Mujeeb Ur Rahman bowls an off break outside off, pitching back of a length. Quinton de Kock pushes it gently towards extra cover, where Ibrahim Zadran fields it cleanly. No run.",5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,17614.0,Q de Kock,left,66734.0,Mujeeb Ur Rahman,right,12.0,Afghanistan,off break,3.0,spin,2026-02-11 05:36:16,5.149,0.281,3.0,0.374,0.720,3.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,push,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,3,South Africa,SA,5,2,Mujeeb Ur Rahman,7,0,0,11/0,7.00,1.02,1.2,4,4,"Rahman to Kock, 4 runs",,"Mujeeb Ur Rahman delivers a carrom ball outside off, pitched full. Quinton de Kock responds with a well-timed drive, sending the ball racing through cover for four. Quinton de Kock gets off the mark with an elegant boundary.",5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,17614.0,Q de Kock,left,66734.0,Mujeeb Ur Rahman,right,12.0,Afghanistan,off break,3.0,spin,2026-02-11 05:36:32,3.422,0.610,2.0,0.670,0.565,4.0,1.0,106260235.0,345.0,100.0,173.0,3.0,4.0,4.0,True,True,True,False,,,,full,outside off,,drive,,,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,3,South Africa,SA,5,2,Mujeeb Ur Rahman,7,0,0,11/0,7.00,1.03,1.3,0,0,"Rahman to Kock, no run",,"Mujeeb Ur Rahman bowls an off break on middle stump, pitching a back of a length delivery. Quinton de Kock attempts a glance but misses; no run.",5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,17614.0,Q de Kock,left,66734.0,Mujeeb Ur Rahman,right,12.0,Afghanistan,off break,3.0,spin,2026-02-11 05:37:01,5.918,-0.037,3.0,-0.475,0.779,1.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,middle stump,,glance,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,3,South Africa,SA,5,2,Mujeeb Ur Rahman,7,0,0,11/0,7.00,1.04,1.4,1,1,"Rahman to Kock, 1 run",,Mujeeb Ur Rahman bowls an off break delivery pitching outside off at length. Quinton de Kock steers it along the ground towards gully for a single.,5fe4d9ed-567b-44ab-9b85-d3f66f8ec4e2,233419,"South Africa v Afghanistan at Ahmedabad, ICC Men's T20 World Cup, 11 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-11,17614.0,Q de Kock,left,66734.0,Mujeeb Ur Rahman,right,12.0,Afghanistan,off break,3.0,spin,2026-02-11 05:37:16,6.490,0.194,3.0,0.224,0.857,3.0,1.0,106260237.0,57.0,35.0,60.0,1.0,1.0,1.0,True,True,True,False,,,,,outside off,,steer,along the ground,,gully,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
