innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2,Australia,AUS,1,1,PVD Chameera,16,0,0,16/0,16.00,0.01,0.1,0,0,Dushmantha Chameera to Mitch Marsh,,"Dushmantha Chameera to Mitch Marsh. Away swinger back of a length, outside off on the back foot playing a backward defensive shot to extra cover for no run, fielded by Pathum Nissanka",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,12612,MR Marsh,right,13294,PVD Chameera,right,8,Sri Lanka,right pace,1,pace,2026-02-16 13:31:31,8.027,-0.215,4.0,-0.215,1.117,1.0,2.0,,,,,,,,True,True,False,False,,away swinger,,back of a length,outside off,back foot,backward defensive,,,extra cover,Pathum Nissanka,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,1,PVD Chameera,16,0,0,16/0,16.00,0.02,0.2,4,4,Dushmantha Chameera to Mitch Marsh,,"FOUR! Dushmantha Chameera to Mitch Marsh. Away swinger back of a length, outside off on the back foot driving well timed for 4 runs",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,12612,MR Marsh,right,13294,PVD Chameera,right,8,Sri Lanka,right pace,1,pace,2026-02-16 13:32:19,8.561,-0.386,4.0,-0.397,1.091,1.0,2.0,106277633.0,179.0,100.0,170.0,7.0,4.0,4.0,True,True,True,False,,away swinger,,back of a length,outside off,back foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,2,Australia,AUS,1,1,PVD Chameera,16,0,0,16/0,16.00,0.03,0.3,1,1,Dushmantha Chameera to Mitch Marsh,,"Dushmantha Chameera to Mitch Marsh. No movement length ball, outside off on the back foot pushed to mid on for 1 run, fielded by Dushan Hemantha",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,12612,MR Marsh,right,13294,PVD Chameera,right,8,Sri Lanka,right pace,1,pace,2026-02-16 13:33:13,7.236,-0.227,4.0,-0.069,0.738,2.0,1.0,106277634.0,295.0,40.0,69.0,4.0,1.0,1.0,True,True,True,False,,no movement,,length ball,outside off,back foot,push,,,mid on,Dushan Hemantha,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,2,Australia,AUS,1,1,PVD Chameera,16,0,0,16/0,16.00,0.04,0.4,4,4,Dushmantha Chameera to Travis Head,,"FOUR! Dushmantha Chameera to Travis Head. In swinger full, down leg on the front foot flick well timed for 4 runs",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,21033,TM Head,left,13294,PVD Chameera,right,8,Sri Lanka,right pace,1,pace,2026-02-16 13:34:06,4.400,-0.319,2.0,-0.291,0.523,1.0,1.0,106277635.0,227.0,100.0,177.0,5.0,4.0,4.0,True,True,True,False,,in swinger,,full,down leg,front foot,flick,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,2,Australia,AUS,1,1,PVD Chameera,16,0,0,16/0,16.00,0.05,0.5,1,1,Dushmantha Chameera to Travis Head,,"Dushmantha Chameera to Travis Head. In swinger back of a length, leg stump on the back foot worked to gully for 1 run, run out attempt: missed stumps by Matheesha Pathirana",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,21033,TM Head,left,13294,PVD Chameera,right,8,Sri Lanka,right pace,1,pace,2026-02-16 13:34:54,8.290,-0.175,4.0,-0.130,0.880,2.0,1.0,106277636.0,47.0,40.0,62.0,1.0,1.0,1.0,True,True,True,False,,in swinger,,back of a length,leg stump,back foot,work,,,gully,,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,2,Australia,AUS,1,1,PVD Chameera,16,0,0,16/0,16.00,0.06,0.6,6,6,Dushmantha Chameera to Mitch Marsh,,"SIX! Dushmantha Chameera to Mitch Marsh. Away swinger length ball, outside off on the front foot slogged well timed for 6 runs",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,12612,MR Marsh,right,13294,PVD Chameera,right,8,Sri Lanka,right pace,1,pace,2026-02-16 13:35:45,7.943,-0.333,4.0,-0.461,0.900,1.0,1.0,106277637.0,309.0,100.0,178.0,4.0,6.0,6.0,True,True,True,False,,away swinger,,length ball,outside off,front foot,slog,,well timed,,,,,,template_structured,6,,False,False,False,False,False,False,False,True,False,
1,2,Australia,AUS,1,2,MM Theekshana,9,0,0,25/0,9.00,1.01,1.1,0,0,Maheesh Theekshana to Travis Head,,"Maheesh Theekshana to Travis Head. Off break length ball, off stump on the front foot pushed to mid wicket for no run, fielded by Dasun Shanaka",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,21033,TM Head,left,67860,MM Theekshana,right,8,Sri Lanka,off break,3,spin,2026-02-16 13:37:06,4.742,0.109,2.0,-0.092,0.660,2.0,1.0,,,,,,,,True,True,False,False,,off break,,length ball,off stump,front foot,push,,,mid wicket,Dasun Shanaka,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,2,MM Theekshana,9,0,0,25/0,9.00,1.02,1.2,0,0,Maheesh Theekshana to Travis Head,,"Maheesh Theekshana to Travis Head. Quicker ball back of a length, outside off on the back foot pushed to bowler for no run, fielded by Maheesh Theekshana",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,21033,TM Head,left,67860,MM Theekshana,right,8,Sri Lanka,off break,3,spin,2026-02-16 13:37:31,6.377,0.228,3.0,-0.062,0.791,2.0,1.0,,,,,,,,True,True,False,False,,quicker ball,,back of a length,outside off,back foot,push,,,bowler,Maheesh Theekshana,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,1,2,MM Theekshana,9,0,0,25/0,9.00,1.03,1.3,4,4,Maheesh Theekshana to Travis Head,,"FOUR! Maheesh Theekshana to Travis Head. Off break length ball, outside off on the front foot slog-sweep for 4 runs",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,21033,TM Head,left,67860,MM Theekshana,right,8,Sri Lanka,off break,3,spin,2026-02-16 13:38:00,4.457,0.470,2.0,0.572,0.835,3.0,1.0,106277640.0,76.0,100.0,160.0,1.0,4.0,4.0,True,True,True,False,,off break,,length ball,outside off,front foot,slog sweep,,,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,2,Australia,AUS,1,2,MM Theekshana,9,0,0,25/0,9.00,1.04,1.4,4,4,Maheesh Theekshana to Travis Head,,"FOUR! Maheesh Theekshana to Travis Head. Off break length ball, outside off on the front foot driving well timed for 4 runs",6d21f6c0-6514-45cf-a2aa-6d0774cc7794,233436,"Australia v Sri Lanka at Pallekele, ICC Men's T20 World Cup, 16 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Pallekele Cricket Stadium, Pallekele",Twenty20 international,2026-02-16,21033,TM Head,left,67860,MM Theekshana,right,8,Sri Lanka,off break,3,spin,2026-02-16 13:38:41,4.768,0.308,2.0,0.473,0.815,3.0,1.0,106277641.0,331.0,100.0,175.0,3.0,4.0,4.0,True,True,True,False,,off break,,length ball,outside off,front foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
