innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,276,Namibia,NAM,5,1,A Dutt,4,0,0,4/0,4.00,0.01,0.1,1,1,"Dutt to Steenkamp, 1 run",Louren Steenkamp and Jan Frylinck head out to the middle. Aryan Dutt takes the ball for their 1st spell,"Aryan Dutt bowls an off break outside off, back of a length. Louren Steenkamp works it nicely for one run, fielded cleanly by Zach Lion-Cachet at square leg. Louren Steenkamp gets off the mark with a smart start.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,67262,L Steenkamp,right,74244,A Dutt,right,132,Netherlands,off break,3,spin,2026-02-10 05:30:42,5.982,-0.342,3.0,0.077,1.051,2.0,2.0,106256416.0,354.0,40.0,71.0,3.0,1.0,1.0,True,True,True,False,,,,back of a length,outside off,,work,,,square leg,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,276,Namibia,NAM,5,1,A Dutt,4,0,0,4/0,4.00,0.02,0.2,0,0,"Dutt to Frylinck, no run",,"Aryan Dutt bowls an off break outside off, pitching back of a length. Jan Frylinck works it with a controlled shot, no run taken.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,15451,JN Frylinck,left,74244,A Dutt,right,132,Netherlands,off break,3,spin,2026-02-10 05:31:25,6.461,0.220,3.0,-0.071,0.834,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,work,,controlled,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,276,Namibia,NAM,5,1,A Dutt,4,0,0,4/0,4.00,0.03,0.3,1,1,"Dutt to Frylinck, 1 run",,"Aryan Dutt bowls an off break length ball outside off. Jan Frylinck pushes it with a controlled touch for one run, a safe throw attempt at the stumps by Colin Ackermann. Jan Frylinck gets off the mark with a well-placed single.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,15451,JN Frylinck,left,74244,A Dutt,right,132,Netherlands,off break,3,spin,2026-02-10 05:31:53,6.068,0.385,3.0,0.316,0.893,3.0,1.0,106256421.0,357.0,40.0,67.0,3.0,1.0,1.0,True,True,True,False,,,,length ball,outside off,,push,,controlled,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,276,Namibia,NAM,5,1,A Dutt,4,0,0,4/0,4.00,0.04,0.4,1,1,"Dutt to Steenkamp, 1 run",,"Dutt bowls an off break, pitching outside off at a back of a length. Steenkamp works it carefully, taking a single with a well-controlled shot fielded at long on by Max O'Dowd.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,67262,L Steenkamp,right,74244,A Dutt,right,132,Netherlands,off break,3,spin,2026-02-10 05:32:37,6.690,-0.424,3.0,-0.067,0.869,2.0,1.0,106256423.0,290.0,85.0,149.0,4.0,1.0,1.0,True,True,True,False,,,,back of a length,outside off,,work,,controlled,long on,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,276,Namibia,NAM,5,1,A Dutt,4,0,0,4/0,4.00,0.05,0.5,0,0,"Dutt to Frylinck, no run",,"Dutt bowls an off break outside off, pitched back of a length. Jan Frylinck pushes a mistimed shot, safely fielded by Scott Edwards at silly point. Dot ball.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,15451,JN Frylinck,left,74244,A Dutt,right,132,Netherlands,off break,3,spin,2026-02-10 05:33:07,6.934,0.210,3.0,0.538,0.962,3.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,push,,mistimed,silly point,Scott Edwards at silly point,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,276,Namibia,NAM,5,1,A Dutt,4,0,0,4/0,4.00,0.06,0.6,1,1,"Dutt to Frylinck, 1 run",,"Aryan Dutt bowls an off break, landing outside off at a length. Jan Frylinck plays a controlled drop shot and takes a quick single. Colin Ackermann's sharp throw at backward point leads to an unsuccessful run out attempt.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,15451,JN Frylinck,left,74244,A Dutt,right,132,Netherlands,off break,3,spin,2026-02-10 05:33:32,6.188,0.458,3.0,0.326,0.822,3.0,1.0,106256429.0,1.0,35.0,58.0,2.0,1.0,1.0,True,True,True,False,,,,,outside off,,,,controlled,backward point,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,276,Namibia,NAM,5,2,LV van Beek,5,0,0,9/0,5.00,1.01,1.1,0,0,"Beek to Frylinck, no run",Logan van Beek takes the ball for their 1st spell,"Logan van Beek bowls a no movement ball just back of a length on off stump. Jan Frylinck pushes it forward, safely fielded by Roelof van der Merwe at mid-off for no run.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,15451,JN Frylinck,left,18050,LV van Beek,right,132,Netherlands,right pace,1,pace,2026-02-10 05:36:22,7.139,0.079,4.0,0.419,0.784,3.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,off stump,no movement,push,,,,Roelof van der Merwe at mid-off for no run,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,276,Namibia,NAM,5,2,LV van Beek,5,0,0,9/0,5.00,1.02,1.2,0,0,"Beek to Frylinck, no run",,"Van Beek delivers a no movement ball pitching back of a length outside off. Frylinck cuts it with a neutral connection, fielded cleanly by Levitt at cover for no run.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,15451,JN Frylinck,left,18050,LV van Beek,right,132,Netherlands,right pace,1,pace,2026-02-10 05:36:53,8.772,0.092,4.0,0.486,1.027,3.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,no movement,cut,,,cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,276,Namibia,NAM,5,2,LV van Beek,5,0,0,9/0,5.00,1.03,1.3,1,1,"Beek to Frylinck, 1 run",,"Logan van Beek bowls a length ball outside off. Jan Frylinck plays a controlled drive, sending it along the ground to mid off for a single.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,15451,JN Frylinck,left,18050,LV van Beek,right,132,Netherlands,right pace,1,pace,2026-02-10 05:37:25,6.606,0.097,3.0,0.331,0.738,3.0,1.0,106256435.0,284.0,40.0,76.0,4.0,1.0,1.0,True,True,True,False,,,,length ball,outside off,,drive,along the ground,controlled,mid off,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,276,Namibia,NAM,5,2,LV van Beek,5,0,0,9/0,5.00,1.04,1.4,4,4,"Beek to Steenkamp, 4 runs",,"Van Beek delivers a swinging-in ball on middle stump, back of a length. Steenkamp plays a well-timed flick, sending it past fine leg for four. Namibia opens their account with a stylish boundary early in the innings.",a1643e42-2bc0-438e-a103-d595e1031ba8,233416,"Netherlands v Namibia at Delhi, ICC Men's T20 World Cup, 10 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Arun Jaitley Stadium (Feroz Shah Kotla), Delhi",Twenty20 international,2026-02-10,67262,L Steenkamp,right,18050,LV van Beek,right,132,Netherlands,right pace,1,pace,2026-02-10 05:38:15,6.701,-0.108,3.0,0.212,0.770,3.0,1.0,106256437.0,34.0,100.0,164.0,2.0,4.0,4.0,True,True,True,False,,,,back of a length,middle stump,,flick,,,fine leg,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
