innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,6,India,IND,5,1,JA Duffy,14,0,0,14/0,14.00,0.01,0.1,0,0,Jacob Duffy to Abhishek Sharma,,"Jacob Duffy to Abhishek Sharma. Away swinger length ball, outside off on the front foot driving to wicketkeeper for no run, fielded by Tim Seifert",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,length ball,outside off,front foot,drive,,,wicketkeeper,Tim Seifert,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,JA Duffy,14,0,0,14/0,14.00,0.02,0.2,0,0,Jacob Duffy to Abhishek Sharma,,"Jacob Duffy to Abhishek Sharma. Away swinger back of a length, middle stump on the back foot cut to backward point for no run, fielded by Glenn Phillips",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,back of a length,middle stump,back foot,cut,,,backward point,Glenn Phillips,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,JA Duffy,14,0,0,14/0,14.00,0.03,0.3,6,6,Jacob Duffy to Abhishek Sharma,,"SIX! Jacob Duffy to Abhishek Sharma. Away swinger length ball, outside off on the front foot driving well timed for 6 runs",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,65346.0,A Sharma,left,15670.0,JA Duffy,right,5.0,New Zealand,right pace,1.0,pace,2026-01-31 13:31:33,,,,,,,,106210794.0,318.0,100.0,177.0,3.0,6.0,6.0,False,False,True,False,,away swinger,,length ball,outside off,front foot,drive,,well timed,,,,,,template_structured,6,,False,False,False,False,False,False,False,True,False,
1,6,India,IND,5,1,JA Duffy,14,0,0,14/0,14.00,0.04,0.4,0,0,Jacob Duffy to Abhishek Sharma,,"Jacob Duffy to Abhishek Sharma. Away swinger back of a length, down leg on the back foot playing a backward defensive shot to bowler for no run, fielded by Jacob Duffy",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,back of a length,down leg,back foot,backward defensive,,,bowler,Jacob Duffy,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,JA Duffy,14,0,0,14/0,14.00,0.05,0.5,4,4,Jacob Duffy to Abhishek Sharma,,"FOUR! Jacob Duffy to Abhishek Sharma. Away swinger short, down leg on the back foot upper cutted for 4 runs",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,65346.0,A Sharma,left,15670.0,JA Duffy,right,5.0,New Zealand,right pace,1.0,pace,2026-01-31 13:33:55,,,,,,,,106210804.0,89.0,100.0,160.0,1.0,4.0,4.0,False,False,True,False,,away swinger,,short,down leg,back foot,cut,,,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,6,India,IND,5,1,JA Duffy,14,0,0,14/0,14.00,0.06,0.6,4,4,Jacob Duffy to Abhishek Sharma,,"FOUR! Jacob Duffy to Abhishek Sharma. Seam away back of a length, middle stump on the front foot driving for 4 runs",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,65346.0,A Sharma,left,15670.0,JA Duffy,right,5.0,New Zealand,right pace,1.0,pace,2026-01-31 13:34:30,,,,,,,,106210807.0,358.0,100.0,170.0,3.0,4.0,4.0,False,False,True,False,,seam away,,back of a length,middle stump,front foot,drive,,,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,6,India,IND,5,2,KA Jamieson,15,0,0,29/0,15.00,1.01,1.1,0,0,Kyle Jamieson to Sanju Samson,,"Kyle Jamieson to Sanju Samson. Away swinger full, outside off on the front foot pushed to cover for no run, fielded by Rachin Ravindra",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,away swinger,,full,outside off,front foot,push,,,cover,Rachin Ravindra,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,KA Jamieson,15,0,0,29/0,15.00,1.02,1.2,4,4,Kyle Jamieson to Sanju Samson,,"FOUR! Kyle Jamieson to Sanju Samson. Away swinger length ball, outside off on the front foot pushed for 4 runs",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,17613.0,SV Samson,right,33186.0,KA Jamieson,right,5.0,New Zealand,right pace,1.0,pace,2026-01-31 13:36:19,,,,,,,,106210818.0,96.0,100.0,160.0,8.0,4.0,4.0,False,False,True,False,,away swinger,,length ball,outside off,front foot,push,,,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,6,India,IND,5,2,KA Jamieson,15,0,0,29/0,15.00,1.03,1.3,1,1,Kyle Jamieson to Sanju Samson,,"Kyle Jamieson to Sanju Samson. No movement back of a length, outside off on the back foot cut well timed to third man for 1 run, fielded by Lockie Ferguson",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,17613.0,SV Samson,right,33186.0,KA Jamieson,right,5.0,New Zealand,right pace,1.0,pace,2026-01-31 13:37:06,,,,,,,,106210822.0,143.0,85.0,142.0,7.0,1.0,1.0,False,False,True,False,,no movement,,back of a length,outside off,back foot,cut,,well timed,third man,Lockie Ferguson,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,2,KA Jamieson,15,0,0,29/0,15.00,1.04,1.4,4,4,Kyle Jamieson to Abhishek Sharma,,"FOUR! Kyle Jamieson to Abhishek Sharma. Away swinger back of a length, down leg on the back foot driving well timed for 4 runs",bd02c3fc-a987-483b-b75c-8903500fbff7,233912,"India v New Zealand at Thiruvananthapuram, 5th T20I, 31 Jan 2026",8906,New Zealand in India,2025/26,"Greenfield Stadium, Thiruvananthapuram",Twenty20 international,2026-01-31,65346.0,A Sharma,left,33186.0,KA Jamieson,right,5.0,New Zealand,right pace,1.0,pace,2026-01-31 13:37:51,,,,,,,,106210825.0,348.0,100.0,172.0,3.0,4.0,4.0,False,False,True,False,,away swinger,,back of a length,down leg,back foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
