innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,6,India,IND,5,1,Sikandar Raza,9,0,0,9/0,9.00,0.01,0.1,1,1,"Raza to Sooryavanshi, 1 run",Vaibhav Sooryavanshi and Abhishek Sharma head out to the middle. Sikandar Raza takes the ball for their 1st spell,"The off break is pitched just outside off and length, and Vaibhav Sooryavanshi confidently drives it along the ground for a quick single. Sooryavanshi gets off the mark with a steady start.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,83313,V Sooryavanshi,left,12501,Sikandar Raza,right,9,Zimbabwe,off break,3,spin,2026-07-25 11:00:41,4.243,0.444,2,0.261,0.533,3.0,1.0,107032970.0,317.0,40.0,70.0,3.0,1.0,1.0,True,True,True,False,,,,,outside off,,drive,along the ground,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,1,Sikandar Raza,9,0,0,9/0,9.00,0.02,0.2,0,0,"Raza to Sharma, no run",,"Sikandar Raza bowls an off break just outside off stump, landing a back of a length delivery. Abhishek Sharma confidently drives it along the ground but there’s no run as the ball is quickly fielded at cover.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,65346,A Sharma,left,12501,Sikandar Raza,right,9,Zimbabwe,off break,3,spin,2026-07-25 11:01:13,5.991,0.271,3,0.159,0.583,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,drive,along the ground,,cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,Sikandar Raza,9,0,0,9/0,9.00,0.03,0.3,4,4,"Raza to Sharma, 4 runs",,"This length ball outside off from the off break is driven crisply. The shot is well timed and controlled, racing away towards cover for four. Abhishek Sharma has gotten off the mark.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,65346,A Sharma,left,12501,Sikandar Raza,right,9,Zimbabwe,off break,3,spin,2026-07-25 11:01:33,5.152,0.443,3,0.387,0.557,3.0,1.0,107032976.0,338.0,100.0,174.0,3.0,4.0,4.0,True,True,True,False,,,,length ball,outside off,,drive,,controlled,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,6,India,IND,5,1,Sikandar Raza,9,0,0,9/0,9.00,0.04,0.4,4,4,"Raza to Sharma, 4 runs",,"An off break pitched back of a length outside off stump, perfectly met by Abhishek Sharma. He drives it cleanly and with great timing, sending the ball racing through the cover region for four. That's another boundary for Abhishek Sharma, his second of the over.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,65346,A Sharma,left,12501,Sikandar Raza,right,9,Zimbabwe,off break,3,spin,2026-07-25 11:02:07,7.172,0.277,4,0.084,0.811,2.0,1.0,107032979.0,332.0,100.0,175.0,3.0,4.0,4.0,True,True,True,False,,,,back of a length,outside off,,drive,,,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,6,India,IND,5,1,Sikandar Raza,9,0,0,9/0,9.00,0.05,0.5,0,0,"Raza to Sharma, no run",,"An off break drifting into leg stump length, met with a controlled drive by Abhishek Sharma who finds extra cover but can't beat the fielder. No run comes off this well-sized shot.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,65346,A Sharma,left,12501,Sikandar Raza,right,9,Zimbabwe,off break,3,spin,2026-07-25 11:02:43,4.811,-0.127,2,-0.258,0.499,1.0,1.0,,,,,,,,True,True,False,False,,,,,leg stump,,drive,,controlled,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,Sikandar Raza,9,0,0,9/0,9.00,0.06,0.6,0,0,"Raza to Sharma, no run",,"On a back of a length delivery aimed at middle stump, the batter attempts a flick but mistimes it, resulting in no run as the ball is comfortably fielded at mid wicket.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,65346,A Sharma,left,12501,Sikandar Raza,right,9,Zimbabwe,off break,3,spin,2026-07-25 11:02:59,7.654,0.002,4,-0.800,0.955,0.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,middle stump,,flick,,,mid wicket,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,B Muzarabani,1,0,1,10/1,1.00,1.01,1.1,0,0,"Muzarabani to Sooryavanshi, no run",Blessing Muzarabani takes the ball for their 1st spell,"A back of a length swinging away delivery on leg stump, the batter attempts a pull but misses completely. No run from this one.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,83313,V Sooryavanshi,left,66839,B Muzarabani,right,9,Zimbabwe,right pace,1,pace,2026-07-25 11:04:03,9.917,-0.131,4,0.439,1.467,3.0,3.0,,,,,,,,True,True,False,False,,,,back of a length,leg stump,,pull,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,B Muzarabani,1,0,1,10/1,1.00,1.02,1.2,1,1,"Muzarabani to Sooryavanshi, 1 run",,"Down the leg side on a back of a length, the batter calmly pushes it into the gully for a well-judged single.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,83313,V Sooryavanshi,left,66839,B Muzarabani,right,9,Zimbabwe,right pace,1,pace,2026-07-25 11:04:41,9.818,-0.196,4,0.370,1.310,3.0,2.0,107032998.0,20.0,25.0,41.0,2.0,1.0,1.0,True,True,True,False,,,,back of a length,down the leg side,,push,,,gully,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,2,B Muzarabani,1,0,1,10/1,1.00,1.03,1.3,0,0,"Muzarabani to Sharma, no run",,"The bowler delivers a back of a length ball on leg stump, and the batter pushes it gently to backward point for no run.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,65346,A Sharma,left,66839,B Muzarabani,right,9,Zimbabwe,right pace,1,pace,2026-07-25 11:05:18,9.176,-0.076,4,0.601,1.150,4.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,leg stump,,push,,,backward point,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,B Muzarabani,1,0,1,10/1,1.00,1.04,1.4,0,0,"Muzarabani to Sharma, no run",,"The bowler delivers a length swinging away on off stump, and Abhishek Sharma attempts a drive but misses it completely. No run comes off this ball.",bfa214e0-2e55-4d99-9e75-fe48b320a9f5,238973,"Zimbabwe v India at Harare, 2nd T20I, 25 Jul 2026",9166,India in Zimbabwe,2026,"Harare Sports Club, Harare",Twenty20 international,2026-07-25,65346,A Sharma,left,66839,B Muzarabani,right,9,Zimbabwe,right pace,1,pace,2026-07-25 11:05:49,7.368,0.133,4,0.814,1.117,4.0,2.0,,,,,,,,True,True,False,False,,,,,off stump,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
