innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2,Australia,AUS,5,1,Arshdeep Singh,6,0,1,6/1,6.00,0.01,0.1,2,2,"Singh to Head, 2 runs",Travis Head and Mitch Marsh head out to the middle. Arshdeep Singh takes the ball for their 1st spell,"Arshdeep Singh bowls a swinging away delivery outside off, pitching on back of a length. Travis Head drives it well-timed for 2 runs. Travis Head gets off the mark in style.",d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,21033.0,TM Head,left,67190.0,Arshdeep Singh,left,6.0,India,left pace,1.0,pace,2025-11-02 08:15:53,8.153,0.349,4.0,0.755,1.088,4.0,2.0,105833377.0,309.0,100.0,171.0,4.0,2.0,2.0,True,True,True,False,,,,back of a length,outside off,,drive,,,,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,2,Australia,AUS,5,1,Arshdeep Singh,6,0,1,6/1,6.00,0.02,0.2,0,0,"Singh to Head, no run",,Arshdeep Singh bowls a swinging length ball on off stump. Travis Head pushes it cautiously towards extra cover where Tilak Varma fields quickly. No run taken.,d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,21033.0,TM Head,left,67190.0,Arshdeep Singh,left,6.0,India,left pace,1.0,pace,2025-11-02 08:16:38,8.255,0.111,4.0,0.217,0.995,3.0,2.0,,,,,,,,True,True,False,False,,,,length ball,off stump,,push,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,5,1,Arshdeep Singh,6,0,1,6/1,6.00,0.03,0.3,4,4,"Singh to Head, 4 runs",,"Arshdeep Singh delivers a swinging away length ball on middle stump. Travis Head flicks it with precision, well timed through fine leg for four.",d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,21033.0,TM Head,left,67190.0,Arshdeep Singh,left,6.0,India,left pace,1.0,pace,2025-11-02 08:17:16,8.387,0.035,4.0,-0.049,1.005,2.0,2.0,105833383.0,135.0,100.0,163.0,8.0,4.0,4.0,True,True,True,False,,,,length ball,middle stump,,flick,,well timed,fine leg,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2,Australia,AUS,5,1,Arshdeep Singh,6,0,1,6/1,6.00,0.04,0.4,0,W,"Singh to Head, out!",,"Arshdeep Singh bowls a swinging away delivery outside off on the back of a length. Travis Head attempts a drive but mistimes it, resulting in a catch at mid-off by Suryakumar Yadav. Dot ball and a wicket falls! Head's early dismissal for 6 off 4 shifts the momentum significantly, boosting India's WinViz from 48% to 57%.",d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,21033.0,TM Head,left,67190.0,Arshdeep Singh,left,6.0,India,left pace,1.0,pace,2025-11-02 08:17:55,7.495,0.433,4.0,0.748,0.992,4.0,2.0,,,,,,,,True,True,False,True,,,,back of a length,outside off,,drive,,,,,caught,,,keyword,0,,True,False,False,False,False,False,False,False,False,catch_map
1,2,Australia,AUS,5,1,Arshdeep Singh,6,0,1,6/1,6.00,0.05,0.5,0,0,"Singh to Inglis, no run",Josh Inglis heads to the crease. ,"Arshdeep Singh bowls a swinging length ball on leg stump. Josh Inglis steers it with a neutral connection, safely fielded by Varun Chakravarthy at short third man for no run.",d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,37709.0,JP Inglis,right,67190.0,Arshdeep Singh,left,6.0,India,left pace,1.0,pace,2025-11-02 08:19:42,7.909,0.157,4.0,-0.357,1.139,1.0,2.0,,,,,,,,True,True,False,False,,,,length ball,leg stump,,steer,,,short third man,Varun Chakravarthy at short third man for no run,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,5,1,Arshdeep Singh,6,0,1,6/1,6.00,0.06,0.6,0,0,"Singh to Inglis, no run",,"Arshdeep Singh delivers a no movement ball on leg stump, back of a length. Josh Inglis pushes it with a neutral connection; Axar Patel fields it at cover. No run scored.",d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,37709.0,JP Inglis,right,67190.0,Arshdeep Singh,left,6.0,India,left pace,1.0,pace,2025-11-02 08:20:18,8.597,0.204,4.0,-0.433,1.153,1.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,leg stump,no movement,push,,,cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,5,2,JJ Bumrah,6,0,0,12/1,6.00,1.01,1.1,4,4,"Bumrah to Marsh, 4 runs",Jasprit Bumrah takes the ball for their 1st spell,"Bumrah delivers a swinging-in length ball outside off stump. Marsh flicks it perfectly, sending the ball racing to deep backward square leg for four. Marsh gets off the mark with a classy boundary.",d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,12612.0,MR Marsh,right,16096.0,JJ Bumrah,right,6.0,India,right pace,1.0,pace,2025-11-02 08:21:25,6.288,-0.302,3.0,0.179,0.754,2.0,1.0,105833398.0,9.0,100.0,168.0,2.0,4.0,4.0,True,True,True,False,,,,length ball,outside off,,flick,,,deep backward square leg,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2,Australia,AUS,5,2,JJ Bumrah,6,0,0,12/1,6.00,1.02,1.2,1,1,"Bumrah to Marsh, 1 run",,Bumrah bowls a swinging length ball just outside off. Marsh plays a solid defensive shot and takes a single.,d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,12612.0,MR Marsh,right,16096.0,JJ Bumrah,right,6.0,India,right pace,1.0,pace,2025-11-02 08:22:04,7.634,-0.421,4.0,0.114,0.807,2.0,1.0,105833400.0,285.0,35.0,66.0,4.0,1.0,1.0,True,True,True,False,,,,length ball,outside off,,,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,2,Australia,AUS,5,2,JJ Bumrah,6,0,0,12/1,6.00,1.03,1.3,0,0,"Bumrah to Inglis, no run",,Bumrah bowls a swinging length ball just outside off. Inglis attempts a reverse scoop but hits it onto his body. No run taken.,d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,37709.0,JP Inglis,right,16096.0,JJ Bumrah,right,6.0,India,right pace,1.0,pace,2025-11-02 08:22:53,7.024,-0.205,4.0,0.599,0.783,3.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2,Australia,AUS,5,2,JJ Bumrah,6,0,0,12/1,6.00,1.04,1.4,0,0,"Bumrah to Inglis, no run",,"Bumrah bowls a swinging length ball outside off stump. Inglis steers it cautiously, with Shivam Dube holding a tidy gully catch. No run added.",d406818a-b575-4543-bd15-6933e0f5e42e,227549,"Australia v India at Hobart, 3rd T20I, 2 Nov 2025",8596,India in Australia,2025/26,"Bellerive Oval, Hobart",Twenty20 international,2025-11-02,37709.0,JP Inglis,right,16096.0,JJ Bumrah,right,6.0,India,right pace,1.0,pace,2025-11-02 08:23:32,6.948,-0.447,3.0,0.017,0.807,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,steer,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
