innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,6,India,IND,5,1,JC Archer,5,1,0,5/0,4.00,0.01,0.0,1,1ʷᵈ,"Archer to Sooryavanshi, 1 run (wide)",Vaibhav Sooryavanshi and Abhishek Sharma head out to the middle. Jofra Archer takes the ball for their 1st spell,"Jofra Archer starts with a back of a length seaming delivery wide down leg. The batter attempts a pull but misses, and a wide is signaled, adding one extra run.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,83313,V Sooryavanshi,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-07-09 16:30:34,9.737,-0.616,4.0,,,,,,,,,,,,True,False,False,False,,,,back of a length,down leg,,pull,,,,,,,,keyword,1,wide,False,True,False,False,False,False,False,False,False,
1,6,India,IND,5,1,JC Archer,5,1,0,5/0,4.00,0.02,0.1,1,1,"Archer to Sooryavanshi, 1 run",,"On a back of a length ball aimed at leg stump, the batter pulls it off the bat-pad for a quick single. Vaibhav Sooryavanshi gets off the mark.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,83313,V Sooryavanshi,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-07-09 16:31:10,9.507,-0.095,4.0,0.066,1.303,2.0,2.0,106958880.0,171.0,25.0,39.0,7.0,1.0,1.0,True,True,True,False,,,,back of a length,leg stump,,pull,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,1,JC Archer,5,1,0,5/0,4.00,0.03,0.2,0,0,"Archer to Sharma, no run",,"Bowled on a back of a length, the delivery straightens on middle stump. The batter works it but mistimes, resulting in no run as the bowler collects comfortably.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,65346,A Sharma,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-07-09 16:31:55,9.857,-0.055,4.0,-0.070,1.409,2.0,3.0,,,,,,,,True,True,False,False,,,,back of a length,middle stump,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,JC Archer,5,1,0,5/0,4.00,0.04,0.3,1,1,"Archer to Sharma, 1 run",,"A back of a length ball on leg stump, played with a careful defensive stroke, the inside edge nudges the ball for a single. Abhishek Sharma has opened his account.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,65346,A Sharma,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-07-09 16:32:27,9.014,-0.076,4.0,0.002,1.050,2.0,2.0,106958884.0,193.0,30.0,52.0,6.0,1.0,1.0,True,True,True,False,,,,back of a length,leg stump,,,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,1,JC Archer,5,1,0,5/0,4.00,0.05,0.4,2,2,"Archer to Sooryavanshi, 2 runs",,"Vaibhav Sooryavanshi pulls a back-of-a-length ball on leg stump with some wild control, sneaking two runs to deep square leg.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,83313,V Sooryavanshi,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-07-09 16:33:08,9.506,-0.173,4.0,-0.126,1.193,2.0,2.0,106958885.0,195.0,95.0,159.0,6.0,2.0,2.0,True,True,True,False,,,,length ball,leg stump,,pull,,,deep square leg,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,6,India,IND,5,1,JC Archer,5,1,0,5/0,4.00,0.06,0.5,0,0,"Archer to Sooryavanshi, no run",,"Delivered on a back of a length outside off stump with no movement, the drive offered is mis-timed and comfortably fielded by mid on for no run.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,83313,V Sooryavanshi,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-07-09 16:33:49,8.359,0.113,4.0,0.481,1.109,3.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,no movement,drive,,,,mid on for no run,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,1,JC Archer,5,1,0,5/0,4.00,0.07,0.6,0,0,"Archer to Sooryavanshi, no run",,"A yorker outside off stump, Vaibhav Sooryavanshi attempts a drive but misses entirely. Jos Buttler collects it comfortably behind the stumps, resulting in no run.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,83313,V Sooryavanshi,left,28503,JC Archer,right,1,England,right pace,1,pace,2026-07-09 16:34:33,0.834,0.455,1.0,0.490,0.112,3.0,0.0,,,,,,,,True,True,False,False,,,,yorker,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,JC Tongue,15,0,0,20/0,15.00,1.01,1.1,4,4,"Tongue to Sharma, 4 runs",Josh Tongue takes the ball for their 1st spell,"A length ball on off stump, bowled with no movement, is met with a beautifully controlled drive. The batter times it well, sending it racing through extra cover for four. That's the first boundary of the innings.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,65346,A Sharma,left,56286,JC Tongue,right,1,England,right pace,1,pace,2026-07-09 16:35:32,6.149,0.175,3.0,0.585,0.779,3.0,1.0,106958892.0,313.0,100.0,177.0,4.0,4.0,4.0,True,True,True,False,,,,length ball,off stump,no movement,drive,,controlled,extra cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,6,India,IND,5,2,JC Tongue,15,0,0,20/0,15.00,1.02,1.2,0,0,"Tongue to Sharma, no run",,"The back-of-a-length delivery down the leg side is deftly dropped by the batter, who manages to keep it grounded. No run comes off this delivery.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,65346,A Sharma,left,56286,JC Tongue,right,1,England,right pace,1,pace,2026-07-09 16:36:16,8.505,-0.250,4.0,0.229,1.000,3.0,2.0,,,,,,,,True,True,False,False,,,,,down the leg side,,drop,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,6,India,IND,5,2,JC Tongue,15,0,0,20/0,15.00,1.03,1.3,1,1,"Tongue to Sharma, 1 run",,"Josh Tongue bowls a length ball just outside off, and Abhishek Sharma goes for a slog. He gets an inside edge, scrambling to take a quick single.",d9d13d73-b3b6-470d-8346-b7c1d5282479,229347,"England v India at Bristol, 4th T20I, 9 Jul 2026",8721,India in England,2026,"County Ground, Bristol",Twenty20 international,2026-07-09,65346,A Sharma,left,56286,JC Tongue,right,1,England,right pace,1,pace,2026-07-09 16:36:52,5.243,0.291,3.0,0.700,0.544,4.0,1.0,106958896.0,188.0,75.0,131.0,6.0,1.0,1.0,True,True,True,False,,,,length ball,outside off,,slog,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
