innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,8,Sri Lanka,SRI,5,1,MJ Humphreys,5,0,0,5/0,5.00,0.01,0.1,2,2,"Humphreys to Nissanka, 2 runs",Pathum Nissanka and Kamil Mishara head out to the middle. Matthew Humphreys takes the ball for their 1st spell,Humphreys bowls an arm ball short outside off. Nissanka plays a controlled pull to the deep mid-wicket boundary for two runs. Pathum Nissanka gets off the mark with a solid start.,dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,34256,PNS Silva,right,76244,MJ Humphreys,left,11,Ireland,left orthodox,5,spin,2026-02-08 13:31:54,7.545,-0.460,4.0,-0.364,0.819,1.0,1.0,106251459.0,321.0,80.0,144.0,3.0,2.0,2.0,True,True,True,False,,,,short,outside off,,pull,,controlled,,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,8,Sri Lanka,SRI,5,1,MJ Humphreys,5,0,0,5/0,5.00,0.02,0.2,0,0,"Humphreys to Nissanka, no run",,"Humphreys fires in a quicker ball outside off, landing back of a length. Nissanka goes for the late cut but misses, no run.",dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,34256,PNS Silva,right,76244,MJ Humphreys,left,11,Ireland,left orthodox,5,spin,2026-02-08 13:32:26,6.247,-0.420,3.0,-0.219,0.612,1.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,late cut,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,8,Sri Lanka,SRI,5,1,MJ Humphreys,5,0,0,5/0,5.00,0.03,0.3,0,0,"Humphreys to Nissanka, no run",,Matthew Humphreys bowls a quicker ball on a back-of-a-length outside off stump. Pathum Nissanka carefully steers it towards gully where Mark Adair fields it. No run.,dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,34256,PNS Silva,right,76244,MJ Humphreys,left,11,Ireland,left orthodox,5,spin,2026-02-08 13:32:48,5.917,-0.312,3.0,-0.073,0.687,2.0,1.0,,,,,,,,True,True,False,False,,,,full,outside off,,steer,,,gully,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,8,Sri Lanka,SRI,5,1,MJ Humphreys,5,0,0,5/0,5.00,0.04,0.4,1,1,"Humphreys to Nissanka, 1 run",,"Humphreys delivers a short arm ball targeting off stump. Nissanka works it carefully, taking a single through the field, with Delany fielding at deep mid-wicket.",dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,34256,PNS Silva,right,76244,MJ Humphreys,left,11,Ireland,left orthodox,5,spin,2026-02-08 13:33:11,7.766,-0.171,4.0,0.339,0.855,3.0,1.0,106251465.0,329.0,60.0,109.0,3.0,1.0,1.0,True,True,True,False,,,,short,off stump,,work,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,8,Sri Lanka,SRI,5,1,MJ Humphreys,5,0,0,5/0,5.00,0.05,0.5,0,0,"Humphreys to Mishara, no run",,Humphreys delivers a quicker ball pitching short outside off stump. Kamil Mishara works it with neutral timing and places it on the ground for no run.,dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,68284,RVPK Mishara,left,76244,MJ Humphreys,left,11,Ireland,left orthodox,5,spin,2026-02-08 13:33:57,7.381,0.363,4.0,0.285,0.992,3.0,2.0,,,,,,,,True,True,False,False,,,,short,outside off,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,8,Sri Lanka,SRI,5,1,MJ Humphreys,5,0,0,5/0,5.00,0.06,0.6,2,2,"Humphreys to Mishara, 2 runs",,"Humphreys bowls a short arm ball outside off. Mishara plays a controlled drive, sneaking two runs through deep extra cover. Kamil Mishara gets off the mark, injecting some early momentum for Sri Lanka.",dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,68284,RVPK Mishara,left,76244,MJ Humphreys,left,11,Ireland,left orthodox,5,spin,2026-02-08 13:34:26,8.780,0.514,4.0,0.514,1.070,3.0,2.0,106251468.0,330.0,80.0,141.0,3.0,2.0,2.0,True,True,True,False,,,,short,outside off,,drive,,controlled,deep extra cover,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,8,Sri Lanka,SRI,5,2,MR Adair,13,1,0,18/0,12.00,1.01,1.1,4,4,"Adair to Nissanka, 4 runs",Mark Adair takes the ball for their 1st spell,"Adair delivers a swinging away ball outside off, landing back of a length. Nissanka drives it well-timed through cover for four runs. Sri Lanka races to their opening boundary of the innings.",dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,34256,PNS Silva,right,33379,MR Adair,right,11,Ireland,right pace,2,pace,2026-02-08 13:36:00,8.411,-0.337,4.0,-0.678,0.977,0.0,2.0,106251472.0,209.0,100.0,175.0,6.0,4.0,4.0,True,True,True,False,,,,back of a length,outside off,,drive,,,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,8,Sri Lanka,SRI,5,2,MR Adair,13,1,0,18/0,12.00,1.02,1.2,1,1,"Adair to Nissanka, 1 run",,Mark Adair bowls a swinging away length ball just outside off. Pathum Nissanka steers it well-timed to deep backward point for a single.,dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,34256,PNS Silva,right,33379,MR Adair,right,11,Ireland,right pace,2,pace,2026-02-08 13:36:43,7.843,-0.309,4.0,-0.461,0.990,1.0,2.0,106251476.0,162.0,80.0,133.0,7.0,1.0,1.0,True,True,True,False,,,,length ball,outside off,,steer,,,deep backward point,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,8,Sri Lanka,SRI,5,2,MR Adair,13,1,0,18/0,12.00,1.03,1.2,1,1ʷᵈ,"Adair to Mishara, 1 run (wide)",,"Mark Adair delivers a swinging ball outside off, landing back of a length. Kamil Mishara attempts a drive but misses, and the ball is called wide, adding an extra run.",dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,68284,RVPK Mishara,left,33379,MR Adair,right,11,Ireland,right pace,2,pace,2026-02-08 13:37:31,7.527,-0.148,4.0,,,,,,,,,,,,True,False,False,False,,,,back of a length,outside off,,drive,,,,,,,,keyword,1,wide,False,True,False,False,False,False,False,False,False,
1,8,Sri Lanka,SRI,5,2,MR Adair,13,1,0,18/0,12.00,1.04,1.3,2,2,"Adair to Mishara, 2 runs",,"Mark Adair bowls a length ball on leg stump swinging away. Kamil Mishara plays a defensive shot with a thick edge, nudging it for 2 runs.",dbcf1ed1-1c2e-4fe5-9dd5-a56fb3d9f5de,233412,"Sri Lanka v Ireland at Colombo (RPS), ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"R Premadasa Stadium, Colombo",Twenty20 international,2026-02-08,68284,RVPK Mishara,left,33379,MR Adair,right,11,Ireland,right pace,2,pace,2026-02-08 13:38:06,7.593,-0.149,4.0,0.295,0.974,3.0,2.0,106251480.0,39.0,55.0,89.0,2.0,2.0,2.0,True,True,True,False,,,,length ball,leg stump,,,,,,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
