innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,12,Afghanistan,AFG,5,1,MJ Henry,6,1,0,6/0,5.00,0.01,0.1,1,1,Matt Henry to Rahmanullah Gurbaz,,"Matt Henry to Rahmanullah Gurbaz. No movement back of a length, outside off on the front foot worked to square leg for 1 run",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,67497,Rahmanullah Gurbaz,right,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-08 05:31:34,8.095,-0.207,4.0,0.033,0.877,2.0,1.0,106250219.0,352.0,45.0,80.0,3.0,1.0,1.0,True,True,True,False,,no movement,,back of a length,outside off,front foot,work,,,square leg,,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,12,Afghanistan,AFG,5,1,MJ Henry,6,1,0,6/0,5.00,0.02,0.2,0,0,Matt Henry to Ibrahim Zadran,,"Matt Henry to Ibrahim Zadran. No movement short, outside off on the back foot pulled to cover for no run, fielded by Glenn Phillips",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,66565,Ibrahim Zadran,right,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-08 05:32:16,10.549,-0.273,4.0,0.216,1.018,3.0,2.0,,,,,,,,True,True,False,False,,no movement,,short,outside off,back foot,pull,,,cover,Glenn Phillips,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,12,Afghanistan,AFG,5,1,MJ Henry,6,1,0,6/0,5.00,0.03,0.3,1,1ˡᵇ,Matt Henry to Ibrahim Zadran,,"Matt Henry to Ibrahim Zadran. No movement length ball, middle stump on the back foot worked for 1 leg byes",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,66565,Ibrahim Zadran,right,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-08 05:32:53,7.369,-0.103,4.0,0.280,0.966,3.0,2.0,,,,,,,,True,True,False,False,,no movement,,length ball,middle stump,back foot,work,,,,,,,,template_structured,1,leg bye,False,False,False,False,True,False,False,False,False,
1,12,Afghanistan,AFG,5,1,MJ Henry,6,1,0,6/0,5.00,0.04,0.4,2,2,Matt Henry to Rahmanullah Gurbaz,,"Matt Henry to Rahmanullah Gurbaz. Away swinger back of a length, outside off down the track driving to deep cover for 2 runs, fielded by Glenn Phillips",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,67497,Rahmanullah Gurbaz,right,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-08 05:33:28,8.094,-0.401,4.0,-0.453,0.828,1.0,1.0,106250228.0,188.0,80.0,134.0,6.0,2.0,2.0,True,True,True,False,,,,back of a length,outside off,down the track,drive,,,deep cover,Glenn Phillips,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,12,Afghanistan,AFG,5,1,MJ Henry,6,1,0,6/0,5.00,0.05,0.5,2,2,Matt Henry to Rahmanullah Gurbaz,,"Matt Henry to Rahmanullah Gurbaz. Away swinger length ball, outside off down the track driving to long off for 2 runs, fielded by Mitch Santner",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,67497,Rahmanullah Gurbaz,right,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-08 05:34:05,7.672,-0.366,4.0,-0.342,0.838,1.0,1.0,106250229.0,246.0,90.0,157.0,5.0,2.0,2.0,True,True,True,False,,,,length ball,outside off,down the track,drive,,,long off,Mitch Santner,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,12,Afghanistan,AFG,5,1,MJ Henry,6,1,0,6/0,5.00,0.06,0.6,0,0,Matt Henry to Rahmanullah Gurbaz,,"Matt Henry to Rahmanullah Gurbaz. No movement half tracker, outside off on the ducked leaving left alone through to wicketkeeper for no run, fielded by Tim Seifert",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,67497,Rahmanullah Gurbaz,right,18052,MJ Henry,right,5,New Zealand,right pace,1,pace,2026-02-08 05:34:44,12.039,-0.342,4.0,0.253,1.924,3.0,4.0,,,,,,,,True,True,False,False,,no movement,,half tracker,outside off,ducked,leave,,,wicketkeeper,Tim Seifert,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,12,Afghanistan,AFG,5,2,JA Duffy,4,0,0,10/0,4.00,1.01,1.1,0,0,Jacob Duffy to Ibrahim Zadran,,"Jacob Duffy to Ibrahim Zadran. No movement length ball, off stump on the back foot playing a backward defensive shot to mid on for no run, fielded by Lockie Ferguson",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,66565,Ibrahim Zadran,right,15670,JA Duffy,right,5,New Zealand,right pace,1,pace,2026-02-08 05:35:53,7.469,-0.135,4.0,-0.017,0.918,2.0,2.0,,,,,,,,True,True,False,False,,no movement,,length ball,off stump,back foot,backward defensive,,,mid on,Lockie Ferguson,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,12,Afghanistan,AFG,5,2,JA Duffy,4,0,0,10/0,4.00,1.02,1.2,2,2,Jacob Duffy to Ibrahim Zadran,,"Jacob Duffy to Ibrahim Zadran. No movement back of a length, off stump on the back foot flick to deep backward square leg for 2 runs, fielded by Mark Chapman",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,66565,Ibrahim Zadran,right,15670,JA Duffy,right,5,New Zealand,right pace,1,pace,2026-02-08 05:36:25,9.508,-0.129,4.0,0.221,1.147,3.0,2.0,106250236.0,11.0,80.0,134.0,2.0,2.0,2.0,True,True,True,False,,no movement,,back of a length,off stump,back foot,flick,,,deep backward square leg,Mark Chapman,,,,template_structured,2,,False,False,False,False,False,False,False,False,False,
1,12,Afghanistan,AFG,5,2,JA Duffy,4,0,0,10/0,4.00,1.03,1.3,1,1,Jacob Duffy to Ibrahim Zadran,,"Jacob Duffy to Ibrahim Zadran. Away swinger back of a length, outside off on the back foot late cutted to gully for 1 run, fielded by Finn Allen",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,66565,Ibrahim Zadran,right,15670,JA Duffy,right,5,New Zealand,right pace,1,pace,2026-02-08 05:37:03,9.959,-0.391,4.0,-0.452,1.327,1.0,2.0,106250240.0,130.0,25.0,45.0,8.0,1.0,1.0,True,True,True,False,,away swinger,,back of a length,outside off,back foot,late cut,,,gully,Finn Allen,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,12,Afghanistan,AFG,5,2,JA Duffy,4,0,0,10/0,4.00,1.04,1.4,0,0,Jacob Duffy to Rahmanullah Gurbaz,,"Jacob Duffy to Rahmanullah Gurbaz. No movement back of a length, outside off on the back foot dropped to extra cover for no run, fielded by Jimmy Neesham",e651586f-7074-418e-8fa1-deb1d25167db,233410,"New Zealand v Afghanistan at Chennai, ICC Men's T20 World Cup, 8 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"MA Chidambaram Stadium, Chepauk, Chennai",Twenty20 international,2026-02-08,67497,Rahmanullah Gurbaz,right,15670,JA Duffy,right,5,New Zealand,right pace,1,pace,2026-02-08 05:37:54,9.911,-0.310,4.0,-0.197,1.264,2.0,2.0,,,,,,,,True,True,False,False,,no movement,,back of a length,outside off,back foot,drop,,,extra cover,Jimmy Neesham,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
