innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,4,West Indies,WI,5,1,KA Maharaj,17,0,0,17/0,17.00,0.01,0.1,0,0,Keshav Maharaj to Brandon King,,"Keshav Maharaj to Brandon King. Left-arm orthodox stock back of a length, outside off on the back foot driving to extra cover for no run, fielded by Aiden Markram",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,14544,BA King,right,16664,KA Maharaj,left,3,South Africa,left orthodox,5,spin,2026-02-26 09:30:45,5.982,-0.345,3.0,-0.262,0.761,1.0,1.0,,,,,,,,True,True,False,False,,left-arm orthodox,stock,back of a length,outside off,back foot,drive,,,extra cover,Aiden Markram,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,4,West Indies,WI,5,1,KA Maharaj,17,0,0,17/0,17.00,0.02,0.2,1,1,Keshav Maharaj to Brandon King,,"Keshav Maharaj to Brandon King. Left-arm orthodox stock back of a length, off stump on the back foot worked to deep mid wicket for 1 run, fielded by Ryan Rickelton",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,14544,BA King,right,16664,KA Maharaj,left,3,South Africa,left orthodox,5,spin,2026-02-26 09:31:02,6.483,-0.107,3.0,0.142,0.912,2.0,2.0,106309361.0,322.0,75.0,127.0,3.0,1.0,1.0,True,True,True,False,,left-arm orthodox,stock,back of a length,off stump,back foot,work,,,deep mid wicket,Ryan Rickelton,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,4,West Indies,WI,5,1,KA Maharaj,17,0,0,17/0,17.00,0.03,0.3,6,6,Keshav Maharaj to Shai Hope,,"SIX! Keshav Maharaj to Shai Hope. Left-arm orthodox stock back of a length, outside off on the back foot slogged well timed for 6 runs",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,20465,SD Hope,right,16664,KA Maharaj,left,3,South Africa,left orthodox,5,spin,2026-02-26 09:31:37,6.769,-0.166,3.0,0.076,0.897,2.0,1.0,106309363.0,308.0,100.0,178.0,4.0,6.0,6.0,True,True,True,False,,left-arm orthodox,stock,back of a length,outside off,back foot,slog,,well timed,,,,,,template_structured,6,,False,False,False,False,False,False,False,True,False,
1,4,West Indies,WI,5,1,KA Maharaj,17,0,0,17/0,17.00,0.04,0.4,4,4,Keshav Maharaj to Shai Hope,,"FOUR! Keshav Maharaj to Shai Hope. Left-arm orthodox stock back of a length, outside off on the front foot driving well timed for 4 runs",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,20465,SD Hope,right,16664,KA Maharaj,left,3,South Africa,left orthodox,5,spin,2026-02-26 09:32:07,5.343,-0.159,3.0,-0.082,0.823,2.0,1.0,106309366.0,188.0,100.0,171.0,6.0,4.0,4.0,True,True,True,False,,left-arm orthodox,stock,back of a length,outside off,front foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,4,West Indies,WI,5,1,KA Maharaj,17,0,0,17/0,17.00,0.05,0.5,0,0,Keshav Maharaj to Shai Hope,,"Keshav Maharaj to Shai Hope. Left-arm orthodox stock back of a length, outside off on the back foot driving to cover for no run, misfielded by David Miller",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,20465,SD Hope,right,16664,KA Maharaj,left,3,South Africa,left orthodox,5,spin,2026-02-26 09:32:35,6.270,-0.295,3.0,-0.152,0.717,2.0,1.0,,,,,,,,True,True,False,False,,left-arm orthodox,stock,back of a length,outside off,back foot,drive,,,cover,,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,4,West Indies,WI,5,1,KA Maharaj,17,0,0,17/0,17.00,0.06,0.6,6,6,Keshav Maharaj to Shai Hope,,"SIX! Keshav Maharaj to Shai Hope. Left-arm orthodox stock short, outside off on the back foot pulled to deep mid wicket for 6 runs, dropped by Dewald Brevis",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,20465,SD Hope,right,16664,KA Maharaj,left,3,South Africa,left orthodox,5,spin,2026-02-26 09:32:56,7.247,-0.227,4.0,-0.042,1.019,2.0,2.0,106309371.0,316.0,100.0,177.0,3.0,6.0,6.0,True,True,True,False,,left-arm orthodox,stock,short,outside off,back foot,pull,,,deep mid wicket,,,,,template_structured,6,,False,False,False,False,False,False,False,True,False,
1,4,West Indies,WI,5,2,M Jansen,12,0,0,29/0,12.00,1.01,1.1,0,0,Marco Jansen to Brandon King,,"Marco Jansen to Brandon King. In swinger length ball, leg stump on the back foot worked to mid on for no run, fielded by Kagiso Rabada",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,14544,BA King,right,68021,M Jansen,left,3,South Africa,left pace,1,pace,2026-02-26 09:34:16,7.462,0.125,4.0,0.000,0.988,2.0,2.0,,,,,,,,True,True,False,False,,in swinger,,length ball,leg stump,back foot,work,,,mid on,Kagiso Rabada,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,4,West Indies,WI,5,2,M Jansen,12,0,0,29/0,12.00,1.02,1.2,4,4,Marco Jansen to Brandon King,,"FOUR! Marco Jansen to Brandon King. In swinger length ball, leg stump on the front foot worked well timed for 4 runs",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,14544,BA King,right,68021,M Jansen,left,3,South Africa,left pace,1,pace,2026-02-26 09:34:50,6.092,0.054,3.0,0.107,0.690,2.0,1.0,106309377.0,312.0,100.0,177.0,4.0,4.0,4.0,True,True,True,False,,in swinger,,length ball,leg stump,front foot,work,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,4,West Indies,WI,5,2,M Jansen,12,0,0,29/0,12.00,1.03,1.3,0,0,Marco Jansen to Brandon King,,"Marco Jansen to Brandon King. Away swinger length ball, leg stump on the front foot driving to wicketkeeper for no run, fielded by Quinton de Kock",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,14544,BA King,right,68021,M Jansen,left,3,South Africa,left pace,1,pace,2026-02-26 09:35:27,5.353,0.080,3.0,-0.186,0.607,2.0,1.0,,,,,,,,True,True,False,False,,away swinger,,length ball,leg stump,front foot,drive,,,wicketkeeper,Quinton de Kock,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,4,West Indies,WI,5,2,M Jansen,12,0,0,29/0,12.00,1.04,1.4,4,4,Marco Jansen to Brandon King,,"FOUR! Marco Jansen to Brandon King. No movement length ball, down leg on the back foot glancing well timed for 4 runs",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,14544,BA King,right,68021,M Jansen,left,3,South Africa,left pace,1,pace,2026-02-26 09:36:02,7.687,0.207,4.0,0.103,0.936,2.0,2.0,106309384.0,53.0,100.0,162.0,1.0,4.0,4.0,True,True,True,False,,no movement,,length ball,down leg,back foot,,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,4,West Indies,WI,5,2,M Jansen,12,0,0,29/0,12.00,1.05,1.5,4,4,Marco Jansen to Brandon King,,"FOUR! Marco Jansen to Brandon King. No movement short, leg stump on the back foot pulled for 4 runs",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,14544,BA King,right,68021,M Jansen,left,3,South Africa,left pace,1,pace,2026-02-26 09:36:43,11.180,0.167,4.0,-0.217,1.780,1.0,3.0,106309389.0,90.0,100.0,160.0,1.0,4.0,4.0,True,True,True,False,,no movement,,short,leg stump,back foot,pull,,,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,4,West Indies,WI,5,2,M Jansen,12,0,0,29/0,12.00,1.06,1.6,0,0,Marco Jansen to Brandon King,,"Marco Jansen to Brandon King. No movement length ball, middle stump on the front foot playing a forward defensive shot to bowler for no run, fielded by Marco Jansen",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,14544,BA King,right,68021,M Jansen,left,3,South Africa,left pace,1,pace,2026-02-26 09:37:21,7.990,0.043,4.0,-0.107,1.032,2.0,2.0,,,,,,,,True,True,False,False,,no movement,,length ball,middle stump,front foot,forward defensive,,,bowler,Marco Jansen,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,4,West Indies,WI,5,3,KS Rabada,3,0,2,32/2,3.00,2.01,2.1,0,0,Kagiso Rabada to Shai Hope,,"Kagiso Rabada to Shai Hope. Away swinger length ball, outside off on the front foot driving to wicketkeeper for no run, fielded by Quinton de Kock",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,20465,SD Hope,right,19720,KS Rabada,right,3,South Africa,right pace,1,pace,2026-02-26 09:38:27,7.640,-0.593,4.0,-0.579,0.890,1.0,1.0,,,,,,,,True,True,False,False,,away swinger,,length ball,outside off,front foot,drive,,,wicketkeeper,Quinton de Kock,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,4,West Indies,WI,5,3,KS Rabada,3,0,2,32/2,3.00,2.02,2.2,0,W,Kagiso Rabada to Shai Hope,,"OUT! Kagiso Rabada to Shai Hope. Away swinger back of a length, outside off on the back foot driving to wicketkeeper for no run, caught by Quinton de Kock. Shai Hope Caught for 16.",e666084b-d64d-445d-9157-dbf708a6a38c,233453,"West Indies v South Africa at Ahmedabad, ICC Men's T20 World Cup, 26 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Narendra Modi Stadium, Ahmedabad",Twenty20 international,2026-02-26,20465,SD Hope,right,19720,KS Rabada,right,3,South Africa,right pace,1,pace,2026-02-26 09:39:17,8.329,-0.520,4.0,-0.584,1.079,1.0,2.0,,,,,,,,True,True,False,True,,away swinger,,back of a length,outside off,back foot,drive,,,wicketkeeper,Quinton de Kock,caught,caught by Quinton de Kock. Shai Hope,16,template_structured,0,,True,False,False,False,False,False,False,False,False,commentary
