innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,7,Pakistan,PAK,5,1,JJ Smit,3,0,0,3/0,3.00,0.01,0.1,1,1,JJ Smit to Sahibzada Farhan,,"JJ Smit to Sahibzada Farhan. No movement length ball, middle stump on the back foot pushed to deep cover for 1 run, fielded by Alex Volschenk",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,28686,Sahibzada Farhan,right,17521,JJ Smit,left,276,Namibia,left pace,2,pace,2026-02-18 09:30:24,7.856,0.015,4.0,-0.498,0.935,1.0,2.0,106284429.0,187.0,75.0,125.0,6.0,1.0,1.0,True,True,True,False,,no movement,,length ball,middle stump,back foot,push,,,deep cover,Alex Volschenk,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,7,Pakistan,PAK,5,1,JJ Smit,3,0,0,3/0,3.00,0.02,0.2,0,0,JJ Smit to Saim Ayub,,"JJ Smit to Saim Ayub. No movement length ball, outside off on the back foot playing a backward defensive shot to short extra cover for no run, fielded by Jan Frylinck",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,68823,Saim Ayub,left,17521,JJ Smit,left,276,Namibia,left pace,2,pace,2026-02-18 09:31:14,7.882,0.395,4.0,0.197,0.979,2.0,2.0,,,,,,,,True,True,False,False,,no movement,,length ball,outside off,back foot,backward defensive,,,short extra cover,Jan Frylinck,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,1,JJ Smit,3,0,0,3/0,3.00,0.03,0.3,0,0,JJ Smit to Saim Ayub,,"JJ Smit to Saim Ayub. No movement length ball, outside off on the back foot worked to short extra cover for no run, fielded by Jan Frylinck",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,68823,Saim Ayub,left,17521,JJ Smit,left,276,Namibia,left pace,2,pace,2026-02-18 09:31:47,7.973,0.201,4.0,0.088,0.968,2.0,2.0,,,,,,,,True,True,False,False,,no movement,,length ball,outside off,back foot,work,,,short extra cover,Jan Frylinck,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,1,JJ Smit,3,0,0,3/0,3.00,0.04,0.4,0,0,JJ Smit to Saim Ayub,,"JJ Smit to Saim Ayub. No movement back of a length, outside off down the track pushed to short extra cover for no run, fielded by Jan Frylinck",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,68823,Saim Ayub,left,17521,JJ Smit,left,276,Namibia,left pace,2,pace,2026-02-18 09:32:13,8.807,0.404,4.0,0.265,1.152,3.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,down the track,push,,,short extra cover,Jan Frylinck,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,1,JJ Smit,3,0,0,3/0,3.00,0.05,0.5,2,2,JJ Smit to Saim Ayub,,"JJ Smit to Saim Ayub. No movement length ball, outside off on the front foot flick to deep mid wicket for 2 runs, fielded by Gerhard Erasmus",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,68823,Saim Ayub,left,17521,JJ Smit,left,276,Namibia,left pace,2,pace,2026-02-18 09:32:50,6.874,0.190,3.0,0.060,0.706,2.0,1.0,106284445.0,229.0,85.0,142.0,5.0,2.0,2.0,True,True,True,False,,no movement,,length ball,outside off,front foot,flick,,,deep mid wicket,Gerhard Erasmus,,,,template_structured,2,,False,False,False,False,False,False,False,False,False,
1,7,Pakistan,PAK,5,1,JJ Smit,3,0,0,3/0,3.00,0.06,0.6,0,0,JJ Smit to Saim Ayub,,"JJ Smit to Saim Ayub. Away swinger back of a length, outside off on the back foot driving to wicketkeeper for no run, fielded by Zane Green",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,68823,Saim Ayub,left,17521,JJ Smit,left,276,Namibia,left pace,2,pace,2026-02-18 09:33:30,8.430,0.411,4.0,0.676,1.022,4.0,2.0,,,,,,,,True,True,False,False,,away swinger,,back of a length,outside off,back foot,drive,,,wicketkeeper,Zane Green,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,2,MG Erasmus,6,0,0,9/0,6.00,1.01,1.1,4,4,Gerhard Erasmus to Sahibzada Farhan,,"FOUR! Gerhard Erasmus to Sahibzada Farhan. Off break length ball, outside off on the front foot driving well timed for 4 runs",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,28686,Sahibzada Farhan,right,17517,MG Erasmus,right,276,Namibia,off break,3,spin,2026-02-18 09:34:49,3.395,-0.610,2.0,-0.935,0.569,0.0,1.0,106284458.0,233.0,100.0,178.0,5.0,4.0,4.0,True,True,True,False,,off break,,length ball,outside off,front foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,7,Pakistan,PAK,5,2,MG Erasmus,6,0,0,9/0,6.00,1.02,1.2,0,0,Gerhard Erasmus to Sahibzada Farhan,,"Gerhard Erasmus to Sahibzada Farhan. Off break back of a length, off stump on the back foot pushed to cover for no run, fielded by Ruben Trumpelmann",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,28686,Sahibzada Farhan,right,17517,MG Erasmus,right,276,Namibia,off break,3,spin,2026-02-18 09:35:16,5.037,-0.153,3.0,-0.581,0.664,1.0,1.0,,,,,,,,True,True,False,False,,off break,,back of a length,off stump,back foot,push,,,cover,Ruben Trumpelmann,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,7,Pakistan,PAK,5,2,MG Erasmus,6,0,0,9/0,6.00,1.03,1.3,1,1,Gerhard Erasmus to Sahibzada Farhan,,"Gerhard Erasmus to Sahibzada Farhan. Off break back of a length, leg stump on the back foot worked to deep mid wicket for 1 run, fielded by Bernard Scholtz",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,28686,Sahibzada Farhan,right,17517,MG Erasmus,right,276,Namibia,off break,3,spin,2026-02-18 09:35:32,6.575,0.074,3.0,-0.155,0.882,2.0,1.0,106284464.0,327.0,80.0,136.0,3.0,1.0,1.0,True,True,True,False,,off break,,back of a length,leg stump,back foot,work,,,deep mid wicket,Bernard Scholtz,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,7,Pakistan,PAK,5,2,MG Erasmus,6,0,0,9/0,6.00,1.04,1.4,1,1,Gerhard Erasmus to Saim Ayub,,"Gerhard Erasmus to Saim Ayub. Off break back of a length, outside off on the back foot cut to deep backward point for 1 run, fielded by Alex Volschenk",fc8bf9e5-dc36-4f4f-8c1b-0fe0cd6ba1a9,233441,"Pakistan v Namibia at Colombo (SSC), ICC Men's T20 World Cup, 18 Feb 2026",8899,ICC Men's T20 World Cup,2025/26,"Sinhalese Sports Club Ground, Colombo",Twenty20 international,2026-02-18,68823,Saim Ayub,left,17517,MG Erasmus,right,276,Namibia,off break,3,spin,2026-02-18 09:36:05,6.451,0.330,3.0,0.362,1.165,3.0,2.0,106284469.0,24.0,80.0,135.0,2.0,1.0,1.0,True,True,True,False,,off break,,back of a length,outside off,back foot,cut,,,deep backward point,Alex Volschenk,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
