innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2295,India Women,IND,5,1,LK Bell,7,0,2,7/2,7.00,0.01,0.1,0,W,"Bell to Mandhana, out!",Smriti Mandhana and Shafali Verma head out to the middle. Lauren Bell takes the ball for their 1st spell,"The length ball outside off sees the batter attempt a drive but mistime it, resulting in a catch at extra cover. The opener Smriti Mandhana is caught and out for a duck. An early breakthrough as Smriti Mandhana departs for 0 off 1.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,30717,SS Mandhana,left,68265,LK Bell,right,2510,England Women,right pace,1,pace,2026-05-28 17:30:14,5.907,0.347,3.0,0.688,0.666,4.0,1.0,,,,,,,,True,True,False,True,,,,length ball,outside off,,drive,,,extra cover,,caught,,,keyword,0,,True,False,False,False,False,False,False,False,False,commentary
1,2295,India Women,IND,5,1,LK Bell,7,0,2,7/2,7.00,0.02,0.2,4,4,"Bell to Bhatia, 4 runs",Yastika Bhatia heads to the crease. ,"Lauren Bell bowls a length ball just outside off stump, and Yastika Bhatia drives it crisply. She finds the edge but has enough control to clip it elegantly through third man for four. Yastika Bhatia is off the mark.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,68265,LK Bell,right,2510,England Women,right pace,1,pace,2026-05-28 17:31:50,4.538,0.577,2.0,0.812,0.604,4.0,1.0,106722206.0,41.0,100.0,177.0,2.0,4.0,4.0,True,True,True,False,,,,length ball,outside off,,drive,,,third man,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2295,India Women,IND,5,1,LK Bell,7,0,2,7/2,7.00,0.03,0.3,1,1,"Bell to Bhatia, 1 run",,"Lauren Bell delivers a length ball just outside off, and Yastika Bhatia drives it carefully, picking up a single through the inside edge down to deep square leg.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,68265,LK Bell,right,2510,England Women,right pace,1,pace,2026-05-28 17:32:29,4.266,0.205,2.0,0.317,0.587,3.0,1.0,106722208.0,208.0,80.0,136.0,6.0,1.0,1.0,True,True,True,False,,,,length ball,outside off,,drive,,,deep square leg,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,1,LK Bell,7,0,2,7/2,7.00,0.04,0.4,0,0,"Bell to Verma, no run",,"A back of a length delivery outside off, Shafali Verma defends it firmly off the body, keeping the scoreboard quiet.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,75479,S Verma,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2026-05-28 17:33:17,8.202,-0.167,4.0,0.321,1.045,3.0,2.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,LK Bell,7,0,2,7/2,7.00,0.05,0.5,2,2,"Bell to Verma, 2 runs",,"Lauren Bell bowls a length delivery outside off, and Shafali Verma attempts a drive but mis-times it, sending the ball fizzing to deep cover for two runs. Shafali Verma gets off the mark with a quick two.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,75479,S Verma,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2026-05-28 17:33:54,6.163,-0.368,3.0,-0.261,0.790,1.0,1.0,106722211.0,199.0,75.0,124.0,6.0,2.0,2.0,True,True,True,False,,,,,outside off,,drive,,,deep cover,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,1,LK Bell,7,0,2,7/2,7.00,0.06,0.6,0,W,"Bell to Verma, out!",,"A length ball seaming in on leg stump, Shafali attempts a drive but mistimes it, resulting in a catch at mid on. The batter is caught out, ending her brief stay at the crease. Shafali Verma is dismissed for 2 runs off 3 balls. This wicket triggers a big swing in momentum, boosting England Women's winning chances from 65% to 80%.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,75479,S Verma,right,68265,LK Bell,right,2510,England Women,right pace,1,pace,2026-05-28 17:34:34,6.185,0.121,3.0,0.452,0.826,3.0,1.0,,,,,,,,True,True,False,True,,,,length ball,leg stump,,drive,,,mid on,,caught,,,keyword,0,,True,False,False,False,False,False,False,False,False,commentary
1,2295,India Women,IND,5,2,IECM Wong,27,11,0,34/2,16.00,1.01,1.0,5,5ʷᵈ,"Wong to Bhatia, 5 runs (wide)",Jemimah Rodrigues enters the field at the non-striker's end. Issy Wong takes the ball for their 1st spell,"A length ball swinging in on leg stump, no shot from the batter as the ball drifts wide and is misfielded at fine leg, conceding five wides. The momentum shifts slightly with India Women’s chances improving from 20% to 25%.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,71690,IECM Wong,right,2510,England Women,right pace,1,pace,2026-05-28 17:36:32,6.530,-0.007,3.0,,,,,,,,,,,,True,False,False,False,,,,length ball,leg stump,,,,,fine leg,,,,,keyword,5,wide,False,True,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,2,IECM Wong,27,11,0,34/2,16.00,1.02,1.0,1,1ʷᵈ,"Wong to Bhatia, 1 run (wide)",,"Wide delivery drifting well outside off stump, left alone by the batter. The wicketkeeper collects it cleanly but the umpire signals an extra run.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,71690,IECM Wong,right,2510,England Women,right pace,1,pace,2026-05-28 17:37:05,4.283,1.001,2.0,,,,,,,,,,,,True,False,False,False,,,,,outside off,,,,,,,,,,keyword,1,wide,False,True,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,2,IECM Wong,27,11,0,34/2,16.00,1.03,1.1,4,4,"Wong to Bhatia, 4 runs",,"A back of a length delivery outside off sees the batter play a delicate defensive stroke, guiding the outside edge neatly through third man for four.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,71690,IECM Wong,right,2510,England Women,right pace,1,pace,2026-05-28 17:37:36,7.301,0.454,4.0,0.335,0.989,3.0,2.0,106722220.0,71.0,100.0,161.0,1.0,4.0,4.0,True,True,True,False,,,,back of a length,outside off,,,,,third man,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2295,India Women,IND,5,2,IECM Wong,27,11,0,34/2,16.00,1.04,1.2,0,0,"Wong to Bhatia, no run",,"Issy Wong bowls a full delivery outside off stump, and Yastika Bhatia drives it crisply along the ground. The shot is well timed but carefully fielded at mid off, resulting in no run.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,71690,IECM Wong,right,2510,England Women,right pace,1,pace,2026-05-28 17:38:17,4.575,0.411,2.0,0.220,0.581,3.0,1.0,,,,,,,,True,True,False,False,,,,full,outside off,,drive,along the ground,well timed,mid off,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,2,IECM Wong,27,11,0,34/2,16.00,1.05,1.2,5,5ʷᵈ,"Wong to Bhatia, 5 runs (wide)",,"A swinging-in length delivery on leg stump just evades the bat, resulting in a wide. The field miscues allow the extras to pile up. That takes the total to 15 in this over, with momentum shifting as India Women’s win probability climbs from 30% to 36%.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,71690,IECM Wong,right,2510,England Women,right pace,1,pace,2026-05-28 17:38:50,6.960,0.010,3.0,,,,,,,,,,,,True,False,False,False,,,,,leg stump,,,,,,,,,,keyword,5,wide,False,True,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,2,IECM Wong,27,11,0,34/2,16.00,1.06,1.3,4,4,"Wong to Bhatia, 4 runs",,"Issy Wong bowls a length delivery just outside off, and Yastika Bhatia drives it beautifully with great timing. The ball races through third man for a boundary. Yastika Bhatia adds another four, her second this over, taking the total to 19 in the over.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,71690,IECM Wong,right,2510,England Women,right pace,1,pace,2026-05-28 17:39:25,7.763,0.507,4.0,0.511,0.839,3.0,1.0,106722226.0,35.0,100.0,164.0,2.0,4.0,4.0,True,True,True,False,,,,full,outside off,,drive,,,third man,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2295,India Women,IND,5,2,IECM Wong,27,11,0,34/2,16.00,1.07,1.4,4,4,"Wong to Bhatia, 4 runs",,"A full delivery outside off, met with a beautifully timed drive. Yastika Bhatia sends it racing through long off for four runs with assured precision. Yastika Bhatia continues to find the boundary, striking her third four of the over, taking the total to 23 this over.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,71690,IECM Wong,right,2510,England Women,right pace,1,pace,2026-05-28 17:40:04,3.640,0.252,2.0,0.260,0.472,3.0,1.0,106722228.0,280.0,100.0,180.0,4.0,4.0,4.0,True,True,True,False,,,,full,outside off,,drive,,,long off,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2295,India Women,IND,5,2,IECM Wong,27,11,0,34/2,16.00,1.08,1.5,0,0,"Wong to Bhatia, no run",,"Issy Wong delivers a back of a length ball just outside off stump. Yastika Bhatia works it, though slightly mis-timed, and it stays grounded, comfortably fielded at short fine leg. No run comes off this delivery.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,71690,IECM Wong,right,2510,England Women,right pace,1,pace,2026-05-28 17:40:44,8.041,0.282,4.0,-0.303,0.877,1.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,work,,,short fine leg,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,2,IECM Wong,27,11,0,34/2,16.00,1.09,1.6,4,4,"Wong to Bhatia, 4 runs",,"A full-toss wide outside off stump, and Yastika Bhatia meets it cleanly with a well-timed drive. She sends the ball racing through backward point for four. Yastika adds another boundary, taking 27 runs in this over as India's win probability jumps to 51%.",1538c4b1-2fae-4787-8674-8cdb5248615f,229337,"England Women v India Women at Chelmsford, 1st T20I, 28 May 2026",8719,India Women in England,2026,"County Ground, Chelmsford",Women's T20I,2026-05-28,74088,YH Bhatia,left,71690,IECM Wong,right,2510,England Women,right pace,1,pace,2026-05-28 17:41:23,0.983,0.619,1.0,0.611,0.163,4.0,0.0,106722231.0,1.0,100.0,170.0,2.0,4.0,4.0,True,True,True,False,,,,full,wide outside off,,drive,,,backward point,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
