innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1588,Australia Women,AUS,5,1,IJR Zwilling,11,0,0,11/0,11.00,0.01,0.1,2,2,"Zwilling to Mooney, 2 runs",Beth Mooney and Georgia Voll head out to the middle. Iris Zwilling takes the ball for their 1st spell,"A back of a length delivery on middle stump sees Beth Mooney lean into a controlled pull, carving it away for a quick two runs. Beth Mooney gets off the mark with a crisp start.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,33525,BL Mooney,left,71584,IJR Zwilling,right,1465,Netherlands Women,right pace,2,pace,2026-06-20 09:31:42,9.870,-0.111,4,0.074,0.805,2.0,1.0,106858396.0,177.0,80.0,134.0,7.0,2.0,2.0,True,True,True,False,,,,back of a length,middle stump,,pull,,controlled,,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,5,1,IJR Zwilling,11,0,0,11/0,11.00,0.02,0.2,4,4,"Zwilling to Mooney, 4 runs",,"A short delivery drifting down leg, expertly pulled away by the batter. That well-timed pull races through deep backward square leg for four.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,33525,BL Mooney,left,71584,IJR Zwilling,right,1465,Netherlands Women,right pace,2,pace,2026-06-20 09:32:17,10.441,-0.248,4,-0.241,1.048,1.0,2.0,106858401.0,156.0,100.0,166.0,7.0,4.0,4.0,True,True,True,False,,,,short,down leg,,pull,,,deep backward square leg,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,5,1,IJR Zwilling,11,0,0,11/0,11.00,0.03,0.3,0,0,"Zwilling to Mooney, no run",,"A length ball on leg stump is worked carefully by the batter, staying grounded to keep the scoreboard quiet with no run.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,33525,BL Mooney,left,71584,IJR Zwilling,right,1465,Netherlands Women,right pace,2,pace,2026-06-20 09:32:53,6.805,-0.068,3,-0.017,0.611,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,leg stump,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,5,1,IJR Zwilling,11,0,0,11/0,11.00,0.04,0.4,1,1,"Zwilling to Mooney, 1 run",,"A full delivery on leg stump, Beth Mooney works it carefully through mid-wicket for a single, keeping the scoreboard ticking.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,33525,BL Mooney,left,71584,IJR Zwilling,right,1465,Netherlands Women,right pace,2,pace,2026-06-20 09:33:36,3.627,-0.164,2,-0.194,0.621,2.0,1.0,106858412.0,203.0,80.0,138.0,6.0,1.0,1.0,True,True,True,False,,,,full,leg stump,,work,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,5,1,IJR Zwilling,11,0,0,11/0,11.00,0.05,0.5,0,0,"Zwilling to Voll, no run",,"A length delivery swinging away just outside off, met with a controlled push by the batter who keeps it grounded towards cover. No run comes off this tidy effort.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,73773,GA Voll,right,71584,IJR Zwilling,right,1465,Netherlands Women,right pace,2,pace,2026-06-20 09:34:19,7.149,-0.347,4,-0.533,0.823,1.0,1.0,,,,,,,,True,True,False,False,,,,,outside off,,push,,controlled,cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,5,1,IJR Zwilling,11,0,0,11/0,11.00,0.06,0.6,4,4,"Zwilling to Voll, 4 runs",,"A full, swinging delivery just outside off stump sees Georgia Voll step forward and play a beautifully timed drive. The ball races crisply through extra cover with perfect control, earning four runs. Georgia Voll has started brightly with her first boundary.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,73773,GA Voll,right,71584,IJR Zwilling,right,1465,Netherlands Women,right pace,2,pace,2026-06-20 09:34:44,3.374,-0.533,2,-0.614,0.477,0.0,1.0,106858418.0,228.0,100.0,177.0,5.0,4.0,4.0,True,True,True,False,,,,full,outside off,,drive,,,extra cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,5,2,HDJ Siegers,5,0,0,16/0,5.00,1.01,1.1,0,0,"Siegers to Mooney, no run",Heather Siegers takes the ball for their 1st spell,"Heather Siegers tosses up a leg spinner just outside off, landing on a back of a length. Beth Mooney steps forward to drive firmly along the ground but it's well fielded at short extra cover, resulting in no run.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,33525,BL Mooney,left,68189,HDJ Siegers,right,1465,Netherlands Women,leg break,4,spin,2026-06-20 09:35:58,6.933,0.571,3,0.355,0.439,3.0,0.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,drive,along the ground,,short extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,5,2,HDJ Siegers,5,0,0,16/0,5.00,1.02,1.2,4,4,"Siegers to Mooney, 4 runs",,"Outside off, a back of a length leg spinner is met with a well-timed drive. The ball races crisply through cover, piercing the field for a boundary.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,33525,BL Mooney,left,68189,HDJ Siegers,right,1465,Netherlands Women,leg break,4,spin,2026-06-20 09:36:13,4.816,0.289,2,0.041,0.538,2.0,1.0,106858427.0,343.0,100.0,173.0,3.0,4.0,4.0,True,True,True,False,,,,back of a length,outside off,,drive,,,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,5,2,HDJ Siegers,5,0,0,16/0,5.00,1.03,1.3,0,0,"Siegers to Mooney, no run",,"Heather Siegers tosses a back-of-a-length leg spinner outside off, but Beth Mooney confidently drives it straight to cover for no run.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,33525,BL Mooney,left,68189,HDJ Siegers,right,1465,Netherlands Women,leg break,4,spin,2026-06-20 09:36:58,8.105,0.642,4,0.342,0.553,3.0,1.0,,,,,,,,True,True,False,False,,,,,outside off,,drive,,,cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,5,2,HDJ Siegers,5,0,0,16/0,5.00,1.04,1.4,0,0,"Siegers to Mooney, no run",,"A length ball from the leg spinner outside off stump, pushed calmly along the ground by the batter, but no run comes from this delivery.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,33525,BL Mooney,left,68189,HDJ Siegers,right,1465,Netherlands Women,leg break,4,spin,2026-06-20 09:37:16,4.742,0.228,2,-0.124,0.621,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,push,along the ground,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,5,2,HDJ Siegers,5,0,0,16/0,5.00,1.05,1.5,1,1,"Siegers to Mooney, 1 run",,"Heather Siegers bowls a full-length leg spinner straight at middle stump. Beth Mooney works it carefully along the ground towards square leg, picking up a single.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,33525,BL Mooney,left,68189,HDJ Siegers,right,1465,Netherlands Women,leg break,4,spin,2026-06-20 09:37:31,3.194,-0.040,2,-0.301,0.496,1.0,1.0,106858434.0,188.0,30.0,52.0,6.0,1.0,1.0,True,True,True,False,,,,full,middle stump,,work,along the ground,,square leg,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,5,2,HDJ Siegers,5,0,0,16/0,5.00,1.06,1.6,0,0,"Siegers to Voll, no run",,"The leg spinner bowls a back of a length delivery outside off, and the batter attempts a cut but misses. No runs come off this ball.",1bbd7fa7-abd2-4432-b5f5-dfc370fd79e5,228870,"Australia Women v Netherlands Women at Southampton, ICC Women's T20 World Cup, 20 Jun 2026",8676,ICC Women's T20 World Cup,2026,"The Rose Bowl, Southampton",Women's T20I,2026-06-20,73773,GA Voll,right,68189,HDJ Siegers,right,1465,Netherlands Women,leg break,4,spin,2026-06-20 09:38:12,4.244,-0.515,2,-0.656,0.548,0.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,cut,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
