innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1452,Pakistan Women,PAK,1,1,KM Gaud,4,1,0,4/0,3.00,0.01,0.0,1,1ʷᵈ,"Gaud to Ali, 1 run (wide)",Muneeba Ali and Shawaal Zulfiqar head out to the middle. Kranti Gaud takes the ball for their 1st spell,"A length ball wide outside off, Muneeba Ali leaves it alone and Richa Ghosh gathers cleanly behind the stumps. Wide signalled, India concede one.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,wide outside off,,leave,,,,,,,,keyword,1,wide,False,True,False,False,False,False,False,False,False,
1,1452,Pakistan Women,PAK,1,1,KM Gaud,4,1,0,4/0,3.00,0.02,0.1,0,0,"Gaud to Ali, no run",,"Kranti Gaud gets this swinging away outside off, back of a length. Muneeba Ali attempts to push but misses, and Richa Ghosh gathers cleanly behind the stumps for a dot ball.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,back of a length,outside off,,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,1,1,KM Gaud,4,1,0,4/0,3.00,0.03,0.2,0,0,"Gaud to Ali, no run",,"A full ball on off stump with no movement, Muneeba Ali drives firmly but straight to Harmanpreet Kaur at mid-on. No run.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full,off stump,no movement,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,1,1,KM Gaud,4,1,0,4/0,3.00,0.04,0.3,0,0,"Gaud to Ali, no run",,"A length ball outside off with no movement, and Muneeba Ali defends it safely for another dot ball.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,no movement,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,1,1,KM Gaud,4,1,0,4/0,3.00,0.05,0.4,3,3,"Gaud to Ali, 3 runs",,"Kranti Gaud sends down a full ball outside off with no movement, and Muneeba Ali drives firmly through deep extra cover for three, despite Smriti Mandhana saving a run. Muneeba Ali gets off the mark.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,26759.0,Muneeba Ali,left,83579.0,KM Gaud,right,2295.0,India Women,right pace,1.0,pace,2026-09-05 14:32:58,,,,,,,,107260919.0,324.0,90.0,157.0,3.0,3.0,3.0,False,False,True,False,,,,full,outside off,no movement,drive,,,deep extra cover,,,,,keyword,3,,False,False,False,False,False,False,False,False,False,
1,1452,Pakistan Women,PAK,1,1,KM Gaud,4,1,0,4/0,3.00,0.06,0.5,0,0,"Gaud to Zulfiqar, no run",,"A length ball outside off with no movement, Shawaal Zulfiqar gets behind it and defends firmly for a dot ball.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,no movement,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,1,1,KM Gaud,4,1,0,4/0,3.00,0.07,0.6,0,0,"Gaud to Zulfiqar, no run",,"A length ball outside off with no movement, Shawaal Zulfiqar pushes it firmly towards mid-on, where Shafali Verma fields cleanly. No run.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,no movement,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,1,2,N Sharma,7,0,0,11/0,7.00,1.01,1.1,0,0,"Sharma to Ali, no run",Nandni Sharma takes the ball for their 1st spell,"Nandni Sharma angles a length ball swinging in from outside off, and Muneeba Ali defends, inside-edging it safely for a dot ball.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,1,2,N Sharma,7,0,0,11/0,7.00,1.02,1.2,2,2,"Sharma to Ali, 2 runs",,"Nandni Sharma angles a length ball in from outside off, and Muneeba Ali drives firmly through cover for two, with Pratika Rawal fielding in the deep.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,26759.0,Muneeba Ali,left,79853.0,N Sharma,right,2295.0,India Women,right pace,1.0,pace,2026-09-05 14:36:09,,,,,,,,107260936.0,333.0,90.0,154.0,3.0,2.0,2.0,False,False,True,False,,,,length ball,outside off,,drive,,,cover,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,1452,Pakistan Women,PAK,1,2,N Sharma,7,0,0,11/0,7.00,1.03,1.3,1,1,"Sharma to Ali, 1 run",,"A full ball swinging down leg is neatly flicked away by Muneeba Ali for a single, with Sree Charani fielding at deep backward square leg.",26093658-07c5-4e85-91f1-4a639adadd14,243709,"India Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, 5 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-05,26759.0,Muneeba Ali,left,79853.0,N Sharma,right,2295.0,India Women,right pace,1.0,pace,2026-09-05 14:36:55,,,,,,,,107260939.0,179.0,85.0,144.0,7.0,1.0,1.0,False,False,True,False,,,,full,down leg,,flick,,,deep backward square leg,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
