innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1939,Sri Lanka Women,SRI,1,1,HK Matthews,2,0,1,2/1,2.00,0.01,0.1,0,0,"Matthews to Gunaratne, no run",Vishmi Gunaratne and Chamari Athapaththu head out to the middle. Hayley Matthews takes the ball for their 1st spell,"An off break pitched at length just outside off stump, worked neatly along the ground by the batter for no run.",39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,75892,RMVD Gunaratne,right,17926,HK Matthews,right,1949,West Indies Women,off break,3,spin,2026-06-21 09:31:54,5.329,-0.322,3.0,-0.141,0.736,2.0,1.0,,,,,,,,True,True,False,False,,,,,outside off,,work,along the ground,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,1,1,HK Matthews,2,0,1,2/1,2.00,0.02,0.2,0,0,"Matthews to Gunaratne, no run",,"A back of a length off break on outside off, nicely cut off the pitch by the batter who keeps it down and nudges it through point for no run.",39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,75892,RMVD Gunaratne,right,17926,HK Matthews,right,1949,West Indies Women,off break,3,spin,2026-06-21 09:32:21,6.508,-0.500,3.0,-0.371,0.849,1.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,cut,,,point,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,1,1,HK Matthews,2,0,1,2/1,2.00,0.03,0.3,1,1,"Matthews to Gunaratne, 1 run",,"An off break pitched on off stump at a length, met with a controlled, well-timed drive through the off side for a single. Vishmi Gunaratne gets off the mark with that crisp shot.",39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,75892,RMVD Gunaratne,right,17926,HK Matthews,right,1949,West Indies Women,off break,3,spin,2026-06-21 09:32:48,4.841,-0.220,2.0,-0.007,0.737,2.0,1.0,106868780.0,276.0,90.0,161.0,4.0,1.0,1.0,True,True,True,False,,,,,off stump,,drive,,controlled,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,1,1,HK Matthews,2,0,1,2/1,2.00,0.04,0.4,1,1,"Matthews to Athapaththu, 1 run",,"An off break pitched back of a length just outside off, Chamari Athapaththu drops the ball delicately and nudges through for a single. Chamari Athapaththu gets off the mark, lifting Sri Lanka's winning probability from 23% to 28%.",39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,24436,AMCJK Athapaththu,left,17926,HK Matthews,right,1949,West Indies Women,off break,3,spin,2026-06-21 09:33:51,6.872,0.204,3.0,-0.106,0.873,2.0,1.0,106868785.0,233.0,20.0,32.0,5.0,1.0,1.0,True,True,True,False,,,,back of a length,outside off,,,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,1,1,HK Matthews,2,0,1,2/1,2.00,0.05,0.5,0,W,"Matthews to Gunaratne, out!",,"An off break drifting outside off, landing back of a length. Vishmi works at it but only manages a leading edge, resulting in a catch to the bowler. Vishmi Gunaratne goes for 1 from 4 balls. West Indies Women’s win probability jumps from 72% to 81%.",39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,75892,RMVD Gunaratne,right,17926,HK Matthews,right,1949,West Indies Women,off break,3,spin,2026-06-21 09:34:28,5.956,-0.243,3.0,0.036,0.850,2.0,1.0,,,,,,,,True,True,False,True,,,,back of a length,outside off,,work,,,bowler,,caught,,,keyword,0,,True,False,False,False,False,False,False,False,False,catch_map
1,1939,Sri Lanka Women,SRI,1,1,HK Matthews,2,0,1,2/1,2.00,0.06,0.6,0,0,"Matthews to Dulani, no run",Imesha Dulani heads to the crease. ,A full-length off break pitched outside off stump; the batter blocks it firmly down the ground for no run.,39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,75841,ID Witharana,right,17926,HK Matthews,right,1949,West Indies Women,off break,3,spin,2026-06-21 09:35:57,4.111,-0.453,2.0,-0.375,0.723,1.0,1.0,,,,,,,,True,True,False,False,,,,full,outside off,,block,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,1,2,CA Henry,6,0,0,8/1,6.00,1.01,1.1,0,0,"Henry to Athapaththu, no run",Chinelle Henry takes the ball for their 1st spell,"A full-length swinging-in delivery down the leg side, the batter works it but misses, only the pad coming into contact.",39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,24436,AMCJK Athapaththu,left,24439,CA Henry,right,1949,West Indies Women,right pace,1,pace,2026-06-21 09:37:17,3.872,-0.277,2.0,-0.339,0.563,1.0,1.0,,,,,,,,True,True,False,False,,,,full,down the leg side,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,1,2,CA Henry,6,0,0,8/1,6.00,1.02,1.2,1,1,"Henry to Athapaththu, 1 run",,The swinging in delivery on leg stump at back of a length is pushed gently with an inside edge for a single.,39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,24436,AMCJK Athapaththu,left,24439,CA Henry,right,1949,West Indies Women,right pace,1,pace,2026-06-21 09:37:58,8.975,-0.149,4.0,-0.126,1.019,2.0,2.0,106868807.0,122.0,20.0,29.0,8.0,1.0,1.0,True,True,True,False,,,,back of a length,leg stump,,push,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,1,2,CA Henry,6,0,0,8/1,6.00,1.03,1.3,0,0,"Henry to Dulani, no run",,"A length ball swinging away outside off stump, the batter attempts to push but misses, resulting in no run.",39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,75841,ID Witharana,right,24439,CA Henry,right,1949,West Indies Women,right pace,1,pace,2026-06-21 09:38:54,7.955,-0.479,4.0,-0.805,0.924,0.0,2.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,1,2,CA Henry,6,0,0,8/1,6.00,1.04,1.4,4,4,"Henry to Dulani, 4 runs",,A length ball on off stump swings away gently but the batter gets a confident outside-edge. Imesha Dulani nudges it finely through third man for a boundary. That's the first boundary of the innings and Imesha Dulani gets off the mark.,39bc7b85-dc19-45b4-b9f0-ea7976c0398b,228873,"West Indies Women v Sri Lanka Women at Bristol, ICC Women's T20 World Cup, 21 Jun 2026",8676,ICC Women's T20 World Cup,2026,"County Ground, Bristol",Women's T20I,2026-06-21,75841,ID Witharana,right,24439,CA Henry,right,1949,West Indies Women,right pace,1,pace,2026-06-21 09:39:22,4.912,-0.180,2.0,-0.258,0.675,1.0,1.0,106868819.0,103.0,100.0,160.0,8.0,4.0,4.0,True,True,True,False,,,,length ball,off stump,,,,,third man,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
