innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2295,India Women,IND,5,1,Iqra Sahar,5,0,0,5/0,5.00,0.01,0.1,0,0,"Sahar to Mandhana, no run",Smriti Mandhana and Shafali Verma head out to the middle. Iqra Sahar takes the ball for their 1st spell,"Iqra Sahar sends down a full toss swinging into off stump, and Smriti Mandhana pushes it straight back to the bowler for a dot ball.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full toss,off stump,,push,,,bowler,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,Iqra Sahar,5,0,0,5/0,5.00,0.02,0.2,2,2,"Sahar to Mandhana, 2 runs",,"Iqra Sahar swings this full delivery in from outside off, and Smriti Mandhana drives firmly along the ground through cover. Maryam Bibi cuts it off in the deep, but they come back for two. Smriti Mandhana gets off the mark.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,30717.0,SS Mandhana,left,75905.0,Iqra Sahar,right,2717.0,Hong Kong Women,right pace,2.0,pace,2026-09-03 14:30:41,,,,,,,,107247419.0,352.0,85.0,144.0,3.0,2.0,2.0,False,False,True,False,,,,full,outside off,,drive,along the ground,,cover,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,1,Iqra Sahar,5,0,0,5/0,5.00,0.03,0.3,0,0,"Sahar to Mandhana, no run",,"Iqra Sahar swings a yorker into leg stump, and Smriti Mandhana pushes it back slightly mis-timed to the bowler for a dot ball.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,yorker,leg stump,,push,,,bowler,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,Iqra Sahar,5,0,0,5/0,5.00,0.04,0.4,1,1,"Sahar to Mandhana, 1 run",,"Iqra Sahar swings it in on a length outside off, and Smriti Mandhana drives with a thick edge. The ball runs to backward point, where Maryam Bibi misfields, allowing a single.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,30717.0,SS Mandhana,left,75905.0,Iqra Sahar,right,2717.0,Hong Kong Women,right pace,2.0,pace,2026-09-03 14:32:05,,,,,,,,107247444.0,2.0,25.0,46.0,2.0,1.0,1.0,False,False,True,False,,,,,outside off,,drive,,,backward point,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,1,Iqra Sahar,5,0,0,5/0,5.00,0.05,0.5,1,1,"Sahar to Verma, 1 run",,"A full toss swinging away on off stump is driven out to long on, where Marina Lamplough fields it cleanly. Shafali Verma takes a single. Shafali Verma is underway.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,75479.0,S Verma,right,75905.0,Iqra Sahar,right,2717.0,Hong Kong Women,right pace,2.0,pace,2026-09-03 14:32:44,,,,,,,,107247458.0,289.0,75.0,139.0,4.0,1.0,1.0,False,False,True,False,,,,full toss,off stump,,drive,,,long on,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,1,Iqra Sahar,5,0,0,5/0,5.00,0.06,0.6,1,1,"Sahar to Mandhana, 1 run",,"Iqra Sahar angles a full ball swinging in from outside off, and Smriti Mandhana drives it along the ground for a single to deep cover.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,30717.0,SS Mandhana,left,75905.0,Iqra Sahar,right,2717.0,Hong Kong Women,right pace,2.0,pace,2026-09-03 14:33:14,,,,,,,,107247465.0,354.0,80.0,140.0,3.0,1.0,1.0,False,False,True,False,,,,full,outside off,,drive,along the ground,,deep cover,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,2,KY Chan,11,2,0,16/0,9.00,1.01,1.0,1,1ʷᵈ,"Chan to Mandhana, 1 run (wide)",Kary Chan takes the ball for their 1st spell,"Kary Chan sends down a stock ball wide outside off, and Smriti Mandhana lets it go through to wicketkeeper Yasmin Daswani. It is called wide, adding one to India’s total.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,wide outside off,,,,,wicketkeeper,,,,,keyword,1,wide,False,True,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,2,KY Chan,11,2,0,16/0,9.00,1.02,1.1,4,4,"Chan to Mandhana, 4 runs",,"Kary Chan sends down a stock ball outside off on a length, and Smriti Mandhana drags a mis-timed slog-sweep through deep square leg for four. That is the first boundary of the innings.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,30717.0,SS Mandhana,left,69954.0,KY Chan,left,2717.0,Hong Kong Women,left unorthodox,6.0,spin,2026-09-03 14:34:46,,,,,,,,107247490.0,204.0,100.0,174.0,6.0,4.0,4.0,False,False,True,False,,,,,outside off,,slog sweep,,,deep square leg,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,2295,India Women,IND,5,2,KY Chan,11,2,0,16/0,9.00,1.03,1.2,0,0,Kary Chan to Smriti Mandhana,,"Over the wicket. Back of a length, outside off, back foot, cut. No run.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,over the wicket,,,back of a length,outside off,back foot,cut,,,,,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,2,KY Chan,11,2,0,16/0,9.00,1.04,1.2,1,1ʷᵈ,"Chan to Mandhana, 1 run (wide)",,"A full stock ball sprays wide outside off, left alone by Smriti Mandhana and gathered by the wicketkeeper, Yasmin Daswani. It is called wide, adding one to India’s total.",47033df8-8bfd-4ea4-931f-a342fefe94aa,243707,"India Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 3 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full,wide outside off,,,,,,,,,,keyword,1,wide,False,True,False,False,False,False,False,False,False,
