innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1596,Bangladesh Women,BAN,5,1,M Kapp,2,1,1,2/1,1.00,0.01,0.1,0,W,"Kapp to Ferdous, out!",Juairiya Ferdous and Taj Nehar head out to the middle. Marizanne Kapp takes the ball for their 1st spell,"The bowler sends down a full, swinging-in delivery on off stump. The batter attempts a slog but misses completely, and is bowled cleanly. Juairiya Ferdous departs for no runs off one ball.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,88211.0,Juairiya Ferdous,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:32:33,2.995,-0.149,2.0,-0.101,0.493,2.0,1.0,,,,,,,,True,True,False,False,,,,full,off stump,,slog,,,,,bowled,,,keyword,0,,True,False,False,False,False,False,False,False,False,commentary
1,1596,Bangladesh Women,BAN,5,1,M Kapp,2,1,1,2/1,1.00,0.02,0.2,1,1,"Kapp to Mostary, 1 run",Sobhana Mostary heads to the crease. ,"Marizanne Kapp bowls a length swinging away outside off, Sobhana Mostary plays a solid defensive shot with a thick edge, nudging the ball along the ground for a single. Sobhana Mostary gets off the mark for Bangladesh Women.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,68063.0,Sobhana Mostary,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:34:03,6.911,-0.223,3.0,-0.245,0.630,1.0,1.0,106908304.0,145.0,75.0,125.0,7.0,1.0,1.0,True,True,True,False,,,,,outside off,,,along the ground,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,2,1,1,2/1,1.00,0.03,0.3,0,0,"Kapp to Nehar, no run",,"The swinging ball outside off teases the batter who attempts a defensive shot but misses it cleanly, leaving the keeper to snap it up.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,85594.0,Taj Nehar,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:34:35,7.908,-0.350,4.0,-0.441,0.946,1.0,2.0,,,,,,,,True,True,False,False,,,,,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,2,1,1,2/1,1.00,0.04,0.3,1,1ʷᵈ,"Kapp to Nehar, 1 run (wide)",,"A full delivery swinging away wide outside off stump is carefully left alone by the batter, resulting in no contact but a wide extra runs to the batting side.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,85594.0,Taj Nehar,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:35:09,4.526,-0.885,2.0,,,,,,,,,,,,True,False,False,False,,,,full,wide outside off,,,,,,,,,,keyword,1,wide,False,True,False,False,False,False,False,False,False,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,2,1,1,2/1,1.00,0.05,0.4,0,0,"Kapp to Nehar, no run",,"A length ball drifting outside off, swinging away gently. Taj Nehar meets it with a compact forward defense, keeping it down and played with control for no run.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,85594.0,Taj Nehar,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:35:40,6.463,-0.359,3.0,-0.483,0.506,1.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,2,1,1,2/1,1.00,0.06,0.5,0,0,"Kapp to Nehar, no run",,"The batter attempts a full-length swinging away delivery outside off with a drive but misses completely, leaving the ball safely to the keeper.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,85594.0,Taj Nehar,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:36:09,3.579,-0.447,2.0,-0.588,0.379,1.0,0.0,,,,,,,,True,True,False,False,,,,full,outside off,,drive,,,keeper,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,M Kapp,2,1,1,2/1,1.00,0.07,0.6,0,0,"Kapp to Nehar, no run",,"The swinging away length ball outside off sees the batter attempt a push but misses, resulting in no run.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,85594.0,Taj Nehar,right,24481.0,M Kapp,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:36:43,6.817,-0.338,3.0,-0.567,0.718,1.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,S Ismail,4,4,0,6/1,0.00,1.01,1.1,0,0,"Ismail to Mostary, no run",Shabnim Ismail takes the ball for their 1st spell,"A full, swinging-away delivery outside off stump, and the batter attempts a drive but misses completely. The keeper is alert to gather the ball cleanly.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,68063.0,Sobhana Mostary,right,24478.0,S Ismail,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:38:04,4.637,-0.484,2.0,-0.538,0.571,1.0,1.0,,,,,,,,True,True,False,False,,,,full,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,S Ismail,4,4,0,6/1,0.00,1.02,1.2,0,0,"Ismail to Mostary, no run",,"A length ball outside off stump is met with a calm defensive stroke by Sobhana Mostary, keeping things tight with no run.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,68063.0,Sobhana Mostary,right,24478.0,S Ismail,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:38:42,6.857,-0.244,3.0,-0.142,0.841,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,S Ismail,4,4,0,6/1,0.00,1.03,1.3,0,0,"Ismail to Mostary, no run",,"A length ball swinging away outside off, the batter chips it with a dropped shot straight to extra cover, no run.",5fdf8574-ecf1-4164-a0f1-3abb80adf9f5,228885,"South Africa Women v Bangladesh Women at Lord's, ICC Women's T20 World Cup, 28 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Lord's Cricket Ground, St John's Wood",Women's T20I,2026-06-28,68063.0,Sobhana Mostary,right,24478.0,S Ismail,right,1817.0,South Africa Women,right pace,1.0,pace,2026-06-28 09:39:17,6.758,-0.297,3.0,-0.157,0.684,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,drop,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
