innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2605,Thailand Women,THA,5,1,KY Chan,3,0,0,3/0,3.00,0.01,0.1,0,0,"Chan to Suwanchonrathi, no run",Aphisara Suwanchonrathi and Sunida Chaturongrattana head out to the middle. Kary Chan takes the ball for their 1st spell,"Kary Chan starts with a stock length ball outside off, and Aphisara Suwanchonrathi pushes it safely into the field for no run.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2605,Thailand Women,THA,5,1,KY Chan,3,0,0,3/0,3.00,0.02,0.2,0,0,"Chan to Suwanchonrathi, no run",,"Kary Chan sends down a stock length ball on middle stump, and Aphisara Suwanchonrathi works it away but finds no run.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,middle stump,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2605,Thailand Women,THA,5,1,KY Chan,3,0,0,3/0,3.00,0.03,0.3,2,2,"Chan to Suwanchonrathi, 2 runs",,"Kary Chan drops in a short stock ball outside off, and Aphisara Suwanchonrathi controls the pull down to fine leg for two runs. Aphisara Suwanchonrathi is off the mark.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,78685.0,A Suwanchonrathi,right,69954.0,KY Chan,left,2717.0,Hong Kong Women,left unorthodox,6.0,spin,2026-08-28 14:30:59,,,,,,,,107211400.0,37.0,80.0,133.0,2.0,2.0,2.0,False,False,True,False,,,,short,outside off,,pull,,,fine leg,,,,,keyword,2,,False,False,False,False,False,False,False,False,False,
1,2605,Thailand Women,THA,5,1,KY Chan,3,0,0,3/0,3.00,0.04,0.4,1,1,"Chan to Suwanchonrathi, 1 run",,"The stock ball sits back of a length on middle stump. Aphisara Suwanchonrathi attempts the pull but misses on the leg side, yet Thailand Women collect one run.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,78685.0,A Suwanchonrathi,right,69954.0,KY Chan,left,2717.0,Hong Kong Women,left unorthodox,6.0,spin,2026-08-28 14:31:34,,,,,,,,107211406.0,77.0,40.0,67.0,1.0,1.0,1.0,False,False,True,False,,,,back of a length,middle stump,,pull,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,2605,Thailand Women,THA,5,1,KY Chan,3,0,0,3/0,3.00,0.05,0.5,0,0,Kary Chan to Phannita Maya,,"Round the wicket. Back of a length, outside off, back foot, cut along the ground. No run.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,round the wicket,,,back of a length,outside off,back foot,cut,along the ground,,,,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,2605,Thailand Women,THA,5,1,KY Chan,3,0,0,3/0,3.00,0.06,0.6,0,0,"Chan to Chaturongrattana, no run",,"Kary Chan sends down a stock ball back of a length outside off. Sunida Chaturongrattana attempts a cut but misses, and Yasmin Daswani gathers safely behind the stumps for a dot ball. A tidy opening over for Hong Kong Women, with Thailand Women kept scoreless.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,back of a length,outside off,,cut,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2605,Thailand Women,THA,5,2,A Siu,8,2,0,11/0,6.00,1.01,1.1,0,0,"Siu to Suwanchonrathi, no run",Alison Siu takes the ball for their 1st spell,"Alison Siu sends one swinging away outside off from a back-of-a-length spot, and Aphisara Suwanchonrathi attempts a drive but misses. Yasmin Daswani gathers cleanly behind the stumps for a dot ball.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2605,Thailand Women,THA,5,2,A Siu,8,2,0,11/0,6.00,1.02,1.2,1,1,"Siu to Suwanchonrathi, 1 run",,"A back-of-a-length ball outside off with no movement, Suwanchonrathi drives but miscues it, picking up a single.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,78685.0,A Suwanchonrathi,right,70021.0,A Siu,right,2717.0,Hong Kong Women,right pace,2.0,pace,2026-08-28 14:34:17,,,,,,,,107211447.0,267.0,50.0,90.0,5.0,1.0,1.0,False,False,True,False,,,,length ball,outside off,no movement,drive,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,2605,Thailand Women,THA,5,2,A Siu,8,2,0,11/0,6.00,1.03,1.2,1,1ʷᵈ,"Siu to Maya, 1 run (wide)",,"A swinging-away ball, back of a length and wide outside off, is left alone by Phannita Maya and gathered by the wicketkeeper, Yasmin Daswani. It is called wide, adding one run.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,back of a length,wide outside off,,,,,,,,,,keyword,1,wide,False,True,False,False,False,False,False,False,False,
1,2605,Thailand Women,THA,5,2,A Siu,8,2,0,11/0,6.00,1.04,1.3,1,1,"Siu to Maya, 1 run",,"A length ball outside off with no movement, Phannita Maya drives and gets a thick, uncontrolled edge for a single. Phannita Maya gets off the mark.",798bc6ef-7163-46bc-9e39-17a0b602132a,243701,"Thailand Women v Hong Kong Women at Dubai, DP World Women's T20 Asia Cup, 28 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-28,73444.0,P Maya,right,70021.0,A Siu,right,2717.0,Hong Kong Women,right pace,2.0,pace,2026-08-28 14:42:35,,,,,,,,107211552.0,160.0,35.0,58.0,7.0,1.0,1.0,False,False,True,False,,,,length ball,outside off,no movement,drive,,uncontrolled,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
