innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1596,Bangladesh Women,BAN,5,1,NMP Suwandewi,8,0,0,8/0,8.00,0.01,0.1,0,0,"Suwandewi to Ferdous, no run",Juairiya Ferdous and Dilara Akter Dola head out to the middle. Ni Made Putri Suwandewi takes the ball for their 1st spell,"Ni Made Putri Suwandewi angles a length ball in from outside off, and Juairiya Ferdous drives but gets an inside edge straight to short fine leg. No run.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,drive,,,short fine leg,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,NMP Suwandewi,8,0,0,8/0,8.00,0.02,0.2,4,4,"Suwandewi to Ferdous, 4 runs",,A full ball swinging in outside off is met with a crisp drive. Juairiya Ferdous times it beautifully through backward point for four. Juairiya Ferdous is underway with a boundary.,7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,88211.0,Juairiya Ferdous,right,69910.0,NMP Suwandewi,right,2718.0,Indonesia Women,right pace,2.0,pace,2026-08-31 14:33:50,,,,,,,,107228334.0,174.0,100.0,169.0,7.0,4.0,4.0,False,False,True,False,,,,full,outside off,,drive,,,backward point,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1596,Bangladesh Women,BAN,5,1,NMP Suwandewi,8,0,0,8/0,8.00,0.03,0.3,0,0,"Suwandewi to Ferdous, no run",,"A length ball swinging in from outside off, Juairiya Ferdous drives but gets it only into the bat-pad area, and the bowler fields cleanly for a dot ball.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,NMP Suwandewi,8,0,0,8/0,8.00,0.04,0.4,0,0,"Suwandewi to Ferdous, no run",,"A length ball swinging in from outside off, Juairiya Ferdous works it toward mid-wicket, but it is fielded cleanly by Ni Rada Rani for a dot ball.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,NMP Suwandewi,8,0,0,8/0,8.00,0.05,0.5,0,0,"Suwandewi to Ferdous, no run",,"A length ball swinging in from outside off, Juairiya Ferdous works it towards mid-wicket, but finds the fielder for no run.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,1,NMP Suwandewi,8,0,0,8/0,8.00,0.06,0.6,4,4,"Suwandewi to Ferdous, 4 runs",,"A full swinging delivery outside off is driven beautifully by Juairiya Ferdous, well timed and controlled through the line for four at long off. Juairiya Ferdous collects another boundary, her second of the over.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,88211.0,Juairiya Ferdous,right,69910.0,NMP Suwandewi,right,2718.0,Indonesia Women,right pace,2.0,pace,2026-08-31 14:36:00,,,,,,,,107228343.0,246.0,100.0,179.0,5.0,4.0,4.0,False,False,True,False,,,,full,outside off,,drive,,controlled,long off,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1596,Bangladesh Women,BAN,5,2,DAL Paramitha,8,0,0,16/0,8.00,1.01,1.1,0,0,"Paramitha to Dola, no run",Dara Paramitha takes the ball for their 1st spell,"Dara Paramitha angles a length ball outside off, swinging away as Dilara Akter Dola pushes it towards backward point, where Ni Rada Rani fields cleanly. A dot ball.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,push,,,backward point,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,DAL Paramitha,8,0,0,16/0,8.00,1.02,1.2,0,0,"Paramitha to Dola, no run",,"Dara Paramitha sends a full ball swinging away outside off, and Dilara Akter Dola attempts the drive but misses through to the wicketkeeper for a dot ball.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full,outside off,,drive,,,wicketkeeper,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,DAL Paramitha,8,0,0,16/0,8.00,1.03,1.3,0,0,"Paramitha to Dola, no run",,"A length ball swinging away outside off, Dilara Akter Dola attempts to push at it but misses, and the wicketkeeper gathers cleanly for no run.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,push,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,2,DAL Paramitha,8,0,0,16/0,8.00,1.04,1.4,4,4,"Paramitha to Dola, 4 runs",,A swinging-away length ball outside off is driven crisply. Dilara Akter Dola times it beautifully through extra cover for four. Dilara Akter Dola gets off the mark in style.,7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,79311.0,Dilara Akter Dola,right,78962.0,DAL Paramitha,right,2718.0,Indonesia Women,right pace,2.0,pace,2026-08-31 14:38:47,,,,,,,,107228384.0,215.0,100.0,176.0,6.0,4.0,4.0,False,False,True,False,,,,length ball,outside off,,drive,,,extra cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1596,Bangladesh Women,BAN,5,2,DAL Paramitha,8,0,0,16/0,8.00,1.05,1.5,4,4,"Paramitha to Dola, 4 runs",,"Dara Paramitha sends down an off cutter outside off on a length, and Dilara Akter Dola drives it beautifully, well timed through to long off for four. Another boundary for Dilara Akter Dola, her second of the over.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,79311.0,Dilara Akter Dola,right,78962.0,DAL Paramitha,right,2718.0,Indonesia Women,right pace,2.0,pace,2026-08-31 14:39:34,,,,,,,,107228394.0,264.0,100.0,180.0,5.0,4.0,4.0,False,False,True,False,,,,full,outside off,,drive,,well timed,long off,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1596,Bangladesh Women,BAN,5,2,DAL Paramitha,8,0,0,16/0,8.00,1.06,1.6,0,0,"Paramitha to Dola, no run",,"Dara Paramitha sends a back-of-a-length ball swinging away, wide outside off. Dilara Akter Dola attempts the cut but misses, and Ni Sakarini gathers cleanly behind the stumps for a dot ball. A tidy maiden over keeps Bangladesh Women scoreless through the opening over.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,wide outside off,,cut,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,3,NMP Suwandewi,1,0,1,17/1,1.00,2.01,2.1,0,W,"Suwandewi to Ferdous, out!",Ni Made Putri Suwandewi continues their spell,"A length ball swinging away outside off, Juairiya Ferdous drives but gets it mis-timed and uncontrolled towards cover. She attempted the drive and was caught by Ni Kadek Ariani at cover for a wicket. Juairiya Ferdous departs for 8 off 7, while Indonesia Women’s WinViz rises from 30% to 40%.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,,,,length ball,outside off,,drive,,uncontrolled,cover,Ni Kadek Ariani at cover for a wicket,caught,,,keyword,0,,True,False,False,False,False,False,False,False,False,commentary
1,1596,Bangladesh Women,BAN,5,3,NMP Suwandewi,1,0,1,17/1,1.00,2.02,2.2,1,1,"Suwandewi to Mostary, 1 run",Sobhana Mostary heads to the crease. ,"Ni Made Putri Suwandewi angles a length ball swinging in outside off, and Sobhana Mostary miscues the cut for a single. The throw from backward point misses the stumps. Sobhana Mostary gets off the mark.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,68063.0,Sobhana Mostary,right,69910.0,NMP Suwandewi,right,2718.0,Indonesia Women,right pace,2.0,pace,2026-08-31 14:42:41,,,,,,,,107228429.0,165.0,35.0,57.0,7.0,1.0,1.0,False,False,True,False,,,,length ball,outside off,,cut,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1596,Bangladesh Women,BAN,5,3,NMP Suwandewi,1,0,1,17/1,1.00,2.03,2.3,0,0,"Suwandewi to Dola, no run",,"A swinging-away full toss outside off is driven, but Dilara Akter Dola finds no run. The ball goes safely into the cover area.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full toss,outside off,,drive,,,cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,3,NMP Suwandewi,1,0,1,17/1,1.00,2.04,2.4,0,0,"Suwandewi to Dola, no run",,"A length ball swinging in outside off, driven firmly but straight to Ni Luh Dewi at extra cover. No run.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,drive,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,3,NMP Suwandewi,1,0,1,17/1,1.00,2.05,2.5,0,0,"Suwandewi to Dola, no run",,"A back-of-a-length ball swinging in from outside off, pushed firmly but straight to extra cover where Ni Luh Dewi fields it cleanly. No run.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,push,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,3,NMP Suwandewi,1,0,1,17/1,1.00,2.06,2.6,0,0,"Suwandewi to Dola, no run",,"A full swinging ball outside off, Dilara Akter Dola drives and catches the inside edge, but Ni Sakarini gathers safely behind the stumps for no run.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,4,DAL Paramitha,7,1,0,24/1,5.14,3.01,3.1,0,0,"Paramitha to Mostary, no run",Dara Paramitha continues their spell,"Dara Paramitha sends a length ball swinging away outside off, and Sobhana Mostary attempts a cut but misses. It carries through to the wicketkeeper, Ni Sakarini, for a dot ball.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,,cut,,,wicketkeeper,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,4,DAL Paramitha,7,1,0,24/1,5.14,3.02,3.2,0,0,"Paramitha to Mostary, no run",,"Dara Paramitha sends a full ball swinging away outside off, and Sobhana Mostary attempts a drive but misses. Ni Sakarini gathers safely behind the stumps for a dot ball.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full,outside off,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1596,Bangladesh Women,BAN,5,4,DAL Paramitha,7,1,0,24/1,5.14,3.03,3.2,1,1ⁿᵇ,"Paramitha to Mostary, 1 run (no ball)",,"A front-foot no-ball, swinging away on a length outside off, and Sobhana Mostary attempts a cut but misses through to the wicketkeeper. One extra run added.",7eba2f4c-ec4a-44e5-a3b7-58a593533496,243704,"Bangladesh Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 31 Aug 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,outside off,,cut,,,wicketkeeper,,,,,keyword,1,no ball,False,False,True,False,False,False,False,False,False,
