innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.01,0.0,1,1ʷᵈ,Darcie Brown to Smriti Mandhana,,"Over the wicket. Length ball, outside off, no movement, leave. 1 wide.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,over the wicket,,,length ball,outside off,no movement,leave,,,,,,,,template_arm,1,wide,False,True,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.02,0.0,2,2ʷᵈ,Darcie Brown to Smriti Mandhana,,"Over the wicket. Full, down leg, no movement, leave. 2 wides.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,over the wicket,,,full,down leg,no movement,leave,,,,,,,,template_arm,2,wide,False,True,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.03,0.0,1,1ʷᵈ,Darcie Brown to Shafali Verma,,"Over the wicket. Yorker, wide outside off, no movement, leave. 1 wide.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,over the wicket,,,yorker,wide outside off,no movement,leave,,,,,,,,template_arm,1,wide,False,True,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.04,0.1,1,1ˡᵇ,"Brown to Verma, 1 run",,"Darcie Brown delivers a length ball on off stump. Shafali Verma works at it but misses, with the ball hitting her pad for a leg bye.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,off stump,,work,,,,,,,,keyword,1,leg bye,False,False,False,False,True,False,False,False,False,
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.05,0.1,1,1ʷᵈ,Darcie Brown to Smriti Mandhana,,"Over the wicket. Length ball, wide down leg, no movement, leave. 1 wide.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,over the wicket,,,length ball,down leg,no movement,leave,,,,,,,,template_arm,1,wide,False,True,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.06,0.2,0,0,"Brown to Mandhana, no run",,"Darcie Brown bowls a length ball on off stump. Smriti Mandhana plays a solid drive, meeting it cleanly but no run comes from it as Phoebe Litchfield fields at extra cover.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,off stump,,drive,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.07,0.3,0,0,Darcie Brown to Smriti Mandhana,,"Over the wicket. Length ball, off stump, front foot, drive along the ground to Phoebe Litchfield at extra cover. No run.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,over the wicket,,,length ball,off stump,front foot,drive,along the ground,,extra cover,Phoebe Litchfield,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.08,0.4,4,4,Darcie Brown to Smriti Mandhana,,"Over the wicket. Full, outside off, front foot, drive. 4 runs.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,30717.0,SS Mandhana,left,72370.0,DR Brown,right,1588.0,Australia Women,right pace,1.0,pace,2026-02-21 08:19:45,,,,,,,,106293795.0,326.0,100.0,176.0,3.0,4.0,4.0,False,False,True,False,over the wicket,,,full,outside off,front foot,drive,,,,,,,,template_arm,4,,False,False,False,False,False,False,True,False,False,
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.09,0.5,0,0,Darcie Brown to Smriti Mandhana,,"Over the wicket. Length ball, off stump, front foot, pushed along the ground to Annabel Sutherland at extra cover. No run.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,over the wicket,,,length ball,off stump,front foot,push,along the ground,,extra cover,Annabel Sutherland,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,1,DR Brown,10,6,0,10/0,4.00,0.10,0.6,0,0,Darcie Brown to Smriti Mandhana,,"Over the wicket. Length ball, outside off, front foot, pushed along the ground to Annabel Sutherland at extra cover. No run.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,over the wicket,,,length ball,outside off,front foot,push,along the ground,,extra cover,Annabel Sutherland,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,2,AK Gardner,4,0,0,14/0,4.00,1.01,1.1,1,1,Ashleigh Gardner to Shafali Verma,,"Over the wicket. Length ball, outside off, down the track, drive uncontrolled in air to Phoebe Litchfield at deep cover. 1 run.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,75479.0,S Verma,right,65715.0,AK Gardner,right,1588.0,Australia Women,off break,3.0,spin,2026-02-21 08:22:09,,,,,,,,106293819.0,204.0,70.0,121.0,6.0,1.0,1.0,False,False,True,False,over the wicket,,,length ball,outside off,down the track,drive,uncontrolled in air,uncontrolled,deep cover,Phoebe Litchfield,,,,template_arm,1,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,5,2,AK Gardner,4,0,0,14/0,4.00,1.02,1.2,0,0,Ashleigh Gardner to Smriti Mandhana,,"Round the wicket. Length ball, outside off, back foot, pushed along the ground to Sophie Molineux at extra cover. No run.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,round the wicket,,,length ball,outside off,back foot,push,along the ground,,extra cover,Sophie Molineux,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,5,2,AK Gardner,4,0,0,14/0,4.00,1.03,1.3,0,0,Ashleigh Gardner to Smriti Mandhana,,"Round the wicket. Length ball, outside off, down the track, drive along the ground to Sophie Molineux at extra cover. No run.",81e78c1d-6261-4e24-b855-af329813de69,227554,"Australia Women v India Women at Adelaide, 3rd T20I, 21 Feb 2026",8597,India Women in Australia,2025/26,"Adelaide Oval, Adelaide",Women's T20I,2026-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,round the wicket,,,length ball,outside off,down the track,drive,along the ground,,extra cover,Sophie Molineux,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
