innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2510,England Women,ENG,5,1,A Reddy,2,2,0,2/0,0.00,0.01,0.1,0,0,"Reddy to Dunkley, no run",Sophia Dunkley and Danni Wyatt-Hodge head out to the middle. Arundhati Reddy takes the ball for their 1st spell,"A full-length swinging-in ball just outside off, skillfully defended by Sophia Dunkley to keep the scoreboard quiet.",94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,67064,SIR Dunkley,right,68580,A Reddy,right,2295,India Women,right pace,2,pace,2026-05-30 13:30:02,3.992,-0.235,2.0,0.010,0.446,2.0,0.0,,,,,,,,True,True,False,False,,,,full,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,1,A Reddy,2,2,0,2/0,0.00,0.02,0.2,0,0,"Reddy to Dunkley, no run",,"The swinging-in length ball tempts the batter, who works it off the inside edge towards short fine leg for no run.",94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,67064,SIR Dunkley,right,68580,A Reddy,right,2295,India Women,right pace,2,pace,2026-05-30 13:30:29,6.259,-0.259,3.0,0.187,0.697,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,,,work,,,short fine leg,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,1,A Reddy,2,2,0,2/0,0.00,0.03,0.3,0,0,"Reddy to Dunkley, no run",,A full swinging-in delivery on off stump; the batter works it carefully along the ground but finds no gap for a run.,94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,67064,SIR Dunkley,right,68580,A Reddy,right,2295,India Women,right pace,2,pace,2026-05-30 13:31:07,4.671,-0.102,2.0,0.252,0.568,3.0,1.0,,,,,,,,True,True,False,False,,,,full,off stump,,work,along the ground,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,1,A Reddy,2,2,0,2/0,0.00,0.04,0.4,0,0,"Reddy to Dunkley, no run",,"A length ball swinging in, just outside off, met with a solid defensive stroke from Sophia Dunkley, keeping it tight and conceding no run.",94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,67064,SIR Dunkley,right,68580,A Reddy,right,2295,India Women,right pace,2,pace,2026-05-30 13:31:40,5.346,-0.190,3.0,0.073,0.645,2.0,1.0,,,,,,,,True,True,False,False,,,,length ball,outside off,,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,1,A Reddy,2,2,0,2/0,0.00,0.05,0.4,2,2ʷᵈ,"Reddy to Dunkley, 2 runs (wide)",,"This length ball on leg stump sees the batter attempt a glance but misses, resulting in a wide. A misfield from the keeper adds two runs to the total.",94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,67064,SIR Dunkley,right,68580,A Reddy,right,2295,India Women,right pace,2,pace,2026-05-30 13:32:13,6.118,0.070,3.0,,,,,,,,,,,,True,False,False,False,,,,length ball,leg stump,,glance,,,,,,,,keyword,2,wide,False,True,False,False,False,False,False,False,False,
1,2510,England Women,ENG,5,1,A Reddy,2,2,0,2/0,0.00,0.06,0.5,0,0,"Reddy to Wyatt-Hodge, no run",,"A back of a length delivery outside off, nicely pushed along the ground by the batter, but it yields no run.",94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,17908,DN Wyatt-Hodge,right,68580,A Reddy,right,2295,India Women,right pace,2,pace,2026-05-30 13:33:07,7.465,-0.396,4.0,-0.124,0.574,2.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,push,along the ground,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,1,A Reddy,2,2,0,2/0,0.00,0.07,0.6,0,0,"Reddy to Wyatt-Hodge, no run",,A full swinging-in delivery on leg stump beats the bat and strikes the pads as Danni Wyatt-Hodge works it but misses. No run follows.,94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,17908,DN Wyatt-Hodge,right,68580,A Reddy,right,2295,India Women,right pace,2,pace,2026-05-30 13:33:39,3.360,0.078,2.0,0.346,0.374,3.0,0.0,,,,,,,,True,True,False,False,,,,full,leg stump,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,2,N Sharma,4,0,0,6/0,4.00,1.01,1.1,0,0,"Sharma to Dunkley, no run",Nandni Sharma takes the ball for their 1st spell,"The swinging away length ball is met by a mis-timed cut shot that skids towards backward point, where a chance is spilled.",94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,67064,SIR Dunkley,right,79853,N Sharma,right,2295,India Women,right pace,2,pace,2026-05-30 13:35:16,6.480,-0.450,3.0,-0.718,0.738,0.0,1.0,,,,,,,,True,True,False,False,,,,length ball,,,cut,,,backward point,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,2510,England Women,ENG,5,2,N Sharma,4,0,0,6/0,4.00,1.02,1.2,1,1,"Sharma to Dunkley, 1 run",,"A full-length delivery outside off, met with a well-timed drive by Sophia Dunkley racing through the covers for a comfortable single. Sophia Dunkley opens her account.",94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,67064,SIR Dunkley,right,79853,N Sharma,right,2295,India Women,right pace,2,pace,2026-05-30 13:35:57,4.954,-0.601,2.0,-0.844,0.545,0.0,1.0,106727018.0,200.0,50.0,82.0,6.0,1.0,1.0,True,True,True,False,,,,full,outside off,,drive,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,2510,England Women,ENG,5,2,N Sharma,4,0,0,6/0,4.00,1.03,1.3,1,1,"Sharma to Wyatt-Hodge, 1 run",,"Nandni Sharma bowls a back of a length delivery on off stump; Danni Wyatt-Hodge pushes the ball with a spliced connection through the off side, managing a single. Danni Wyatt-Hodge gets off the mark.",94decfd5-d2ac-4a7f-8cec-2e610e4d1822,229338,"England Women v India Women at Bristol, 2nd T20I, 30 May 2026",8719,India Women in England,2026,"County Ground, Bristol",Women's T20I,2026-05-30,17908,DN Wyatt-Hodge,right,79853,N Sharma,right,2295,India Women,right pace,2,pace,2026-05-30 13:36:41,8.060,-0.138,4.0,0.043,0.933,2.0,2.0,106727020.0,171.0,30.0,47.0,7.0,1.0,1.0,True,True,True,False,,,,back of a length,off stump,,push,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
