innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1452,Pakistan Women,PAK,5,1,M Ayodhya,2,0,0,2/0,2.00,0.01,0.1,0,0,"Ayodhya to Ali, no run",Muneeba Ali and Shawaal Zulfiqar head out to the middle. Mithali Ayodhya takes the ball for their 1st spell,"Mithali Ayodhya swings it in from a full length outside off, and Muneeba Ali wisely leaves it alone for a dot ball.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full,outside off,,leave,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,5,1,M Ayodhya,2,0,0,2/0,2.00,0.02,0.2,0,0,"Ayodhya to Ali, no run",,"Mithali Ayodhya brings it in on off stump with a length ball, and Muneeba Ali pushes it firmly to extra cover, where Kavisha Dilhari fields cleanly for a dot ball.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,off stump,,push,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,5,1,M Ayodhya,2,0,0,2/0,2.00,0.03,0.3,1,1,"Ayodhya to Ali, 1 run",,"A swinging full toss outside off is driven firmly towards deep cover, where Chamodi Praboda fields, and Muneeba Ali takes a single. Muneeba Ali is off the mark.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,26759.0,Muneeba Ali,left,93551.0,M Ayodhya,right,1939.0,Sri Lanka Women,right pace,1.0,pace,2026-09-11 14:34:02,,,,,,,,107302947.0,354.0,90.0,151.0,3.0,1.0,1.0,False,False,True,False,,,,full toss,outside off,,drive,,,deep cover,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1452,Pakistan Women,PAK,5,1,M Ayodhya,2,0,0,2/0,2.00,0.04,0.4,1,1,"Ayodhya to Zulfiqar, 1 run",,"A length ball swinging away on leg stump, Shawaal Zulfiqar flicks it neatly into the deep backward square-leg region for a single, well fielded by Chamodi Praboda. Shawaal Zulfiqar is underway with her first run.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,79675.0,Shawaal Zulfiqar,right,93551.0,M Ayodhya,right,1939.0,Sri Lanka Women,right pace,1.0,pace,2026-09-11 14:34:57,,,,,,,,107302965.0,2.0,85.0,148.0,2.0,1.0,1.0,False,False,True,False,,,,length ball,leg stump,,flick,,,,Chamodi Praboda,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1452,Pakistan Women,PAK,5,1,M Ayodhya,2,0,0,2/0,2.00,0.05,0.5,0,0,"Ayodhya to Ali, no run",,"A full ball swinging in wide outside off, and Muneeba Ali wisely leaves it alone for a dot ball.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full,wide outside off,,leave,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,5,1,M Ayodhya,2,0,0,2/0,2.00,0.06,0.6,0,0,"Ayodhya to Ali, no run",,"A length ball outside off with no movement, and Muneeba Ali gets right behind it in defence for a dot ball.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,length ball,outside off,no movement,,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,5,2,DMSM Kumari,3,0,1,5/1,3.00,1.01,1.1,1,1,"Dasanayaka to Zulfiqar, 1 run",Sugandika Dasanayaka takes the ball for their 1st spell,"Dasanayaka sends down a length stock ball outside off, and Shawaal Zulfiqar drives it towards extra cover. A misfield by Kavisha Dilhari allows Pakistan Women to take a single.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,79675.0,Shawaal Zulfiqar,right,24441.0,DMSM Kumari,left,1939.0,Sri Lanka Women,left orthodox,5.0,spin,2026-09-11 14:37:19,,,,,,,,107303012.0,210.0,35.0,58.0,6.0,1.0,1.0,False,False,True,False,,,,,outside off,,drive,,,extra cover,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1452,Pakistan Women,PAK,5,2,DMSM Kumari,3,0,1,5/1,3.00,1.02,1.2,0,0,Sugandika Dasanayaka to Muneeba Ali,,"Round the wicket. Length ball, wide down leg, front foot, glance along the ground to Sanjana Kavindi at short fine leg. No run.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,round the wicket,,,length ball,down leg,front foot,glance,along the ground,,short fine leg,Sanjana Kavindi,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
1,1452,Pakistan Women,PAK,5,2,DMSM Kumari,3,0,1,5/1,3.00,1.03,1.3,1,1,"Dasanayaka to Ali, 1 run",,"Dasanayaka sends down a full stock ball outside off, and Muneeba Ali drives for a single, with a misfield at cover allowing the run.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,26759.0,Muneeba Ali,left,24441.0,DMSM Kumari,left,1939.0,Sri Lanka Women,left orthodox,5.0,spin,2026-09-11 14:39:28,,,,,,,,107303055.0,334.0,35.0,64.0,3.0,1.0,1.0,False,False,True,False,,,,full,outside off,,drive,,,cover,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1452,Pakistan Women,PAK,5,2,DMSM Kumari,3,0,1,5/1,3.00,1.04,1.4,0,0,Sugandika Dasanayaka to Shawaal Zulfiqar,,"Round the wicket. Back of a length, off stump, back foot, worked along the ground to Hasini Perera at backward square leg. No run.",cf4c8f23-f13c-416a-94fc-3324227e9775,243714,"Sri Lanka Women v Pakistan Women at Dubai, DP World Women's T20 Asia Cup, Semi-Final, 11 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,round the wicket,,,back of a length,off stump,back foot,work,along the ground,,backward square leg,Hasini Perera,,,,template_arm,0,,False,False,False,False,False,False,False,False,True,
