innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,2295,India Women,IND,1,1,TS Sekhukhune,8,1,0,8/0,7.00,0.01,0.0,1,1ʷᵈ,Tumi Sekhukhune to Shafali Verma,,"Wide. Tumi Sekhukhune to Shafali Verma. No movement back of a length, outside off on the no movement leaving left alone through to wicketkeeper for 1 wides, fielded by Sinalo Jafta",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,back of a length,outside off,no movement,leave,,,wicketkeeper,Sinalo Jafta,,,,template_structured,1,wide,False,True,False,False,False,False,False,False,False,
1,2295,India Women,IND,1,1,TS Sekhukhune,8,1,0,8/0,7.00,0.02,0.1,0,0,Tumi Sekhukhune to Shafali Verma,,"Tumi Sekhukhune to Shafali Verma. No movement length ball, outside off on the back foot pushed to cover for no run, fielded by Annerie Dercksen",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,length ball,outside off,back foot,push,,,cover,Annerie Dercksen,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,1,1,TS Sekhukhune,8,1,0,8/0,7.00,0.03,0.2,0,0,Tumi Sekhukhune to Shafali Verma,,"Tumi Sekhukhune to Shafali Verma. No movement back of a length, middle stump on the front foot driving to bowler for no run, fielded by Tumi Sekhukhune",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,back of a length,middle stump,front foot,drive,,,bowler,Tumi Sekhukhune,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,1,1,TS Sekhukhune,8,1,0,8/0,7.00,0.04,0.3,0,0,Tumi Sekhukhune to Shafali Verma,,"Tumi Sekhukhune to Shafali Verma. No movement back of a length, outside off on the front foot driving to cover for no run, fielded by Annerie Dercksen",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,back of a length,outside off,front foot,drive,,,cover,Annerie Dercksen,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,1,1,TS Sekhukhune,8,1,0,8/0,7.00,0.05,0.4,6,6,Tumi Sekhukhune to Shafali Verma,,"SIX! Tumi Sekhukhune to Shafali Verma. No movement length ball, off stump down the track driving well timed for 6 runs",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,75479.0,S Verma,right,68542.0,TS Sekhukhune,right,1817.0,South Africa Women,right pace,2.0,pace,2026-04-19 12:02:06,,,,,,,,106565508.0,270.0,100.0,180.0,5.0,6.0,6.0,False,False,True,False,,,,length ball,off stump,down the track,drive,,well timed,,,,,,keyword,6,,False,False,False,False,False,False,False,True,False,
1,2295,India Women,IND,1,1,TS Sekhukhune,8,1,0,8/0,7.00,0.06,0.5,1,1,Tumi Sekhukhune to Shafali Verma,,"Tumi Sekhukhune to Shafali Verma. No movement back of a length, middle stump on the front foot driving to mid off for 1 run, run out attempt: missed stumps by Suné Luus",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,75479.0,S Verma,right,68542.0,TS Sekhukhune,right,1817.0,South Africa Women,right pace,2.0,pace,2026-04-19 12:02:57,,,,,,,,106565524.0,243.0,50.0,87.0,5.0,1.0,1.0,False,False,True,False,,no movement,,back of a length,middle stump,front foot,drive,,,mid off,,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,1,1,TS Sekhukhune,8,1,0,8/0,7.00,0.07,0.6,0,0,Tumi Sekhukhune to Smriti Mandhana,,"Tumi Sekhukhune to Smriti Mandhana. No movement back of a length, middle stump on the front foot playing a forward defensive shot to mid off for no run, fielded by Laura Wolvaardt",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,back of a length,middle stump,front foot,forward defensive,,,mid off,Laura Wolvaardt,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
1,2295,India Women,IND,1,2,A Khaka,13,0,0,21/0,13.00,1.01,1.1,1,1,Ayabonga Khaka to Shafali Verma,,"Ayabonga Khaka to Shafali Verma. No movement back of a length, middle stump on the front foot driving to deep mid wicket for 1 run, fielded by Anneke Bosch",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,75479.0,S Verma,right,27665.0,A Khaka,right,1817.0,South Africa Women,right pace,1.0,pace,2026-04-19 12:04:40,,,,,,,,106565542.0,328.0,85.0,151.0,3.0,1.0,1.0,False,False,True,False,,no movement,,back of a length,middle stump,front foot,drive,,,deep mid wicket,Anneke Bosch,,,,template_structured,1,,False,False,False,False,False,False,False,False,False,
1,2295,India Women,IND,1,2,A Khaka,13,0,0,21/0,13.00,1.02,1.2,4,4,Ayabonga Khaka to Smriti Mandhana,,"FOUR! Ayabonga Khaka to Smriti Mandhana. No movement back of a length, middle stump on the front foot driving well timed for 4 runs",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,30717.0,SS Mandhana,left,27665.0,A Khaka,right,1817.0,South Africa Women,right pace,1.0,pace,2026-04-19 12:05:26,,,,,,,,106565554.0,268.0,100.0,180.0,5.0,4.0,4.0,False,False,True,False,,no movement,,back of a length,middle stump,front foot,drive,,well timed,,,,,,template_structured,4,,False,False,False,False,False,False,True,False,False,
1,2295,India Women,IND,1,2,A Khaka,13,0,0,21/0,13.00,1.03,1.3,0,0,Ayabonga Khaka to Smriti Mandhana,,"Ayabonga Khaka to Smriti Mandhana. No movement back of a length, middle stump on the back foot playing a backward defensive shot to mid off for no run, fielded by Suné Luus",e1b727f9-e019-49d9-a5dd-266e1c160e1c,235974,"South Africa Women v India Women at Durban, 2nd T20I, 19 Apr 2026",8973,India Women in South Africa,2026,"Kingsmead, Durban",Women's T20I,2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,no movement,,back of a length,middle stump,back foot,backward defensive,,,mid off,Suné Luus,,,,template_structured,0,,False,False,False,False,False,False,False,False,True,
