innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1588,Australia Women,AUS,5,1,Sadia Iqbal,2,0,1,2/1,2.00,0.01,0.1,0,W,"Iqbal to Mooney, out!",Beth Mooney and Georgia Voll head out to the middle. Sadia Iqbal takes the ball for their 1st spell,"A stock ball pitched outside off and on a good length, the batter attempts to steer but edges it just outside the off stump. It's caught by first slip, and Beth Mooney is out without troubling the scorer. Beth Mooney departs for a duck off just one delivery.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,33525.0,BL Mooney,left,72520.0,Sadia Iqbal,left,1452.0,Pakistan Women,left orthodox,5.0,spin,2026-06-23 17:30:53,4.899,0.428,2.0,0.277,0.864,3.0,1.0,,,,,,,,True,True,False,True,,,,,outside off,,steer,,,,first slip,caught,,,keyword,0,,True,False,False,False,False,False,False,False,False,commentary
1,1588,Australia Women,AUS,5,1,Sadia Iqbal,2,0,1,2/1,2.00,0.02,0.2,1,1,"Iqbal to Perry, 1 run",Ellyse Perry heads to the crease. ,"Perry leans into a sturdy full-length stock ball outside off, driving it crisply along the ground for a well-placed single. That gets Ellyse Perry off the mark.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,20552.0,EA Perry,right,72520.0,Sadia Iqbal,left,1452.0,Pakistan Women,left orthodox,5.0,spin,2026-06-23 17:32:14,2.997,-0.271,2.0,-0.120,0.602,2.0,1.0,106885598.0,283.0,80.0,147.0,4.0,1.0,1.0,True,True,True,False,,,,full,outside off,,drive,along the ground,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,5,1,Sadia Iqbal,2,0,1,2/1,2.00,0.03,0.3,0,0,"Iqbal to Voll, no run",,"The stock ball, a length delivery outside off, is pushed gently by the batter into the short extra cover region for no run.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,73773.0,GA Voll,right,72520.0,Sadia Iqbal,left,1452.0,Pakistan Women,left orthodox,5.0,spin,2026-06-23 17:32:54,4.021,-0.305,2.0,-0.185,0.688,2.0,1.0,,,,,,,,True,True,False,False,,,,short,outside off,,push,,,short extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,5,1,Sadia Iqbal,2,0,1,2/1,2.00,0.04,0.4,0,0,"Iqbal to Voll, no run",,"Sadie Iqbal delivers a back of a length stock ball just outside off, and Georgia Voll works it with a neat controlled shot, keeping it on the ground for no run.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,73773.0,GA Voll,right,72520.0,Sadia Iqbal,left,1452.0,Pakistan Women,left orthodox,5.0,spin,2026-06-23 17:33:10,5.878,-0.202,3.0,0.220,0.826,3.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,work,,controlled,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,5,1,Sadia Iqbal,2,0,1,2/1,2.00,0.05,0.5,0,0,"Iqbal to Voll, no run",,"Sadia Iqbal bowls a stock ball just outside off on a back of a length delivery, and Georgia Voll pushes it quietly into the ground towards short extra cover. No run.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,73773.0,GA Voll,right,72520.0,Sadia Iqbal,left,1452.0,Pakistan Women,left orthodox,5.0,spin,2026-06-23 17:33:26,5.686,-0.368,3.0,0.212,0.676,3.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,push,,,short extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,5,1,Sadia Iqbal,2,0,1,2/1,2.00,0.06,0.6,1,1,"Iqbal to Voll, 1 run",,"The stock ball, pitched on a good length outside off, sees Georgia Voll sweep softly along the ground, nudging through to pick up a single. Georgia Voll gets off the mark with that run.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,73773.0,GA Voll,right,72520.0,Sadia Iqbal,left,1452.0,Pakistan Women,left orthodox,5.0,spin,2026-06-23 17:33:47,4.861,-0.287,2.0,-0.229,0.722,1.0,1.0,106885605.0,353.0,85.0,147.0,3.0,1.0,1.0,True,True,True,False,,,,,outside off,,sweep,along the ground,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,5,2,Fatima Sana,17,4,0,19/1,13.00,1.01,1.1,0,0,"Sana to Voll, no run",Fatima Sana takes the ball for their 1st spell,"Seaming in from outside off, the back of a length delivery is worked by the batter but misses the bat, hitting her pad instead for no run.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,73773.0,GA Voll,right,71023.0,Fatima Sana,right,1452.0,Pakistan Women,right pace,1.0,pace,2026-06-23 17:35:06,7.372,-0.218,4.0,0.302,0.817,3.0,1.0,,,,,,,,True,True,False,False,,,,back of a length,outside off,,work,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1588,Australia Women,AUS,5,2,Fatima Sana,17,4,0,19/1,13.00,1.02,1.1,4,4ʷᵈ,"Sana to Voll, 4 runs (wide)",,"A full delivery swinging in down the leg side sees the batter attempt a glance but misses. The umpire signals a wide, and four wides are called, with a sharp run saved at fine leg.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,73773.0,GA Voll,right,71023.0,Fatima Sana,right,1452.0,Pakistan Women,right pace,1.0,pace,2026-06-23 17:35:40,4.280,0.201,2.0,,,,,,,,,,,,True,False,False,False,,,,full,down the leg side,,glance,,,fine leg,,,,,keyword,4,wide,False,True,False,False,False,False,False,False,False,
1,1588,Australia Women,AUS,5,2,Fatima Sana,17,4,0,19/1,13.00,1.03,1.2,4,4,"Sana to Perry, 4 runs",,"A length ball on the outside off, no movement from the bowler. Ellyse Perry meets it with a well-timed, controlled drive, racing the ball smoothly through cover for four. That brings up the first boundary of the innings.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,20552.0,EA Perry,right,71023.0,Fatima Sana,right,1452.0,Pakistan Women,right pace,1.0,pace,2026-06-23 17:36:34,5.820,-0.548,3.0,-0.601,0.561,0.0,1.0,106885612.0,188.0,100.0,171.0,6.0,4.0,4.0,True,True,True,False,,,,length ball,outside off,no movement,drive,,controlled,cover,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
1,1588,Australia Women,AUS,5,2,Fatima Sana,17,4,0,19/1,13.00,1.04,1.3,4,4,"Sana to Perry, 4 runs",,"A short ball outside off, no movement on offer. Perry leans back and plays a well-timed, controlled pull shot through deep square leg for four. That's another boundary for Ellyse Perry, her second in this over.",e5b31b2d-03a5-43fb-9394-ab46ea9896be,228877,"Australia Women v Pakistan Women at Leeds, ICC Women's T20 World Cup, 23 Jun 2026",8676,ICC Women's T20 World Cup,2026,"Headingley, Leeds",Women's T20I,2026-06-23,20552.0,EA Perry,right,71023.0,Fatima Sana,right,1452.0,Pakistan Women,right pace,1.0,pace,2026-06-23 17:37:15,9.722,-0.424,4.0,-0.281,0.949,1.0,2.0,106885613.0,340.0,100.0,173.0,3.0,4.0,4.0,True,True,True,False,,,,short,outside off,no movement,pull,,controlled,deep square leg,,,,,keyword,4,,False,False,False,False,False,False,True,False,False,
