innings_number,batting_team_id,batting_team_name,batting_team_abbreviation,innings_closure_id,over_number,over_bowler_name,runs_off_over,extras_off_over,wickets_off_over,team_score,run_rate,overs_unique,display_overs,runs,scoring,ball_summary_text,ball_pre_text,commentary,gid,match_id,match_name,comp_id,comp_name,comp_season,ground_name,class_name,start_date,batting_player_id,batting_player_name,batting_player_hand,bowling_player_id,bowling_player_name,bowling_player_hand,bowling_team_id,bowling_team_name,bowling_technique,bowling_type_id,bowling_type_simple,datetime_utc,bounce_position_x,bounce_position_y,length_zone,stumps_position_y,stumps_position_z,grid_x,grid_y,ball_id,field_direction,field_distance_percent,field_magnitude,field_zone,runs_off_bat,runs_conceded,has_pitchmap,has_beehive,has_wagon,in_catch_map,bowler_arm,delivery_type,delivery_variation,length,line,footwork,shot_type,shot_trajectory,shot_control,field_position,fielder_name,dismissal_type,dismissed_batter,dismissal_score,parse_method,runs_scored,extras_type,is_wicket,is_wide,is_no_ball,is_bye,is_leg_bye,is_penalty,is_boundary_four,is_boundary_six,is_dot,dismissal_source
1,1939,Sri Lanka Women,SRI,5,1,NMP Suwandewi,3,0,0,3/0,3.00,0.01,0.1,1,1,"Suwandewi to Dulani, 1 run",Imesha Dulani and Chamari Athapaththu head out to the middle. Ni Made Putri Suwandewi takes the ball for their 1st spell,"Swinging in from outside off on a length, Imesha Dulani works it neatly to deep backward square leg and the batters take a single. Imesha Dulani gets off the mark.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,75841.0,ID Witharana,right,69910.0,NMP Suwandewi,right,2718.0,Indonesia Women,right pace,2.0,pace,2026-09-02 14:31:41,,,,,,,,107238677.0,2.0,75.0,131.0,2.0,1.0,1.0,False,False,True,False,,,,,outside off,,work,,,deep backward square leg,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,5,1,NMP Suwandewi,3,0,0,3/0,3.00,0.02,0.2,1,1,"Suwandewi to Athapaththu, 1 run",,"Ni Made Putri Suwandewi shapes this full ball away on off stump, and Chamari Athapaththu drives it into the covers for a single, with Ni Rada Rani cutting it off smartly. Chamari Athapaththu gets off the mark.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,24436.0,AMCJK Athapaththu,left,69910.0,NMP Suwandewi,right,2718.0,Indonesia Women,right pace,2.0,pace,2026-09-02 14:32:41,,,,,,,,107238689.0,334.0,50.0,84.0,3.0,1.0,1.0,False,False,True,False,,,,full,off stump,,drive,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,5,1,NMP Suwandewi,3,0,0,3/0,3.00,0.03,0.3,0,0,"Suwandewi to Dulani, no run",,"Ni Made Putri Suwandewi sends a full swinging-in delivery outside off, and Imesha Dulani drives firmly back to the bowler for no run.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full,outside off,,drive,,,bowler,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,1,NMP Suwandewi,3,0,0,3/0,3.00,0.04,0.4,1,1,"Suwandewi to Dulani, 1 run",,"A full ball swinging in outside off, Imesha Dulani drives firmly towards mid-off and takes a single.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,75841.0,ID Witharana,right,69910.0,NMP Suwandewi,right,2718.0,Indonesia Women,right pace,2.0,pace,2026-09-02 14:33:40,,,,,,,,107238698.0,245.0,45.0,79.0,5.0,1.0,1.0,False,False,True,False,,,,full,outside off,,drive,,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,5,1,NMP Suwandewi,3,0,0,3/0,3.00,0.05,0.5,0,0,"Suwandewi to Athapaththu, no run",,"A swinging full toss on middle stump is driven firmly by Chamari Athapaththu, but Ni Luh Dewi fields it smartly at extra cover for a dot ball.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full toss,middle stump,,drive,,,extra cover,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,1,NMP Suwandewi,3,0,0,3/0,3.00,0.06,0.6,0,0,"Suwandewi to Athapaththu, no run",,"A full ball swinging away on middle stump, Athapaththu drives firmly but picks out mid-off, where Sofia Velic fields cleanly for a dot ball.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,full,middle stump,,drive,,,,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,2,NK Ariani,2,0,1,5/1,2.00,1.01,1.1,0,0,"Ariani to Dulani, no run",Ni Kadek Ariani takes the ball for their 1st spell,"Ni Kadek Ariani delivers an off break on a length outside off, and Imesha Dulani attempts a cut but misses through to the wicketkeeper for no run.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,outside off,,cut,,,wicketkeeper,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,2,NK Ariani,2,0,1,5/1,2.00,1.02,1.2,0,0,"Ariani to Dulani, no run",,"Ni Kadek Ariani tosses up an off break on off stump, and Imesha Dulani’s length-ball reverse sweep is mis-timed and uncontrolled straight to point. No run.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,,,,off stump,,reverse sweep,,uncontrolled,point,,,,,keyword,0,,False,False,False,False,False,False,False,False,True,
1,1939,Sri Lanka Women,SRI,5,2,NK Ariani,2,0,1,5/1,2.00,1.03,1.3,1,1,"Ariani to Dulani, 1 run",,"Ni Kadek Ariani bowls an off break back of a length outside off, and Imesha Dulani pulls it along the ground to deep mid-wicket for a single.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,75841.0,ID Witharana,right,79690.0,NK Ariani,right,2718.0,Indonesia Women,off break,3.0,spin,2026-09-02 14:36:43,,,,,,,,107238732.0,315.0,80.0,136.0,4.0,1.0,1.0,False,False,True,False,,,,back of a length,outside off,,pull,along the ground,,,,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
1,1939,Sri Lanka Women,SRI,5,2,NK Ariani,2,0,1,5/1,2.00,1.04,1.4,1,1,"Ariani to Athapaththu, 1 run",,"The off break lands on a length outside off, and Chamari Athapaththu steers it towards backward point for a single, fielded by Sang Maypriani.",fc25ba0d-31e7-4df1-9dbb-c2e46c98f17b,243706,"Sri Lanka Women v Indonesia Women at Dubai, DP World Women's T20 Asia Cup, 2 Sep 2026",9395,DP World Women's T20 Asia Cup,2026,"Dubai International Stadium, Dubai",Women's T20I,2026-09-02,24436.0,AMCJK Athapaththu,left,79690.0,NK Ariani,right,2718.0,Indonesia Women,off break,3.0,spin,2026-09-02 14:37:40,,,,,,,,107238739.0,22.0,50.0,88.0,2.0,1.0,1.0,False,False,True,False,,,,,outside off,,steer,,,backward point,Sang Maypriani,,,,keyword,1,,False,False,False,False,False,False,False,False,False,
