CompetitionID,MatchID,MatchTypeID,MatchType,MatchStatus,MatchDate,MatchDateNew,MatchName,MatchTime,GMTMatchTime,GMTMatchDate,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,Flag,FirstBattingSummary,SecondBattingSummary,ClientMatchID,MATCH_COMMENCE_START_DATE,city,FlickrAlbumID,LiveStream,FBURL,T20ProMatchID,Temperature,WeatherIcon,TempUpdatedDate,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,HomeTeamColor1,HomeTeamColor2,AwayTeamColor1,AwayTeamColor2,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,MATCH_NO_OF_OVERS,ROUND_ID,MatchTypeName,RowNo,CompetitionName,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,MatchHomeTeamLogo,MatchAwayTeamLogo,VideoScorecard,TimeZone,CurrentStrikerID,CurrentStrikerName,StrikerRuns,StrikerBalls,StrikerFours,StrikerSixes,StrikerSR,StrikerImage,CurrentNonStrikerID,CurrentNonStrikerName,NonStrikerRuns,NonStrikerBalls,NonStrikerFours,NonStrikerSixes,NonStrikerSR,NonStrikerImage,CurrentBowlerID,CurrentBowlerName,BowlerOvers,BowlerRuns,BowlerMaidens,BowlerWickets,BowlerEconomy,BowlerSR,BowlerImage,ChasingText,MatchBreakComments,MatchProgress,CurrentInnings,1Summary,1FallScore,1FallWickets,1FallOvers,1RunRate,2Summary,2FallScore,2FallWickets,2FallOvers,2RunRate,3Summary,3FallScore,3FallWickets,3FallOvers,3RunRate,4Summary,4FallScore,4FallWickets,4FallOvers,4RunRate,5Summary,5FallScore,5FallWickets,5FallOvers,5RunRate,6Summary,6FallScore,6FallWickets,6FallOvers,6RunRate,DivisionID,SecondInningsFirstBattingID,SecondInningsFirstBattingName,SecondInningsSecondBattingID,SecondInningsSecondBattingName,ThirdInningsFirstBattingID,ThirdInningsFirstBattingName,ThirdInningsSecondBattingID,ThirdInningsSecondBattingName,WinningTeamID,MatchOrder,RevisedOver,RevisedTarget,MatchRow,ProjectedScore,2ndProjectedScore,3rdProjectedScore,TeamType,MOM,MOM_TYPE,MOMPlayerId,MOMRuns,MOMBalls,MOMWicket,MOMRC,MOMImage,KO,GMTMatchEndTime,GMTMatchEndDate,matchDateTime,timestamp,CustomMatchTime
29,258,9,One Day WarmUp Practice,Post,2020-11-27,27 Nov 2020,Australia VS India,14:10,04:10 GMT,2020-11-27,2,Australia,1,India,AUS,IND,4,Sydney Cricket Ground,Australia Won by 66  Runs ,Australia,Australia won the Toss and elected to bat, won the Toss and elected to bat,1,374/6 (50.0 Ov),308/8 (50.0 Ov),,2020-11-27T14:10:00,Sydney,,,,,,,,36,299,407,85,2,Australia,,,,,1,India,Asia/Kolkata,27 Nov 2020,23:40,50,0,ODI,1.0,INDIA IN AUSTRALIA ODI SERIES 2020-21,Sam Nogajski,Rod Tucker,Paul Reiffel,Australia Won by 66  Runs ,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,0,3,0,0,0.0,https://scores.bcci.tv/matchcentre/playerimages/dSTitv33Sg16569396479.jpg,2019-100mb00000000207-672d82e544bb11,Navdeep Saini,29,35,1,1,82.85,https://scores.bcci.tv/matchcentre/playerimages/navdeep_saini.jpg,2018-100mb00000000031-b334eaf6f08611,Mitchell Starc,9.0,65,0,1,7.22,54.0,https://new-matchcentre.s3.amazonaws.com/SLC/images/player-thumb.jpg?v=1,,,,2,374/6 (50.0 Overs),374,6,50.0,7.48,308/8 (50.0 Overs),308,8,50.0,6.16,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,1st ODI,,,1.0,308,0.0,0.0,,,,,,,,,,,,,,0.0,
29,259,9,One Day WarmUp Practice,Post,2020-11-29,29 Nov 2020,Australia VS India,14:10,03:10 GMT,2020-11-29,2,Australia,1,India,AUS,IND,4,Sydney Cricket Ground,Australia Won by 51   Runs ,Australia,Australia won the Toss and elected to bat, won the Toss and elected to bat,1,389/4 (50.0 Ov),338/9 (50.0 Ov),,2020-11-29T14:10:00,Sydney,,,,,,,,407,24,352,85,2,Australia,,,,,1,India,Asia/Kolkata,29 Nov 2020,23:40,50,0,ODI,2.0,INDIA IN AUSTRALIA ODI SERIES 2020-21,Paul Reiffel,Gerard Abood,Bruce Oxenford,Australia Won by 51   Runs ,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2018-100mb00000000010-b76159ade99b11,Yuzvendra Chahal,4,6,0,0,66.66,https://scores.bcci.tv/matchcentre/playerimages/pTNxJXuRU2166607957910.png,2019-100mb00000000207-672d82e544bb11,Navdeep Saini,10,10,1,0,100.0,https://scores.bcci.tv/matchcentre/playerimages/navdeep_saini.jpg,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,5.0,34,0,1,6.8,30.0,https://new-matchcentre.s3.amazonaws.com/SLC/images/player-thumb.jpg?v=1,,,,2,389/4 (50.0 Overs),389,4,50.0,7.78,338/9 (50.0 Overs),338,9,50.0,6.76,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,2nd  ODI,,,2.0,338,0.0,0.0,,,,,,,,,,,,,,0.0,
29,260,9,One Day WarmUp Practice,Post,2020-12-02,2 Dec 2020,Australia VS India,14:10,03:10 GMT,2020-12-02,1,India,2,Australia,IND,AUS,53,Manuka Oval,India Won by 13   Runs ,India,India won the Toss and elected to bat, won the Toss and elected to bat,0,302/5 (50.0 Ov),289/10 (49.3 Ov),,2020-12-02T14:10:00,Canberra,,,,,,,,352,22,299,85,2,Australia,,,,,1,India,Asia/Kolkata,2 Dec 2020,23:40,50,0,ODI,3.0,INDIA IN AUSTRALIA ODI SERIES 2020-21,Bruce Oxenford,Paul Wilson,Rod Tucker,India Won by 13   Runs ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2018-100mb00000000024-431d2bf7e99d11,Adam Zampa,4,7,0,0,57.14,https://scores.bcci.tv/matchcentre/playerimages/lsEifWN9aY166365888324.png,2018-100mb00000000036-2af54408f88a11,Josh Hazlewood,7,7,0,0,100.0,https://new-matchcentre.s3.amazonaws.com/SLC/images/player-thumb.jpg?v=1,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,9.3,43,0,2,4.53,28.5,https://scores.bcci.tv/matchcentre/playerimages/dSTitv33Sg16569396479.jpg,,,,2,302/5 (50.0 Overs),302,5,50.0,6.04,289/10 (49.3 Overs),289,10,49.3,5.84,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,3rd  ODI,,,3.0,292,0.0,0.0,,,,,,,,,,,,,,0.0,
30,261,11,T20 WarmUp Practice,Post,2020-12-04,4 Dec 2020,Australia VS India,18:40,07:40 GMT,2020-12-04,1,India,2,Australia,IND,AUS,53,Manuka Oval,India Won by 11  Runs ,Australia,Australia won the Toss and elected to Field, won the Toss and elected to Field,1,161/7 (20.0 Ov),150/7 (20.0 Ov),,2020-12-04T18:40:00,Canberra,,,,,,,,25,299,22,85,2,Australia,,,,,1,India,Asia/Kolkata,4 Dec 2020,22:40,20,0,T20,1.0,INDIA IN AUSTRALIA T20 SERIES 2020-21,Shawn Craig,Rod Tucker,Paul Wilson,India Won by 11  Runs ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2020-100mb00000000552-c832caf4360511,Mitchell Swepson,12,5,1,1,240.0,,2020-100mb00000000551-9bf1053c2ff311,Sean Abbott,12,8,0,1,150.0,,2018-100mb00000000047-1bfc8ff2f88b11,Mohammad Shami,4.0,46,0,0,11.5,0.0,https://scores.bcci.tv/matchcentre/playerimages/O2bg16hxiA166607979447.png,,,,2,161/7 (20.0 Overs),161,7,20.0,8.05,150/7 (20.0 Overs),150,7,20.0,7.5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1st T20I,,,1.0,150,0.0,0.0,,,,,,,,,,,,,,0.0,
30,262,11,T20 WarmUp Practice,Post,2020-12-06,6 Dec 2020,Australia VS India,18:40,07:40 GMT,2020-12-06,2,Australia,1,India,AUS,IND,4,Sydney Cricket Ground,India Won by 6  Wickets ,India,India won the Toss and elected to Field, won the Toss and elected to Field,1,194/5 (20.0 Ov),195/4 (19.4 Ov),,2020-12-06T18:40:00,Sydney,,,,,,,,36,22,299,85,2,Australia,,,,,1,India,Asia/Kolkata,6 Dec 2020,22:40,20,0,T20,2.0,INDIA IN AUSTRALIA T20 SERIES 2020-21,Sam Nogajski,Paul Wilson,Rod Tucker,India Won by 6  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,42,22,3,2,190.9,https://scores.bcci.tv/matchcentre/playerimages/4GsOwmNi1H166607976054.png,2018-100mb00000000012-ea4c47d2e99b11,Shreyas Iyer,12,5,1,1,240.0,https://scores.bcci.tv/matchcentre/playerimages/9JPdeCsQpE165693938412.jpg,2020-100mb00000000546-b254fce3f9ac11,Daniel Sams,3.4,41,0,1,11.18,22.0,,,,,2,194/5 (20.0 Overs),194,5,20.0,9.7,195/4 (19.4 Overs),195,4,19.4,9.92,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,2nd  T20I,,,2.0,198,0.0,0.0,,,,,,,,,,,,,,0.0,
30,263,11,T20 WarmUp Practice,Post,2020-12-08,8 Dec 2020,Australia VS India,18:40,07:40 GMT,2020-12-08,2,Australia,1,India,AUS,IND,4,Sydney Cricket Ground,Australia Won by 12  Runs ,India,India won the Toss and elected to Field, won the Toss and elected to Field,0,186/5 (20.0 Ov),174/7 (20.0 Ov),,2020-12-08T18:40:00,Sydney,,,,,,,,24,299,22,85,2,Australia,,,,,1,India,Asia/Kolkata,8 Dec 2020,22:40,20,0,T20,3.0,INDIA IN AUSTRALIA T20 SERIES 2020-21,Gerard Abood,Rod Tucker,Paul Wilson,Australia Won by 12  Runs ,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2019-100mb00000000105-4c526de743fe11,Shardul Thakur,17,7,0,2,242.85,https://scores.bcci.tv/matchcentre/playerimages/EoQUScci2U1674023787105.png,2019-100mb00000000091-8640595343ec11,Deepak Chahar,0,0,0,0,0.0,https://scores.bcci.tv/matchcentre/playerimages/4mbqERSg0c166166152591.png,2020-100mb00000000551-9bf1053c2ff311,Sean Abbott,4.0,49,0,1,12.25,24.0,,,,,2,186/5 (20.0 Overs),186,5,20.0,9.3,174/7 (20.0 Overs),174,7,20.0,8.7,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,3rd  T20I,,,3.0,174,0.0,0.0,,,,,,,,,,,,,,0.0,
31,264,10,Multi Day WarmUp Practice,Post,2020-12-17,17 Dec 2020,Australia VS India,14:00,04:30 GMT,2020-12-17,1,India,2,Australia,IND,AUS,1,Adelaide Oval,Australia Won by 8  Wickets ,India,India won the Toss and elected to bat, won the Toss and elected to bat,1,244/10 (93.1 Ov) & 36/9 (21.2 Ov),191/10 (72.1 Ov) & 93/2 (21.0 Ov),,2020-12-17T14:00:00,Adelaide,,,,,,,,407,352,299,85,2,Australia,,,,,1,India,Asia/Kolkata,21 Dec 2020,22:30,90,0,Test,1.0,BORDER GAVASKAR TROPHY 2020-21,Paul Reiffel,Bruce Oxenford,Rod Tucker,Australia Won by 8  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2020-100mb00000000554-fb76dffd3ddc11,Joe Burns,51,63,7,1,80.95,,2019-100mb00000000194-71a696d444b811,Steven Smith,1,1,0,0,100.0,https://new-matchcentre.s3.amazonaws.com/SLC/images/player-thumb.jpg?v=1,2018-100mb00000000021-a294dad8e99c11,Umesh Yadav,8.0,49,1,0,6.13,0.0,https://scores.bcci.tv/matchcentre/playerimages/Cyyebwgji4166365330121.png,,,,4,244/10 (93.1 Overs),244,10,93.1,2.62,191/10 (72.1 Overs),191,10,72.1,2.65,36/9 (21.2 Overs),36,9,21.2,1.69,93/2 (21.0 Overs),93,2,21.0,4.43,,,,,,,,,,,2,1,India,2,Australia,,,,,2,1st Test,,,1.0,0,0.0,0.0,,,,,,,,,,,,,,0.0,
31,265,10,Multi Day WarmUp Practice,Post,2020-12-26,26 Dec 2020,Australia VS India,10:00,23:00 GMT,2020-12-25,2,Australia,1,India,AUS,IND,3,Melbourne Cricket Ground,India Won by 8  Wickets ,Australia,Australia won the Toss and elected to bat, won the Toss and elected to bat,1,195/10 (72.3 Ov) & 200/10 (103.1 Ov),326/10 (115.1 Ov) & 70/2 (15.5 Ov),,2020-12-26T10:00:00,Melbourne,,,,,,,,352,407,22,85,2,Australia,,,,,1,India,Asia/Kolkata,30 Dec 2020,17:00,200,0,Test,2.0,BORDER GAVASKAR TROPHY 2020-21,Bruce Oxenford,Paul Reiffel,Paul Wilson,India Won by 8  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,27,40,3,0,67.5,https://scores.bcci.tv/matchcentre/playerimages/iwGVAzoSte165693979344.jpg,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,35,36,7,0,97.22,https://scores.bcci.tv/matchcentre/playerimages/Shubman-Gill-52.jpg,2018-100mb00000000039-72de4121f88a11,Nathan Lyon,2.5,5,0,0,1.76,0.0,https://scores.bcci.tv/matchcentre/playerimages/nathan_lyon.jpg,,,,4,195/10 (72.3 Overs),195,10,72.3,2.69,326/10 (115.1 Overs),326,10,115.1,2.83,200/10 (103.1 Overs),200,10,103.1,1.94,70/2 (15.5 Overs),70,2,15.5,4.42,,,,,,,,,,,2,2,Australia,1,India,,,,,1,2nd  Test,,,2.0,0,0.0,0.0,,,,,,,,,,,,,,0.0,
31,266,10,Multi Day WarmUp Practice,Post,2021-01-07,7 Jan 2021,Australia VS India,10:00,23:00 GMT,2021-01-06,2,Australia,1,India,AUS,IND,4,Sydney Cricket Ground,Match Drawn  ,Australia,Australia won the Toss and elected to bat, won the Toss and elected to bat,1,338/10 (105.4 Ov) & 312/6 dec (87.0 Ov),244/10 (100.4 Ov) & 334/5 (131.0 Ov),,2021-01-07T10:00:00,Sydney,,,,,,,,407,22,352,85,2,Australia,,,,,1,India,Asia/Kolkata,11 Jan 2021,17:00,200,0,Test,3.0,BORDER GAVASKAR TROPHY 2020-21,Paul Reiffel,Paul Wilson,Bruce Oxenford,Match Drawn  ,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2018-100mb00000000052-672066bef88b11,Hanuma Vihari,23,161,4,0,14.28,https://scores.bcci.tv/matchcentre/playerimages/hanuma_Vihari-52.jpg,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,39,128,7,0,30.46,https://scores.bcci.tv/matchcentre/playerimages/Y0fzXxpgNd166607980645.png,2018-100mb00000000031-b334eaf6f08611,Mitchell Starc,22.0,66,6,0,3.0,0.0,https://new-matchcentre.s3.amazonaws.com/SLC/images/player-thumb.jpg?v=1,,,,4,338/10 (105.4 Overs),338,10,105.4,3.2,244/10 (100.4 Overs),244,10,100.4,2.42,312/6 dec (87.0 Overs),312,6 dec,87.0,3.59,334/5 (131.0 Overs),334,5,131.0,2.55,,,,,,,,,,,2,2,Australia,1,India,,,,,,3rd  Test,,,3.0,0,0.0,0.0,,,,,,,,,,,,,,0.0,
31,267,10,Multi Day WarmUp Practice,Post,2021-01-15,15 Jan 2021,Australia VS India,09:00,22:00 GMT,2021-01-14,2,Australia,1,India,AUS,IND,54,Brisbane Cricket Ground,India Won by 3  Wickets ,Australia,Australia won the Toss and elected to bat, won the Toss and elected to bat,0,369/10 (115.2 Ov) & 294/10 (75.5 Ov),336/10 (111.4 Ov) & 329/7 (97.0 Ov),,2021-01-15T09:00:00,Brisbane,,,,,,,,352,22,407,85,2,Australia,,,,,1,India,Asia/Kolkata,19 Jan 2021,17:00,200,0,Test,4.0,BORDER GAVASKAR TROPHY 2020-21,Bruce Oxenford,Paul Wilson,Paul Reiffel,India Won by 3  Wickets ,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,https://scores.bcci.tv/matchcentre/teamlogos/aus.png?v=6,https://scores.bcci.tv/matchcentre/teamlogos/india.png,0,+9.5,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,89,138,9,1,64.49,https://scores.bcci.tv/matchcentre/playerimages/20zgl4SQtd166607990618.png,2019-100mb00000000207-672d82e544bb11,Navdeep Saini,0,0,0,0,0.0,https://scores.bcci.tv/matchcentre/playerimages/navdeep_saini.jpg,2018-100mb00000000036-2af54408f88a11,Josh Hazlewood,22.0,74,5,1,3.36,132.0,https://new-matchcentre.s3.amazonaws.com/SLC/images/player-thumb.jpg?v=1,,,,4,369/10 (115.2 Overs),369,10,115.2,3.2,336/10 (111.4 Overs),336,10,111.4,3.01,294/10 (75.5 Overs),294,10,75.5,3.88,329/7 (97.0 Overs),329,7,97.0,3.39,,,,,,,,,,,2,2,Australia,1,India,,,,,1,4th  Test,,,4.0,0,0.0,0.0,,,,,,,,,,,,,,0.0,
