,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,2548,1,168,India A,Prabhsimran Singh,Mohamed Shiraz,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,858273,152.50,11.00,1,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,1,0,1,0,Leg stump,Good Length,1,0,0,0,0,0,0,0
1,2,2548,1,168,India A,Vaibhav Sooryavanshi,Mohamed Shiraz,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,858276,152.50,11.00,0,0,,42,OUTSWINGER,50,BACKFOOT DEFENCE,0,0,2,0,1,0,Outside Leg stump,Short of Good Length,0,0,0,0,0,0,0,0
2,3,2548,1,168,India A,Vaibhav Sooryavanshi,Mohamed Shiraz,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,858278,108.00,11.00,0,0,,30,ANGLED ACROSS,36,CUT SHOT,0,0,3,0,1,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
3,4,2548,1,168,India A,Vaibhav Sooryavanshi,Mohamed Shiraz,,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,858279,138.00,-19.50,1,0,,42,OUTSWINGER,27,FORWARD PUSH,0,0,4,0,2,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
4,5,2548,1,168,India A,Prabhsimran Singh,Mohamed Shiraz,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,858282,35.50,-45.00,0,0,,39,ANGLED IN,84,FRONTFOOT OFF DRIVE,0,0,5,0,2,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
5,6,2548,1,168,India A,Prabhsimran Singh,Mohamed Shiraz,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,858284,35.50,-45.00,0,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,6,0,2,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
6,1,2548,1,168,India A,Vaibhav Sooryavanshi,Chamika Gunasekara,,2,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.1,1,1,0,858287,-38.50,-180.50,4,0,,30,ANGLED ACROSS,54,LEG GLANCE,0,0,1,1,6,0,Outside Leg stump,Full Toss,1,0,0,0,0,0,0,0
7,2,2548,1,168,India A,Vaibhav Sooryavanshi,Chamika Gunasekara,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,858288,84.50,34.00,0,0,,41,INSWINGER,51,FRONTFOOT COVERDRIVE,0,0,2,1,6,0,Outside Off stump,Full Length,0,0,0,0,0,0,0,0
8,3,2548,1,168,India A,Vaibhav Sooryavanshi,Chamika Gunasekara,,2,3,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,1.3,1,1,1,858289,84.50,34.00,1,0,,41,INSWINGER,,,0,0,3,1,7,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0
9,4,2548,1,168,India A,Vaibhav Sooryavanshi,Chamika Gunasekara,,2,3,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1.3,1,1,0,858290,-96.00,218.50,6,0,,30,ANGLED ACROSS,11,LOFTED ON DRIVE,0,0,4,1,13,0,Off stump,Good Length,0,0,0,0,0,0,0,0
