,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,618,1,10,Zimbabwe,Innocent Kaia,Deepak Chahar,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,235415,-49.57,96.82,0,0,,,Knuckleball,27,FORWARD PUSH,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,618,1,10,Zimbabwe,Innocent Kaia,Deepak Chahar,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,235416,-27.01,62.29,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,3,618,1,10,Zimbabwe,Innocent Kaia,Deepak Chahar,,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,235417,-95.62,-59.73,1,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,3,0,1,0,0,0,0,0,0,0,0,0
3,4,618,1,10,Zimbabwe,Tadiwanashe Marumani,Deepak Chahar,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,235418,-95.62,-59.73,0,0,,,Knuckleball,105,LEFT ALONE,0,0,4,0,1,0,0,0,0,0,0,0,0,0
4,5,618,1,10,Zimbabwe,Tadiwanashe Marumani,Deepak Chahar,,1,5,1 (LB),1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,0.5,1,1,1,235419,-95.62,-59.73,1,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,5,0,2,0,0,0,0,0,0,0,0,0
5,6,618,1,10,Zimbabwe,Innocent Kaia,Deepak Chahar,,1,6,4 (LB),4,0,0,0,0,1,4,0,0,0,1,1,0,0,,,0,0.6,1,1,1,235420,-95.62,-59.73,4,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,6,0,6,0,0,0,0,0,0,0,0,0
6,1,618,1,10,Zimbabwe,Tadiwanashe Marumani,Mohammed Siraj,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,235421,-24.25,18.55,0,0,,,Knuckleball,54,LEG GLANCE,0,0,1,1,6,0,1,0,0,0,0,0,0,0
7,2,618,1,10,Zimbabwe,Tadiwanashe Marumani,Mohammed Siraj,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,235422,11.21,33.28,0,0,,,Knuckleball,97,BACKFOOT PUSH,0,0,2,1,6,0,0,0,0,0,0,0,0,0
8,3,618,1,10,Zimbabwe,Tadiwanashe Marumani,Mohammed Siraj,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,235423,-17.80,15.32,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,3,1,6,0,0,0,0,0,0,0,0,0
9,4,618,1,10,Zimbabwe,Tadiwanashe Marumani,Mohammed Siraj,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,235424,-17.80,15.32,0,0,,,Knuckleball,105,LEFT ALONE,0,0,4,1,6,0,0,0,0,0,0,0,0,0
10,5,618,1,10,Zimbabwe,Tadiwanashe Marumani,Mohammed Siraj,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,235425,-0.77,-18.29,0,0,,,Knuckleball,36,CUT SHOT,0,0,5,1,6,0,0,0,0,0,0,0,0,0
11,6,618,1,10,Zimbabwe,Tadiwanashe Marumani,Mohammed Siraj,,2,6,5 (WD),5,0,0,0,0,0,5,1,0,0,0,1,0,0,,,0,1.6,1,1,1,235426,-0.77,-18.29,5,0,,,Knuckleball,40,FRONTFOOT FLICK,0,0,6,1,11,0,0,0,0,0,0,0,0,0
12,7,618,1,10,Zimbabwe,Tadiwanashe Marumani,Mohammed Siraj,,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,235427,67.84,95.44,1,0,,,Knuckleball,84,FRONTFOOT OFF DRIVE,0,0,7,1,12,0,0,0,0,0,0,0,0,0
14,1,618,1,10,Zimbabwe,Tadiwanashe Marumani,Deepak Chahar,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,235428,67.84,95.44,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,1,2,12,0,1,0,0,0,0,0,0,0
15,2,618,1,10,Zimbabwe,Tadiwanashe Marumani,Deepak Chahar,,3,2,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,2.2,1,1,1,235429,67.84,95.44,1,0,,,Knuckleball,105,LEFT ALONE,0,0,2,2,13,0,0,0,0,0,0,0,0,0
16,3,618,1,10,Zimbabwe,Tadiwanashe Marumani,Deepak Chahar,,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.2,1,1,0,235430,-70.29,64.59,1,0,,,Knuckleball,27,FORWARD PUSH,0,0,3,2,14,0,0,0,0,0,0,0,0,0
17,4,618,1,10,Zimbabwe,Innocent Kaia,Deepak Chahar,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,1,1,0,235431,-37.60,23.15,0,0,,,Knuckleball,49,FORWARD DEFENCE,0,0,4,2,14,0,0,0,0,0,0,0,0,0
18,5,618,1,10,Zimbabwe,Innocent Kaia,Deepak Chahar,,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.4,1,1,0,235432,-37.60,23.15,0,0,,,Knuckleball,105,LEFT ALONE,0,0,5,2,14,0,0,0,0,0,0,0,0,0
19,6,618,1,10,Zimbabwe,Innocent Kaia,Deepak Chahar,,3,5,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,2.5,1,1,0,235433,-107.13,-60.65,2,0,,,Knuckleball,59,FRONTFOOT SQUARE DRIVE,0,0,6,2,16,0,0,0,0,0,0,0,0,0
20,7,618,1,10,Zimbabwe,Innocent Kaia,Deepak Chahar,,3,6,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,2.6,1,1,1,235434,-107.13,-60.65,1,0,,,Knuckleball,105,LEFT ALONE,0,0,7,2,17,0,0,0,0,0,0,0,0,0
21,8,618,1,10,Zimbabwe,Innocent Kaia,Deepak Chahar,,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.6,1,1,0,235435,-107.13,-60.65,0,0,,,Knuckleball,27,FORWARD PUSH,0,0,8,2,17,0,0,0,0,0,0,0,0,0
