,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,2392,1,88,Nepal (Women),Bindu Rawal,Saima Thakor,,1,1,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.1,1,1,1,804330,,,1,0,,,Knuckleball,,,0,0,1,0,1,0,,,1,0,0,0,0,0,0,0
1,2,2392,1,88,Nepal (Women),Bindu Rawal,Saima Thakor,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,804331,121.00,19.00,1,0,,,Knuckleball,,,0,0,2,0,2,0,,,0,0,0,0,0,0,0,0
2,3,2392,1,88,Nepal (Women),Samjhana Kumari,Saima Thakor,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,804332,121.00,19.00,0,0,,,Knuckleball,,,0,0,3,0,2,0,,,0,0,0,0,0,0,0,0
3,4,2392,1,88,Nepal (Women),Samjhana Kumari,Saima Thakor,,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,804333,88.50,75.00,1,0,,,Knuckleball,,,0,0,4,0,3,0,,,0,0,0,0,0,0,0,0
4,5,2392,1,88,Nepal (Women),Bindu Rawal,Saima Thakor,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,804334,88.50,75.00,0,0,,,Knuckleball,,,0,0,5,0,3,0,,,0,0,0,0,0,0,0,0
5,6,2392,1,88,Nepal (Women),Bindu Rawal,Saima Thakor,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,804335,88.50,75.00,0,0,,,Knuckleball,,,0,0,6,0,3,0,,,0,0,0,0,0,0,0,0
6,7,2392,1,88,Nepal (Women),Bindu Rawal,Saima Thakor,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,804336,91.50,-94.00,1,0,,,Knuckleball,,,0,0,7,0,4,0,,,0,0,0,0,0,0,0,0
7,1,2392,1,88,Nepal (Women),Bindu Rawal,Jintimani Kalita,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,804337,91.50,-94.00,0,0,,,Knuckleball,,,0,0,1,1,4,0,,,1,0,0,0,0,0,0,0
8,2,2392,1,88,Nepal (Women),Bindu Rawal,Jintimani Kalita,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,804338,91.50,-94.00,0,0,,,Knuckleball,,,0,0,2,1,4,0,,,0,0,0,0,0,0,0,0
9,3,2392,1,88,Nepal (Women),Bindu Rawal,Jintimani Kalita,,2,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.3,1,1,0,804339,-71.00,-159.00,4,0,,,Knuckleball,,,0,0,3,1,8,0,,,0,0,0,0,0,0,0,0
