,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,333,1,3,England,Jason Roy,Bhuvneshwar Kumar,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,0,117628,41.50,17.00,0,0,42,OUTSWINGER,84,OFF DRIVE,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,333,1,3,England,Jason Roy,Bhuvneshwar Kumar,,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.2,0,117629,-117.50,-14.00,1,0,39,ANGLED IN,36,CUT SHOT,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2,3,333,1,3,England,Jos Buttler,Bhuvneshwar Kumar,,1,3,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Leg Before Wicket,WICKET,1,0.3,0,117630,-117.50,-14.00,0,0,39,ANGLED IN,40,FLICK,0,0,3,0,1,1,1,0,0,0,0,0,0,0
3,4,333,1,3,England,Dawid Malan,Bhuvneshwar Kumar,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,0,117631,-117.50,-14.00,0,0,30,ANGLED ACROSS,44,GLIDE,0,0,4,0,1,1,2,0,0,0,0,0,0,0
4,5,333,1,3,England,Dawid Malan,Bhuvneshwar Kumar,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,0,117632,-32.50,13.00,0,0,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,5,0,1,1,0,0,0,0,0,0,0,0
5,6,333,1,3,England,Dawid Malan,Bhuvneshwar Kumar,,1,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.6,0,117633,187.50,44.00,4,0,30,ANGLED ACROSS,51,FRONTFOOT COVERDRIVE,0,0,6,0,5,1,0,0,0,0,0,0,0,0
6,1,333,1,3,England,Jason Roy,Washington Sundar,,2,1,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1.1,0,117634,74.50,214.00,6,0,25,OFF SPIN,11,LOFT ON,0,0,1,1,11,1,1,0,0,0,0,0,0,0
7,2,333,1,3,England,Jason Roy,Washington Sundar,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,0,117635,-78.50,-15.00,0,0,25,OFF SPIN,36,CUT SHOT,0,0,2,1,11,1,0,0,0,0,0,0,0,0
8,3,333,1,3,England,Jason Roy,Washington Sundar,,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.3,0,117636,83.50,137.00,1,0,25,OFF SPIN,47,ON DRIVE,0,0,3,1,12,1,0,0,0,0,0,0,0,0
9,4,333,1,3,England,Dawid Malan,Washington Sundar,,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.4,0,117637,87.50,48.00,0,0,25,OFF SPIN,97,BACKFOOT PUSH,0,0,4,1,12,1,0,0,0,0,0,0,0,0
10,5,333,1,3,England,Dawid Malan,Washington Sundar,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,0,117638,80.50,36.00,0,0,25,OFF SPIN,27,FORWARD PUSH,0,0,5,1,12,1,0,0,0,0,0,0,0,0
