,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,402,1,4,New Zealand,Martin Guptill,Bhuvneshwar Kumar,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,155973,-84.50,12.00,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,402,1,4,New Zealand,Martin Guptill,Bhuvneshwar Kumar,,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,155974,-91.50,43.00,1,0,,42,OUTSWINGER,52,BACKFOOT COVERDRIVE,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2,3,402,1,4,New Zealand,Daryl Mitchell,Bhuvneshwar Kumar,,1,3,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Bowled,WICKET,1,0.3,1,1,0,155975,-91.50,43.00,0,0,,41,INSWINGER,50,BACKFOOT DEFENCE,0,0,3,0,1,1,1,0,0,0,0,0,0,0
3,4,402,1,4,New Zealand,Mark Chapman,Bhuvneshwar Kumar,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,155976,-91.50,43.00,0,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,4,0,1,1,2,0,0,0,0,0,0,0
4,5,402,1,4,New Zealand,Mark Chapman,Bhuvneshwar Kumar,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,155977,-62.50,92.00,0,0,,30,ANGLED ACROSS,47,ON DRIVE,0,0,5,0,1,1,0,0,0,0,0,0,0,0
5,6,402,1,4,New Zealand,Mark Chapman,Bhuvneshwar Kumar,,1,6,1 (LB),1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,0.6,1,1,1,155978,70.50,-53.00,1,0,,30,ANGLED ACROSS,40,FLICK,0,0,6,0,2,1,0,0,0,0,0,0,0,0
6,1,402,1,4,New Zealand,Mark Chapman,Deepak Chahar,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,1,1,0,155979,58.50,63.00,0,0,,41,INSWINGER,50,BACKFOOT DEFENCE,0,0,1,1,2,1,1,0,0,0,0,0,0,0
7,2,402,1,4,New Zealand,Mark Chapman,Deepak Chahar,,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,155980,116.50,-76.00,2,0,,30,ANGLED ACROSS,59,SQUARE DRIVE,0,0,2,1,4,1,0,0,0,0,0,0,0,0
8,3,402,1,4,New Zealand,Mark Chapman,Deepak Chahar,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,1,1,0,155981,74.50,44.00,0,0,,30,ANGLED ACROSS,51,FRONTFOOT COVERDRIVE,0,0,3,1,4,1,0,0,0,0,0,0,0,0
9,4,402,1,4,New Zealand,Mark Chapman,Deepak Chahar,,2,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.4,1,1,0,155982,171.50,69.00,4,0,,30,ANGLED ACROSS,15,LOFT COVER,0,0,4,1,8,1,0,0,0,0,0,0,0,0
