Unnamed: 0,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,STclientID,NSTclientID,OverNO
0,1.0,456,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Umesh Yadav,,1,1,1 (NB),1,0,0,0,0,1,1,0,1,0,0,0,0,0,,,0.0,0.1,1.0,1.0,1,190180.0,-30.23,32.82,1.0,0,,43.0,NIPBACKER,50.0,BACKFOOT DEFENCE,0.0,0.0,1,0.0,1,0,Outside Off stump,Short of Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1,2.0,456,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Umesh Yadav,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,0.1,1.0,1.0,0,190181.0,-30.23,32.82,0.0,0,,42.0,OUTSWINGER,5.0,LOFTED OFF DRIVE,0.0,0.0,2,0.0,1,0,Outside Off stump,Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,3.0,456,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Umesh Yadav,,1,2,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0.0,0.2,1.0,1.0,1,190182.0,-30.23,32.82,1.0,0,,43.0,NIPBACKER,54.0,LEG GLANCE,0.0,0.0,3,0.0,2,0,Middle stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,4.0,456,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Umesh Yadav,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,0.2,1.0,1.0,0,190183.0,-30.23,32.82,0.0,0,,43.0,NIPBACKER,50.0,BACKFOOT DEFENCE,0.0,0.0,4,0.0,2,0,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,5.0,456,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Umesh Yadav,,1,3,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1.0,0.3,1.0,1.0,0,190184.0,-16.42,-40.39,0.0,0,,42.0,OUTSWINGER,36.0,CUT SHOT,0.0,0.0,5,0.0,2,1,Outside Off stump,Short of Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
5,6.0,456,1,13,Chennai Super Kings,Robin Uthappa,Umesh Yadav,,1,4,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0.0,0.4,1.0,1.0,1,190185.0,-16.42,-40.39,1.0,0,,39.0,ANGLED IN,54.0,LEG GLANCE,0.0,0.0,6,0.0,3,1,Leg stump,Good Length,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
6,7.0,456,1,13,Chennai Super Kings,Robin Uthappa,Umesh Yadav,,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,0.4,1.0,1.0,0,190186.0,-16.42,-40.39,0.0,0,,42.0,OUTSWINGER,51.0,FRONTFOOT COVERDRIVE,0.0,0.0,7,0.0,3,1,Outside Off stump,Full Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
7,8.0,456,1,13,Chennai Super Kings,Robin Uthappa,Umesh Yadav,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,0.5,1.0,1.0,0,190187.0,-61.54,41.11,0.0,0,,42.0,OUTSWINGER,49.0,FORWARD DEFENCE,0.0,0.0,8,0.0,3,1,Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
8,9.0,456,1,13,Chennai Super Kings,Robin Uthappa,Umesh Yadav,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,0.6,1.0,1.0,0,190188.0,-68.91,16.71,0.0,0,,42.0,OUTSWINGER,49.0,FORWARD DEFENCE,0.0,0.0,9,0.0,3,1,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
9,1.0,456,1,13,Chennai Super Kings,Devon Conway,Shivam Mavi,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,1.1,1.0,1.0,0,190189.0,67.84,-17.37,0.0,0,,30.0,ANGLED ACROSS,49.0,FORWARD DEFENCE,0.0,0.0,1,1.0,3,1,Outside Off stump,Short of Good Length,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,2.0,456,1,13,Chennai Super Kings,Devon Conway,Shivam Mavi,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0.0,1.2,1.0,1.0,0,190190.0,67.84,-17.37,0.0,0,,30.0,ANGLED ACROSS,36.0,CUT SHOT,0.0,0.0,2,1.0,3,1,Outside Off stump,Short of Good Length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
