,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,2492,1,35,Gujarat Titans,Sai Sudharsan,Jofra Archer,,1,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0.1,1,1,0,830647,184.00,57.50,4,0,,30,ANGLED ACROSS,15,LOFTED COVER DRIVE,0,0,1,0,4,0,Middle stump,Short of Good Length,1,0,0,0,0,0,0,0
1,2,2492,1,35,Gujarat Titans,Sai Sudharsan,Jofra Archer,,1,2,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.2,1,1,1,830648,184.00,57.50,1,0,,30,ANGLED ACROSS,15,LOFTED COVER DRIVE,0,0,2,0,5,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
2,3,2492,1,35,Gujarat Titans,Sai Sudharsan,Jofra Archer,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.2,1,1,0,830649,67.50,-23.00,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,3,0,5,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
3,4,2492,1,35,Gujarat Titans,Sai Sudharsan,Jofra Archer,,1,3,2 (NB),2,1,1,0,0,0,1,0,1,0,0,0,0,0,,,0,0.3,1,1,1,830650,99.00,-38.50,2,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,7,0,14,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0
4,5,2492,1,35,Gujarat Titans,Shubman Gill,Jofra Archer,,1,3,5 (WD),5,0,0,0,0,0,5,1,0,0,0,1,0,0,,,0,0.3,1,1,1,830651,99.00,-38.50,5,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,4,0,10,0,Middle stump,Good Length,0,0,0,0,0,0,0,0
5,6,2492,1,35,Gujarat Titans,Shubman Gill,Jofra Archer,,1,3,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.3,1,1,1,830652,99.00,-38.50,1,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,5,0,11,0,Leg stump,Good Length,0,0,0,0,0,0,0,0
6,7,2492,1,35,Gujarat Titans,Shubman Gill,Jofra Archer,,1,3,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.3,1,1,1,830653,99.00,-38.50,1,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,6,0,12,0,Outside Leg stump,Full Length,0,0,0,0,0,0,0,0
7,8,2492,1,35,Gujarat Titans,Shubman Gill,Jofra Archer,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,830654,99.00,-38.50,0,0,,38,STRAIGHT BALL,27,FORWARD PUSH,0,0,8,0,14,0,Outside Off stump,Yorker,0,0,0,0,0,0,0,0
8,9,2492,1,35,Gujarat Titans,Shubman Gill,Jofra Archer,,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,830655,137.00,-32.50,1,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,9,0,15,0,Off stump,Good Length,0,0,0,0,0,0,0,0
9,10,2492,1,35,Gujarat Titans,Sai Sudharsan,Jofra Archer,,1,5,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,830656,151.50,42.00,2,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,10,0,17,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0
