,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
0,1,514,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Daniel Sams,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.1,2,1,0,204882,71.06,77.48,1,0,,41,INSWINGER,47,FRONTFOOT ON DRIVE,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,2,514,1,13,Chennai Super Kings,Devon Conway,Daniel Sams,,1,2,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Leg Before Wicket,WICKET,1,0.2,2,1,0,204883,71.06,77.48,0,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,2,0,1,1,2,0,0,0,0,0,0,0
2,3,514,1,13,Chennai Super Kings,Moeen Ali,Daniel Sams,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,2,1,0,204884,63.23,21.31,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,3,0,1,1,3,0,0,0,0,0,0,0
3,4,514,1,13,Chennai Super Kings,Moeen Ali,Daniel Sams,,1,4,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.4,2,1,1,204885,-77.20,30.98,1,0,,42,OUTSWINGER,105,LEFT ALONE,0,0,4,0,2,1,0,0,0,0,0,0,0,0
4,5,514,1,13,Chennai Super Kings,Moeen Ali,Daniel Sams,,1,4,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,0.4,2,1,0,204886,-77.20,30.98,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/IPL-2022/Chennai-Super-Kings-VS-Mumbai-Indians-(12-May-2022)/File_1-1-204886.jpg,36,BOUNCER,58,BACKFOOT PULL SHOT,1,0,5,0,2,2,1,0,0,0,0,0,0,0
5,6,514,1,13,Chennai Super Kings,Robin Uthappa,Daniel Sams,,1,5,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.5,2,1,1,204887,-77.20,30.98,1,0,,41,INSWINGER,54,LEG GLANCE,0,0,6,0,3,2,2,0,0,0,0,0,0,0
6,7,514,1,13,Chennai Super Kings,Robin Uthappa,Daniel Sams,,1,5,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,0.5,2,1,1,204888,-77.20,30.98,1,0,,41,INSWINGER,105,LEFT ALONE,0,0,7,0,4,2,0,0,0,0,0,0,0,0
7,8,514,1,13,Chennai Super Kings,Robin Uthappa,Daniel Sams,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,2,1,0,204889,-20.56,41.57,0,0,,30,ANGLED ACROSS,49,FORWARD DEFENCE,0,0,8,0,4,2,0,0,0,0,0,0,0,0
8,9,514,1,13,Chennai Super Kings,Robin Uthappa,Daniel Sams,,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.6,2,1,0,204890,-62.46,14.40,1,0,,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,9,0,5,2,0,0,0,0,0,0,0,0
10,1,514,1,13,Chennai Super Kings,Robin Uthappa,Jasprit Bumrah,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.1,2,1,0,204891,-62.46,14.40,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,1,1,5,2,1,0,0,0,0,0,0,0
11,2,514,1,13,Chennai Super Kings,Robin Uthappa,Jasprit Bumrah,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,2,1,0,204892,-62.46,14.40,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,2,1,5,2,0,0,0,0,0,0,0,0
12,3,514,1,13,Chennai Super Kings,Robin Uthappa,Jasprit Bumrah,,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.3,2,1,0,204893,-62.46,14.40,0,0,,38,STRAIGHT BALL,51,FRONTFOOT COVERDRIVE,0,0,3,1,5,2,0,0,0,0,0,0,0,0
13,4,514,1,13,Chennai Super Kings,Robin Uthappa,Jasprit Bumrah,,2,4,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Leg Before Wicket,WICKET,1,1.4,2,1,0,204894,-62.46,14.40,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/IPL-2022/Chennai-Super-Kings-VS-Mumbai-Indians-(12-May-2022)/File_1-2-204894.jpg,42,OUTSWINGER,47,FRONTFOOT ON DRIVE,0,0,4,1,5,3,1,0,0,0,0,0,0,0
14,5,514,1,13,Chennai Super Kings,Ambati Rayudu,Jasprit Bumrah,,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.5,2,1,0,204895,28.70,50.32,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,5,1,5,3,2,0,0,0,0,0,0,0
15,6,514,1,13,Chennai Super Kings,Ambati Rayudu,Jasprit Bumrah,,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.6,2,1,0,204896,28.70,50.32,0,0,,43,NIPBACKER,105,LEFT ALONE,0,0,6,1,5,3,0,0,0,0,0,0,0,0
16,1,514,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Daniel Sams,,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.1,2,1,0,204897,84.87,-76.30,1,0,,41,INSWINGER,54,LEG GLANCE,0,0,1,2,6,3,1,0,0,0,0,0,0,0
17,2,514,1,13,Chennai Super Kings,Ambati Rayudu,Daniel Sams,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.2,2,1,0,204898,84.87,-76.30,0,0,,36,BOUNCER,105,LEFT ALONE,1,0,2,2,6,3,0,0,0,0,0,0,0,0
18,3,514,1,13,Chennai Super Kings,Ambati Rayudu,Daniel Sams,,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.3,2,1,0,204899,-62.46,-31.18,0,0,,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,3,2,6,3,0,0,0,0,0,0,0,0
19,4,514,1,13,Chennai Super Kings,Ambati Rayudu,Daniel Sams,,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.4,2,1,0,204900,87.18,19.01,0,0,,41,INSWINGER,27,FORWARD PUSH,0,0,4,2,6,3,0,0,0,0,0,0,0,0
20,5,514,1,13,Chennai Super Kings,Ambati Rayudu,Daniel Sams,,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.5,2,1,0,204901,87.18,19.01,0,0,,30,ANGLED ACROSS,105,LEFT ALONE,0,0,5,2,6,3,0,0,0,0,0,0,0,0
21,6,514,1,13,Chennai Super Kings,Ambati Rayudu,Daniel Sams,,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,2.6,2,1,0,204902,23.64,65.97,0,0,,41,INSWINGER,27,FORWARD PUSH,0,0,6,2,6,3,0,0,0,0,0,0,0,0
22,1,514,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Jasprit Bumrah,,4,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.1,2,1,0,204903,-126.00,154.37,4,0,,39,ANGLED IN,84,FRONTFOOT OFF DRIVE,0,0,1,3,10,3,1,0,0,0,0,0,0,0
23,2,514,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Jasprit Bumrah,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.2,2,1,0,204904,-126.00,154.37,0,0,,36,BOUNCER,105,LEFT ALONE,1,0,2,3,10,3,0,0,0,0,0,0,0,0
24,3,514,1,13,Chennai Super Kings,Ruturaj  Gaikwad,Jasprit Bumrah,,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.3,2,1,0,204905,89.02,-50.52,1,0,,39,ANGLED IN,54,LEG GLANCE,0,0,3,3,11,3,0,0,0,0,0,0,0,0
25,4,514,1,13,Chennai Super Kings,Ambati Rayudu,Jasprit Bumrah,,4,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3.4,2,1,0,204906,-75.82,-130.63,4,0,,42,OUTSWINGER,44,GLIDE,0,0,4,3,15,3,0,0,0,0,0,0,0,0
26,5,514,1,13,Chennai Super Kings,Ambati Rayudu,Jasprit Bumrah,,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.5,2,1,0,204907,-75.82,-130.63,0,0,,39,ANGLED IN,58,BACKFOOT PULL SHOT,0,0,5,3,15,3,0,0,0,0,0,0,0,0
27,6,514,1,13,Chennai Super Kings,Ambati Rayudu,Jasprit Bumrah,,4,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,3.6,2,1,0,204908,44.82,-123.73,2,0,,36,BOUNCER,58,BACKFOOT PULL SHOT,1,0,6,3,17,3,0,0,0,0,0,0,0,0
