,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,STclientID,NSTclientID
0,1,856,1,13,Chennai Super Kings,Devon Conway,Mohammad Shami,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.1,1,1,0,298703,-76.74,26.37,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Gujarat-Titans-VS-Chennai-Super-Kings-(31-Mar-2023)/File_1-1-298703.png,39,ANGLED IN,49,FORWARD DEFENCE,0,0,1,0,0,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,,5443
1,2,856,1,13,Chennai Super Kings,Devon Conway,Mohammad Shami,,1,2,1 (LB),1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,0.2,1,1,1,298704,-76.74,26.37,1,0,,41,INSWINGER,37,STEP DOWN FLICK,0,0,2,0,1,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,,5443
2,3,856,1,13,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.3,1,1,0,298705,-44.51,83.47,0,0,,37,NIPPED AWAY,49,FORWARD DEFENCE,0,0,3,0,1,0,Off stump,Good Length,0,0,0,0,0,0,0,0,5443,
3,4,856,1,13,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0.4,1,1,0,298706,44.82,91.29,1,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,4,0,2,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,5443,
4,5,856,1,13,Chennai Super Kings,Devon Conway,Mohammad Shami,,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.5,1,1,0,298707,-37.60,40.65,0,0,,39,ANGLED IN,50,BACKFOOT DEFENCE,0,0,5,0,2,0,Outside Off stump,Short of Good Length,0,0,0,0,0,0,0,0,,5443
5,6,856,1,13,Chennai Super Kings,Devon Conway,Mohammad Shami,,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0.6,1,1,0,298708,-37.60,40.65,0,0,,37,NIPPED AWAY,49,FORWARD DEFENCE,0,0,6,0,2,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,,5443
6,1,856,1,13,Chennai Super Kings,Ruturaj Gaikwad,Hardik Pandya,,2,1,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.1,1,1,0,298709,153.94,129.97,4,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,1,1,6,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,5443,
7,2,856,1,13,Chennai Super Kings,Ruturaj Gaikwad,Hardik Pandya,,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1.2,1,1,0,298710,-20.10,63.67,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,2,1,6,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,5443,
8,3,856,1,13,Chennai Super Kings,Ruturaj Gaikwad,Hardik Pandya,,2,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,1.3,1,1,0,298711,-178.49,92.68,4,0,,39,ANGLED IN,51,FRONTFOOT COVERDRIVE,0,0,3,1,10,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,5443,
9,4,856,1,13,Chennai Super Kings,Ruturaj Gaikwad,Hardik Pandya,,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.4,1,1,0,298712,59.55,86.69,1,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,4,1,11,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,5443,
10,5,856,1,13,Chennai Super Kings,Devon Conway,Hardik Pandya,,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.5,1,1,0,298713,27.78,-25.65,1,0,,30,ANGLED ACROSS,50,BACKFOOT DEFENCE,0,0,5,1,12,0,Leg stump,Good Length,0,0,0,0,0,0,0,0,,5443
11,6,856,1,13,Chennai Super Kings,Ruturaj Gaikwad,Hardik Pandya,,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1.6,1,1,0,298714,46.20,54.92,1,0,,8,OFF CUTTER,27,FORWARD PUSH,0,0,6,1,13,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,5443,
12,1,856,1,13,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,2.1,1,1,0,298715,-73.05,-85.05,1,0,,37,NIPPED AWAY,84,FRONTFOOT OFF DRIVE,0,0,1,2,14,0,Outside Off stump,Good Length,1,0,0,0,0,0,0,0,5443,
13,2,856,1,13,Chennai Super Kings,Devon Conway,Mohammad Shami,,3,2,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Bowled,WICKET,1,2.2,1,1,0,298716,-73.05,-85.05,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Gujarat-Titans-VS-Chennai-Super-Kings-(31-Mar-2023)/File_1-3-298716.png,39,ANGLED IN,5,LOFTED OFF DRIVE,0,0,2,2,14,1,Outside Off stump,Good Length,2,0,0,0,0,0,0,0,,5443
